cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years,Global GDP loss,SLR - ft
13_159,"['12_74', '11_113']",1,inf,15.3678,15.3982,11.917938,102.514,1.84026
10_51,"['9_50', '9_23']",1,inf,10.419,15.5469,9.424856,105.287,1.89899
12_123,"['10_51', '9_19']",1,inf,26.5808,14.4527,8.975377,129.036,1.99057
8_140,"['5_40', '5_40']",1,inf,41.976,11.4986,9.966782,150.858,2.20017
0_34,[],1,inf,inf,inf,inf,0.0,inf
13_27,"['12_116', '12_41']",1,inf,inf,inf,inf,0.0,inf
12_63,"['11_124', '11_138']",1,0.6532133708853178,13.8106,14.4197,12.632943000000001,101.906,1.84378
11_58,"['10_93', '10_28']",1,0.011214619786157533,14.1056,13.534,11.840853,109.592,1.90555
12_15,"['11_132', '11_112']",1,0.010781327658056094,13.8582,16.157,11.059664,104.748,1.86615
13_4,"['12_27', '11_101']",1,0.010112273636722804,15.1353,16.1242,10.312417,108.768,1.88508
13_102,"['12_74', '12_4']",1,0.009506939045992714,13.1697,14.7402,10.324089999999998,103.595,1.86714
13_155,"['11_175', '11_20']",1,0.0073914539499674815,15.2831,14.3444,9.494257,112.719,1.92337
12_73,"['11_36', '11_69']",1,0.007149320113675464,20.1693,15.6143,9.265651000000002,122.601,1.97327
12_119,"['10_51', '10_175']",1,0.006888070448202495,13.7243,18.4141,11.388831,103.256,1.86305
13_178,"['12_119', '12_1']",1,0.005620053779199462,13.6245,14.2722,10.187778999999999,115.378,1.96107
12_4,"['10_173', '11_175']",1,0.005326944398424847,28.9165,16.5959,9.736984000000001,111.89,1.87669
10_173,"['9_18', '9_116']",1,0.005250481081701042,54.7708,24.6186,9.675202000000002,108.962,1.85498
13_97,"['12_1', '12_116']",1,0.00477895729523761,21.4824,12.7423,9.90074,130.718,2.06597
13_45,"['12_7', '12_149']",1,0.003358013992786967,22.8363,15.6793,9.250752,118.436,1.93899
13_39,"['11_101', '12_116']",1,0.0033070384483043706,20.1593,13.0123,9.655467,125.718,2.01889
13_87,"['12_116', '11_28']",1,0.002810026889599731,15.9008,13.8684,9.914145999999999,116.719,1.96329
13_21,"['11_175', '10_173']",1,0.0025041736227045122,23.2192,14.828,9.70185,113.05,1.8924
13_176,"['12_124', '12_63']",1,0.00248505779352347,21.5493,13.2036,10.201733999999998,118.495,1.93224
13_5,"['11_58', '11_58']",1,0.0024531980782219152,20.785,13.3536,11.861463,119.311,1.94662
13_113,"['12_110', '9_19']",1,0.002281155615593445,23.5744,12.6872,9.388971999999999,140.448,2.11369
13_50,"['10_51', '12_123']",1,0.0022365520141711956,13.8217,16.1889,9.368737,114.41,1.94572
13_103,"['12_177', '12_4']",1,0.002019905950120386,20.9656,14.6087,9.863001,113.343,1.89833
13_58,"['12_124', '12_171']",1,0.0015738699358982522,21.1067,13.196,10.799814999999999,121.399,1.96649
12_89,"['11_20', '11_175']",1,0.0014591749608125451,19.5685,13.9265,11.322688,113.633,1.90043
13_146,"['12_111', '11_138']",1,0.0012489008398220824,19.6504,14.371,9.492491999999999,125.641,2.01078
13_62,"['10_51', '12_124']",1,0.0012425288967618257,22.469,13.7491,9.852481999999998,121.29,1.97033
13_173,"['12_116', '12_63']",1,0.0011851814092188816,21.2436,13.9865,9.881479,121.675,1.96658
13_134,"['12_124', '12_123']",1,0.0011150900355554243,23.4636,14.1257,9.730324,125.13,2.00376
13_138,"['12_84', '12_84']",1,0.0009366756298666071,20.1623,13.8538,10.006292,123.51,1.99094
13_66,"['10_176', '12_123']",1,0.0007710051102983939,20.118,15.2439,9.330677,119.299,1.95642
13_76,"['12_27', '12_4']",1,0.0007009137366348458,19.9402,16.3937,9.85218,113.524,1.89704
13_10,"['12_110', '12_42']",1,0.0005989626476698333,15.678,18.7557,9.39134,113.158,1.93464
13_26,"['11_138', '12_26']",1,0.0005352432170666326,25.4237,13.8869,10.670414000000001,120.629,1.93034
13_145,"['12_89', '12_124']",1,0.0005161273878856815,19.8401,13.2652,10.224744,124.603,2.00598
11_175,"['10_173', '10_69']",1,0.000446036014222224,21.2923,15.0819,9.109455,117.879,1.94353
13_104,"['11_101', '12_110']",1,0.0004460360142221335,23.3616,14.4065,9.115056,121.186,1.96057
13_168,"['12_123', '12_149']",1,0.00040143241279997445,23.9869,11.9468,9.227280000000002,122.025,1.97456
13_124,"['10_173', '12_119']",1,0.00038231658361893275,20.3257,15.0514,9.992507999999999,116.056,1.91997
13_6,"['12_98', '12_4']",1,0.0003632007544380721,25.7612,15.911,9.336808,123.705,1.93799
13_121,"['12_4', '10_173']",1,0.00028673743771426746,28.8333,16.7699,10.012139999999999,111.883,1.87388
13_114,"['11_138', '12_110']",1,0.00017204246262856048,20.4513,14.2238,10.684269000000002,120.67,1.95505
12_163,"['8_140', '10_51']",1,0.0,inf,inf,inf,0.0,inf
13_37,"['11_101', '12_4']",2,0.022180733792962794,16.7833,15.3662,11.483422000000001,107.375,1.87326
13_98,"['12_120', '11_20']",2,0.01137391836266549,26.3183,14.1078,9.887412,136.048,2.08232
13_65,"['12_171', '12_42']",2,0.007837489964189707,20.8112,18.223,11.395835,110.722,1.89027
12_72,"['10_173', '10_18']",2,0.007818374135008755,28.6867,13.8826,9.571166000000002,143.229,2.12996
13_163,"['12_72', '12_177']",2,0.007206667601218317,26.8478,14.52,9.24399,134.65,2.06868
13_12,"['12_1', '10_51']",2,0.005792096241828022,19.3214,15.1459,9.959253999999998,123.446,2.00037
13_156,"['11_28', '12_110']",2,0.0049573717009264275,25.17,16.3202,9.270703,129.452,2.02237
13_46,"['11_86', '9_19']",2,0.004473104028342391,32.0885,13.8567,9.274249000000001,139.751,2.0916
