cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years,Global GDP loss,SLR - ft
10_173,"['9_18', '9_116']",1,inf,54.7708,24.6186,9.675202000000002,108.962,1.85498
10_51,"['9_50', '9_23']",1,inf,10.419,15.5469,9.424856,105.287,1.89899
9_19,"['8_10', '8_154']",1,inf,31.875,13.8748,9.281733000000001,139.563,2.09124
8_140,"['5_40', '5_40']",1,inf,41.976,11.4986,9.966782,150.858,2.20017
0_34,[],1,inf,inf,inf,inf,0.0,inf
10_129,"['9_115', '8_117']",1,inf,inf,inf,inf,0.0,inf
10_175,"['9_50', '9_50']",1,0.022231664188150653,15.5562,17.3849,11.191094,105.903,1.8843
10_105,"['9_115', '7_123']",1,0.008947651241549106,23.827,15.1138,9.996274,121.232,1.96187
10_104,"['9_4', '8_121']",1,0.00384898964021944,13.3415,23.7861,10.965698999999999,105.404,1.87541
10_61,"['8_140', '8_121']",1,0.0035490683695530677,31.7946,13.5812,9.877292,150.074,2.20495
10_96,"['9_23', '9_18']",1,0.0028679971507479486,23.0334,15.2589,9.516718000000001,132.51,2.06249
10_176,"['8_162', '4_30']",1,0.0025493308006648333,22.5522,14.2246,10.449876999999999,123.666,1.97853
10_150,"['8_162', '9_119']",1,0.0023806250859149487,28.1656,14.783,9.662875,136.124,2.06155
10_131,"['9_2', '9_19']",1,0.002355631646692803,25.0996,14.1696,9.934377999999999,145.326,2.18101
10_69,"['9_116', '9_119']",1,0.0023243898476648984,22.2896,15.3174,10.077724,129.402,2.03645
10_123,"['9_116', '9_122']",1,0.001837017782832076,24.481,15.4253,9.596537,126.499,2.00447
10_18,"['8_83', '9_115']",1,0.0016683120680821028,25.5392,13.6326,9.572567000000001,135.559,2.08803
10_164,"['9_119', '8_168']",1,0.0016683120680821028,23.2466,13.7708,9.962264000000001,134.258,2.10452
10_6,"['9_115', '9_119']",1,0.0015870833906099066,21.1665,14.4496,10.347469,122.509,1.99549
10_156,"['9_106', '7_123']",1,0.0015808350308045033,21.1433,14.2714,10.042502999999998,133.517,2.07521
10_76,"['9_128', '9_55']",1,0.0015808350308044146,23.0168,15.3277,11.917019000000002,122.477,1.96144
10_17,"['9_50', '9_119']",1,0.0015308481523598563,33.3985,13.2119,9.745096,141.099,2.0954
9_116,"['7_111', '8_111']",1,0.0012309268816934837,27.6989,25.038,9.318402,125.933,1.98576
10_139,"['9_2', '8_162']",1,0.0006373327001662306,21.7123,13.6324,10.332193,130.413,2.04311
10_26,"['9_176', '4_30']",1,0.0005873458217217611,17.231,14.7174,9.880637000000002,130.458,2.07925
10_124,"['9_119', '9_141']",1,0.0005623523824995263,28.6741,14.8331,10.054122000000001,127.375,2.00771
10_94,"['8_131', '6_65']",1,0.0004311368265829495,21.9632,14.3551,10.137485999999999,126.487,2.0105
10_93,"['9_55', '9_113']",1,0.00021869259319444277,22.6145,14.295,9.862464999999998,128.789,2.02882
9_119,"['8_117', '8_112']",1,0.0,inf,inf,inf,0.0,inf
8_121,"['5_138', '6_165']",2,0.028292573199535157,14.718,17.479,9.846439,114.001,1.95144
10_141,"['8_168', '8_57']",2,0.01797028280076483,13.3481,15.7182,10.098467,111.678,1.92624
7_45,"['6_165', '2_113']",2,0.017945289361542594,16.4338,17.1898,9.869108999999998,116.769,1.97583
6_65,"['4_154', '5_59']",2,0.016970545231876594,11.4663,19.0692,11.459492000000001,109.365,1.91681
9_50,"['8_121', '6_65']",2,0.01451493982829512,20.0758,17.2279,11.201114,112.241,1.90596
10_22,"['0_34', '7_111']",2,0.0075292735656890845,47.4034,13.529,9.893272999999999,154.053,2.21532
7_123,"['6_65', '6_2']",2,0.007379312930355765,16.111,16.4332,9.937763,120.16,1.99313
10_44,"['8_121', '9_4']",2,0.006760725309606188,20.6963,19.026,9.73621,118.413,1.93499
9_94,"['7_111', '7_123']",2,0.005854713137801401,14.2326,18.7023,9.834639,119.132,1.98721
3_102,"['0_107', '1_33']",2,0.005742242661301389,13.4041,18.8073,9.946505,119.772,2.0061
10_121,"['9_141', '7_123']",2,0.005236125517051824,24.6435,15.9212,9.897189000000001,124.333,2.00343
9_141,"['7_45', '8_42']",2,0.004798740330663205,17.7248,16.0932,9.764337999999999,123.299,2.00528
10_111,"['3_102', '4_30']",2,0.004692518213968863,25.8354,15.4933,9.894532,135.029,2.07131
9_115,"['8_121', '8_104']",2,0.004148910910885902,22.0726,16.3253,9.590592000000001,122.235,1.97786
10_78,"['9_93', '9_3']",2,0.0037177740843028634,32.1768,13.8122,9.912916,147.234,2.18035
10_74,"['9_116', '9_19']",2,0.00371152572449746,23.659,15.0015,9.87862,132.707,2.0801
10_138,"['9_113', '8_140']",2,0.0036865322852749588,42.0362,12.5332,10.13169,153.222,2.20066
10_28,"['9_122', '9_106']",2,0.0033491208557753674,21.7031,15.6368,9.898878,125.375,2.00701
10_102,"['7_123', '9_2']",2,0.0033428724959697867,23.1759,14.4385,9.882803,140.438,2.14839
10_158,"['9_176', '9_57']",2,0.0027117881556092257,17.6269,17.0468,9.883711,125.924,2.04248
10_83,"['9_92', '8_20']",2,0.002705539795803556,19.103,14.8722,9.912214,133.909,2.09319
10_157,"['9_128', '9_18']",2,0.0024368603241648216,23.4347,15.2004,9.943008,130.591,2.05547
10_0,"['9_18', '7_123']",2,0.00238687344572053,25.5627,15.3901,10.027147,130.356,2.02774
10_88,"['9_141', '6_65']",2,0.0022181677309705563,24.5993,15.4839,10.003538,130.031,2.04751
10_147,"['9_115', '7_111']",2,0.0021869259319428295,21.4242,15.5882,9.655639,126.43,2.01467
10_79,"['9_2', '9_141']",2,0.0019307431799152567,26.0165,14.8301,9.902218000000001,135.899,2.10162
10_68,"['8_117', '9_4']",2,0.0019182464603042725,33.836,13.949,9.886221,149.28,2.1951
10_137,"['9_113', '9_106']",2,0.001887004661276368,21.0612,15.9878,9.886408,128.679,2.04438
10_153,"['7_111', '9_92']",2,0.001887004661276368,24.4034,15.3208,9.906304,131.245,2.04893
10_100,"['8_83', '9_161']",2,0.0017870309043876067,22.2888,19.2096,9.527754999999999,132.248,2.0686
10_10,"['8_83', '9_106']",2,0.0017120505867209914,35.9746,15.0858,9.672447,146.41,2.13695
10_90,"['9_128', '8_140']",2,0.0016495669886655378,30.3425,14.6542,9.948410999999998,142.331,2.11737
10_165,"['8_20', '8_168']",2,0.0015808350308045033,26.1744,17.0383,9.570003000000002,128.8,2.01742
10_54,"['9_106', '9_161']",2,0.001543344871971107,12.5279,18.9089,9.819772,127.748,2.06527
10_163,"['9_93', '0_34']",2,0.0014246260356656918,26.1504,14.3191,9.961113000000001,140.079,2.14345
10_114,"['9_171', '9_92']",2,0.001324652278776753,23.1814,14.8163,10.052877999999998,133.708,2.06989
10_38,"['0_34', '9_102']",2,0.0012684170405268802,34.5684,15.8927,9.451020000000002,136.418,2.05513
10_23,"['9_141', '8_168']",2,0.0012559203209157185,24.3763,15.3813,9.845724999999998,136.625,2.07934
10_53,"['0_34', '8_162']",2,0.001193436722860265,19.7843,15.33,9.891580999999999,133.697,2.09906
10_7,"['9_19', '0_34']",2,0.0011496982042213764,33.6467,13.3385,9.907345,143.951,2.16465
