cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years,Global GDP loss,SLR - ft
72_108,"['66_22', '69_66']",1,inf,7.3804,9.70284,11.477386000000001,82.509,1.73245
92_63,"['90_74', '84_140']",1,inf,6.27714,6.77783,9.305455,87.275,1.77679
94_155,"['91_79', '91_79']",1,inf,10.6544,5.52132,9.333975,94.9233,1.80045
100_175,"['94_162', '94_162']",1,inf,7.84382,6.94484,8.459239,96.3617,1.83997
0_34,[],1,inf,inf,inf,inf,0.0,inf
100_141,"['99_64', '94_155']",1,inf,inf,inf,inf,0.0,inf
99_30,"['98_60', '98_166']",1,0.019109216522122656,14.8616,5.9056,8.534862,110.646,1.90828
89_137,"['88_174', '88_11']",1,0.016556666176686788,6.4585,7.41811,10.588568,83.4205,1.74412
96_116,"['95_24', '89_137']",1,0.015524033514625911,6.75702,6.75651,10.161902,85.104,1.75488
98_76,"['94_78', '97_30']",1,0.012805379979420845,6.69937,6.81622,9.465167,86.6317,1.76787
100_152,"['99_164', '94_61']",1,0.012509922093194086,7.11377,6.40826,8.691722,88.9714,1.78862
100_91,"['99_61', '99_173']",1,0.011228134646479464,6.59397,6.33537,10.109147,85.5327,1.76091
100_87,"['99_17', '94_162']",1,0.00950830515948847,7.62945,6.20835,8.502577,93.7028,1.81917
97_70,"['96_95', '94_162']",1,0.008608702043216244,7.67604,6.47937,8.469247,93.3489,1.81678
98_25,"['97_138', '97_124']",1,0.008424224606791072,6.94272,6.34628,8.504742,91.2385,1.807
98_21,"['96_3', '93_56']",1,0.007199764809642841,6.89096,6.31074,8.503199,94.6426,1.8321
100_179,"['99_78', '99_59']",1,0.006927825959135666,7.72635,6.03008,8.512734,95.2847,1.83169
100_157,"['99_67', '99_133']",1,0.006769072468028754,15.4215,6.55923,8.465176999999999,113.811,1.93051
100_167,"['92_63', '89_137']",1,0.006699250330736467,6.42195,6.98445,11.284799,82.8513,1.73972
100_173,"['99_125', '99_59']",1,0.006646332500367531,6.87188,6.1462,8.503657,91.8868,1.81117
100_68,"['99_17', '99_164']",1,0.004764809642804586,7.58712,5.95436,8.668336,91.312,1.80002
98_167,"['97_70', '97_77']",1,0.0047383507276201695,7.65165,6.21598,8.543465,92.2163,1.80682
99_130,"['98_30', '98_111']",1,0.003643980596795551,7.02947,6.05163,8.515711,96.0127,1.84239
100_27,"['94_155', '99_125']",1,0.0034830221960899634,7.12547,5.7391,8.976737,89.7703,1.79054
100_29,"['99_138', '98_167']",1,0.0033558724092311817,11.2099,6.01948,8.603511,97.0813,1.81629
100_69,"['99_124', '99_125']",1,0.0032485668087607897,14.4896,6.11295,8.480566999999999,104.705,1.85734
99_67,"['96_67', '98_111']",1,0.0031603704248126326,14.8454,6.30721,8.470562000000001,109.182,1.8952
100_155,"['99_138', '89_137']",1,0.002803175069822132,7.20925,6.50759,9.29747,89.1823,1.78377
100_31,"['95_89', '99_140']",1,0.002628252241658129,6.52202,6.07984,8.942,89.496,1.79359
100_107,"['99_179', '94_155']",1,0.0023666029692781753,14.1574,5.93093,8.570137,104.034,1.8536
100_1,"['99_30', '97_172']",1,0.002285756283992408,14.713,5.93054,8.547908999999999,110.138,1.90359
100_50,"['99_21', '94_61']",1,0.0020160223430840136,6.72416,6.20854,8.732192000000001,89.5399,1.79269
100_93,"['99_164', '97_70']",1,0.0019623695428487133,14.4566,5.94372,8.529358,104.474,1.85524
100_165,"['99_163', '99_138']",1,0.001825665147728866,6.80753,6.02302,8.664506,90.0138,1.79648
100_80,"['99_53', '98_25']",1,0.0018227252682640354,14.5513,6.20632,8.497441,103.79,1.84866
100_46,"['99_125', '99_176']",1,0.0014625900338085995,14.759,5.9688,8.507342,108.753,1.89241
100_96,"['99_124', '99_130']",1,0.0011024547993532684,14.5491,5.98573,8.511174999999998,105.448,1.86347
100_120,"['92_63', '98_76']",1,0.0010105835660738118,7.11373,6.76302,9.484112,89.0774,1.78185
100_0,"['99_95', '99_95']",1,0.0008672644421578347,14.8795,6.65518,8.463213,108.918,1.89327
100_113,"['99_95', '99_125']",1,0.0007864177568719632,14.4538,6.21363,8.486134,105.15,1.86304
100_114,"['99_173', '99_17']",1,0.0007790680582095733,7.39179,6.45279,9.213719999999999,88.9771,1.78163
99_165,"['97_70', '95_89']",1,0.0007709833896810279,7.51648,6.53538,9.031009999999998,89.1146,1.78169
100_38,"['99_124', '94_162']",1,0.0006467734822871811,14.6417,6.75043,8.467286999999999,106.568,1.87409
100_110,"['98_167', '99_78']",1,0.00048508011171543805,14.1598,5.82455,8.69521,104.125,1.85332
100_158,"['99_67', '99_158']",1,0.00038953402910478664,14.4068,6.42789,8.502148,104.416,1.8548
100_123,"['99_133', '97_70']",1,9.55460826106514e-05,14.6043,6.51253,8.468856999999998,104.122,1.8523
98_32,"['97_167', '97_138']",1,5.5857709833871075e-05,7.42873,6.27534,8.848553999999998,90.0187,1.78971
99_173,"['92_63', '96_116']",1,0.0,inf,inf,inf,0.0,inf
100_59,"['99_64', '98_76']",1,0.0,inf,inf,inf,0.0,inf
100_111,"['98_76', '97_70']",1,0.0,inf,inf,inf,0.0,inf
94_162,"['92_20', '92_20']",2,0.009451712479788339,14.7629,6.96146,8.461596000000002,107.333,1.88032
100_102,"['98_26', '94_162']",2,0.00832426870498307,7.71838,7.30347,8.536855,92.5315,1.80872
100_57,"['99_109', '99_30']",2,0.008258856386888133,7.33667,6.14768,9.233258,90.1658,1.79133
100_14,"['98_167', '99_140']",2,0.00537997942084374,14.9371,6.30522,8.485524,109.919,1.90048
99_124,"['98_25', '97_70']",2,0.005350580626194285,11.1127,6.1138,8.687757999999999,95.8659,1.80599
100_40,"['97_70', '89_137']",2,0.004874320152873757,14.0475,6.57435,10.439124,97.2682,1.79068
100_48,"['99_130', '98_25']",2,0.004085697486403118,7.9081,6.22579,8.519132,97.7445,1.84963
