cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years,Global GDP loss,SLR - ft
22_5,"['21_164', '20_90']",1,inf,10.4611,12.548,9.819727000000002,93.6772,1.80308
25_152,"['23_36', '21_99']",1,inf,7.47927,13.512,9.088909999999998,96.063,1.836
23_24,"['22_137', '22_54']",1,inf,16.2237,9.74964,10.20963,106.468,1.86152
26_45,"['25_134', '25_4']",1,inf,18.4049,15.4056,8.587622,121.677,1.98148
0_34,[],1,inf,inf,inf,inf,0.0,inf
26_166,"['25_103', '25_94']",1,inf,inf,inf,inf,0.0,inf
22_137,"['21_53', '21_7']",1,0.6061915177242548,8.88906,10.2906,9.844925,93.1629,1.80813
26_146,"['25_127', '25_4']",1,0.016326504199723015,17.9969,12.0876,8.627246000000001,118.182,1.9566
25_61,"['24_140', '24_112']",1,0.010534898468945347,9.19907,10.9133,8.859276999999999,102.839,1.88009
26_164,"['25_141', '25_44']",1,0.00901872727037422,11.1978,13.2215,9.146814000000001,94.9587,1.81179
26_89,"['25_155', '25_52']",1,0.008292673456973832,10.409,12.8064,9.492918,93.8419,1.8106
25_81,"['24_13', '24_145']",1,0.008030595208821358,11.9919,12.2949,8.815204000000001,101.102,1.85698
25_178,"['24_101', '22_137']",1,0.007135646524389447,8.11469,11.2937,9.186631,99.7664,1.86274
25_73,"['24_159', '24_42']",1,0.006766795656619233,11.5777,14.0592,8.777228000000001,98.6177,1.83985
24_147,"['23_25', '22_120']",1,0.0066749064930694485,8.63466,13.5026,8.857043,96.8267,1.8375
25_62,"['22_137', '22_57']",1,0.006160456598547881,9.8281,12.2576,9.251617999999999,97.2892,1.83729
23_6,"['21_99', '22_57']",1,0.005513349812986164,7.59399,12.5108,8.833607,100.288,1.86709
23_131,"['22_120', '18_75']",1,0.005337983874098901,9.04954,14.9211,8.986267,95.7197,1.83216
26_74,"['22_137', '25_119']",1,0.005170383216638453,15.8075,10.9981,9.778754,105.237,1.84722
26_171,"['25_119', '25_152']",1,0.004248256047212965,7.85963,13.2546,8.989512,99.1473,1.85649
26_100,"['25_44', '25_103']",1,0.0034879055741778606,19.9988,12.7344,8.618718,111.931,1.89433
26_27,"['25_43', '25_134']",1,0.0033714263527767404,10.7299,13.8469,8.664353000000002,103.363,1.87643
26_140,"['25_14', '24_147']",1,0.00318505959853493,10.4628,12.9448,8.703869999999998,98.8244,1.84777
26_23,"['25_47', '25_119']",1,0.0030349308242845854,16.3513,10.8371,9.084894,104.804,1.84877
