cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years,Global GDP loss,SLR - ft
15_94,"['12_119', '14_122']",5,0.004011313962458185,30.1642,22.146,9.946411999999999,129.023,2.00779
15_153,"['14_118', '14_43']",5,0.0034327590640266894,26.1437,14.4528,10.099974,128.625,2.01408
15_169,"['14_65', '14_7']",5,0.0034070455129853504,27.4974,15.9643,9.891002,129.332,2.02328
15_119,"['14_28', '14_9']",5,0.002063512471072242,25.9936,16.2777,9.900373,133.701,2.05848
15_166,"['14_118', '0_34']",5,0.0016906659809720057,27.7614,14.9391,9.889953,131.988,2.05642
15_33,"['14_7', '14_99']",5,0.0015685266135253265,23.2127,15.6025,11.210874,118.976,1.93545
15_108,"['14_120', '14_64']",5,0.001311391103111298,22.4627,15.4297,10.46978,119.876,1.95538
15_93,"['14_130', '14_10']",5,0.0012792491643094873,24.036,15.8278,9.901891,130.992,2.06455
15_34,"['13_159', '14_9']",5,0.0010028284906145918,20.7525,16.3812,10.23958,118.107,1.9391
15_69,"['14_43', '12_4']",5,0.0009578297762921117,21.8502,15.0792,10.302899,121.518,1.97631
15_16,"['14_4', '14_151']",5,0.0006492671637953143,23.8854,15.2794,9.968668000000001,124.75,1.99393
15_23,"['14_14', '14_4']",5,0.00046927230650557663,24.1041,16.2168,9.913762,130.389,2.05117
15_22,"['0_34', '14_112']",5,0.00043713036770385736,38.5428,14.3622,9.957370000000001,143.569,2.12315
15_36,"['14_151', '14_139']",5,0.0004242735921830052,33.0642,16.7937,9.859800000000002,125.389,2.0043
15_20,"['13_159', '0_34']",5,0.00026999228593469783,22.5134,15.7108,10.423675,121.588,1.97606
15_68,"['14_65', '0_34']",6,0.017350218565183748,35.721,17.2257,9.922542,144.35,2.10829
15_141,"['0_34', '0_34']",6,0.0139367446644382,38.4125,16.2535,9.913597999999999,153.43,2.2082
15_71,"['13_159', '14_171']",6,0.008183337618925148,30.9318,19.8139,9.923988,136.123,2.05984
15_51,"['0_34', '13_97']",6,0.007276934944715897,28.7211,16.3495,9.911645,150.059,2.20173
15_82,"['14_122', '0_34']",6,0.005502699922859311,28.0319,16.7151,9.904823,140.962,2.13272
15_43,"['14_7', '8_140']",6,0.005136281820519456,36.4934,16.6079,9.892019999999999,150.407,2.17493
15_67,"['14_7', '14_68']",6,0.005071997942916018,42.047,30.2904,9.89623,142.042,2.10405
15_19,"['8_140', '12_4']",6,0.004217022370789261,29.4806,16.1009,9.950085999999999,140.399,2.12042
15_126,"['14_10', '14_122']",6,0.002757778349190036,23.3332,16.4912,10.55261,119.19,1.94073
15_136,"['11_58', '0_34']",6,0.002725636410388317,30.3897,16.5695,9.992173,141.255,2.11822
15_101,"['14_139', '14_115']",6,0.00224993571612236,30.2069,16.4857,10.503399,130.805,2.01947
15_26,"['14_117', '14_115']",6,0.0019863718179480424,24.8402,16.0577,10.261849,129.249,2.02853
15_178,"['14_28', '13_39']",6,0.0018513756749806022,27.135,14.8183,10.106178,131.509,2.04788
15_106,"['14_4', '14_151']",6,0.0015620982257651286,31.1782,30.395,9.891106000000002,131.122,2.05558
15_99,"['10_51', '13_102']",6,0.0008421187966058127,25.0086,18.5177,10.505193,125.193,1.96476
15_117,"['13_159', '14_69']",6,0.0007971200822833326,24.4635,20.3482,9.940195,132.04,2.05653
15_135,"['14_65', '14_139']",6,0.0003021342247364171,28.7043,16.8652,9.955044,130.475,2.05254
15_100,"['12_119', '14_115']",7,inf,46.6913,17.9692,9.91234,155.56,2.21227
15_58,"['14_171', '14_115']",7,0.007373360761121238,33.4705,15.3733,10.118361,138.428,2.07778
15_128,"['10_173', '0_34']",7,0.007174080740550359,29.0176,16.8714,9.918859000000001,148.688,2.17838
15_37,"['14_57', '0_34']",8,0.012046798662895314,41.539,17.7834,9.925785999999999,154.706,2.21708
