cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years,Global GDP loss,SLR - ft
51_129,"['45_154', '46_98']",1,inf,9.04063,11.3231,11.148257000000001,85.7713,1.74467
39_89,"['33_139', '38_135']",1,inf,6.46886,9.76523,9.614389000000001,87.9544,1.78002
54_123,"['50_124', '51_45']",1,inf,14.9558,6.74578,8.584339,112.43,1.91802
53_166,"['52_109', '52_107']",1,inf,15.7862,8.82492,8.506321999999999,113.23,1.9227
0_34,[],1,inf,inf,inf,inf,0.0,inf
54_136,"['53_108', '53_167']",1,inf,inf,inf,inf,0.0,inf
46_98,"['45_154', '33_139']",1,0.5684208782324015,8.48508,11.6207,10.407293,85.6665,1.75506
52_116,"['50_123', '50_29']",1,0.01172213606902858,7.31204,8.09079,8.801537,91.0656,1.8006
51_45,"['50_6', '49_84']",1,0.00883136506421726,8.02877,7.34174,8.607036,96.6013,1.83755
54_47,"['53_76', '53_123']",1,0.00823757074502637,6.96006,8.53679,9.284304,87.7776,1.78041
54_129,"['46_98', '51_78']",1,0.00761859318461971,7.01151,11.0887,9.776663,86.7114,1.76914
54_107,"['51_45', '53_12']",1,0.007090407835964252,8.49604,8.24921,8.715700000000002,92.1277,1.80346
52_127,"['44_128', '51_100']",1,0.006622529722851743,7.49898,10.1074,9.641366,88.4311,1.77676
54_121,"['53_39', '51_78']",1,0.006433655413734219,6.71774,8.34921,9.262868,89.4431,1.79236
54_58,"['52_98', '53_25']",1,0.006271289779580326,6.93529,9.94624,9.389077,88.9537,1.78741
54_5,"['51_93', '53_62']",1,0.005969090884992117,6.89806,8.14061,8.567749,97.0481,1.8449
53_36,"['52_143', '52_116']",1,0.005760335069651491,7.40766,8.10745,8.568099,94.6216,1.827
50_61,"['49_120', '49_38']",1,0.005677495460389436,6.89742,8.87811,9.950531,86.4169,1.76785
54_19,"['53_10', '53_41']",1,0.005580076079897138,14.8805,7.70615,8.522661999999999,117.383,1.95632
54_46,"['53_72', '51_45']",1,0.005195700292920898,15.2135,7.45406,8.564035,116.401,1.94919
53_123,"['51_78', '51_177']",1,0.004720532294193268,6.84762,8.26472,8.718215999999998,93.0202,1.81989
54_158,"['53_12', '53_167']",1,0.00423476082548011,14.9075,8.09111,8.532596999999999,108.595,1.88464
54_50,"['53_25', '53_108']",1,0.003923283894654611,7.82794,9.09613,8.523554999999998,93.7635,1.81766
54_104,"['53_108', '53_176']",1,0.003029278831497587,7.41173,9.30412,8.524846,94.5044,1.82863
54_144,"['53_103', '53_78']",1,0.002999456572163266,6.80938,6.95266,8.593157,99.8859,1.87162
53_119,"['49_93', '51_165']",1,0.0029497528066059387,9.93633,10.1889,8.596068,93.2366,1.8101
54_74,"['53_78', '53_36']",1,0.002902699908545087,14.4795,7.30884,9.447750999999998,102.699,1.83595
52_98,"['48_101', '51_73']",1,0.0028788421010775547,8.20928,9.87553,9.280757,89.3774,1.78435
53_108,"['52_127', '51_72']",1,0.0028138958474160543,8.51544,10.7644,8.513489,94.1645,1.8196
54_132,"['53_11', '53_108']",1,0.002703884846315965,15.0605,9.7612,8.516941,106.485,1.87112
54_52,"['53_3', '53_166']",1,0.002690630508833961,14.954,9.16372,8.519025999999998,112.207,1.91808
54_44,"['53_119', '53_3']",1,0.0026574946651292328,8.29195,8.81389,8.583854,94.0798,1.81855
53_175,"['52_109', '52_115']",1,0.002576643206489346,7.01826,8.68882,9.009786,92.1598,1.80879
54_146,"['53_39', '53_103']",1,0.0024586796029000164,14.6878,7.49116,8.559456999999998,107.247,1.88077
53_3,"['52_26', '50_124']",1,0.00237252640926746,15.505,9.36266,8.518531,113.967,1.93181
54_22,"['53_166', '53_11']",1,0.002306254721857721,15.4143,10.1964,8.506878,113.44,1.92698
54_138,"['53_10', '53_123']",1,0.0021472026720744234,14.4709,7.44619,8.597247,105.85,1.8692
54_147,"['53_167', '51_78']",1,0.0019762217185573597,6.99796,9.02423,8.570217000000001,93.4878,1.8225
54_42,"['53_25', '50_61']",1,0.0019517011942158024,6.70234,9.23488,9.810917,86.628,1.76964
54_145,"['53_176', '53_115']",1,0.001504367304200325,14.9085,8.676,8.53393,107.449,1.87894
53_77,"['50_123', '51_45']",1,0.001477858629236505,14.5681,6.80106,8.613099000000002,112.377,1.91855
54_88,"['53_3', '53_108']",1,0.0014380956167905864,15.9299,9.25456,8.517375000000001,108.509,1.88479
54_112,"['53_83', '53_36']",1,0.001385078266862852,15.662,8.52555,8.524559,109.386,1.89146
54_160,"['53_41', '53_108']",1,0.0013784510981218498,15.5433,8.14095,8.544893,107.078,1.87076
54_63,"['52_116', '53_41']",1,0.0013386880856760253,15.7335,8.06878,8.563515999999998,107.804,1.87796
54_135,"['53_148', '53_39']",1,0.0012260262170795543,14.618,8.12993,8.560114,106.862,1.87749
