cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years,Global GDP loss,SLR - ft
72_108,"['66_22', '69_66']",1,inf,7.3804,9.70284,11.477386000000001,82.509,1.73245
69_8,"['67_34', '68_42']",1,inf,6.43419,6.88147,8.85096,90.5674,1.80203
71_70,"['69_3', '69_8']",1,inf,10.8112,5.83664,8.776468,97.5253,1.82074
70_131,"['68_15', '69_13']",1,inf,14.714,8.30498,8.483391,104.966,1.8584
0_34,[],1,inf,inf,inf,inf,0.0,inf
72_87,"['69_8', '66_107']",1,inf,inf,inf,inf,0.0,inf
69_17,"['68_138', '68_121']",1,0.018460028967901665,10.8622,7.22699,9.444009000000001,94.513,1.79517
72_29,"['71_86', '69_3']",1,0.013923281782927618,11.6159,6.3797,8.783168,95.7538,1.80558
69_66,"['67_151', '67_151']",1,0.010537908570894608,6.70987,10.3445,11.441908999999999,83.7949,1.74524
66_22,"['63_31', '65_93']",1,0.009487321537034231,7.72583,8.73569,10.004838,84.514,1.74994
72_33,"['71_33', '70_131']",1,0.008516830083900096,14.7252,7.75845,8.491166,107.875,1.88361
72_20,"['71_128', '71_128']",1,0.007267339024569361,7.62382,7.60304,9.989790000000001,87.3478,1.76679
71_16,"['70_89', '70_157']",1,0.007131844000507274,7.97343,8.74248,9.075027,88.2296,1.77649
67_151,"['62_164', '65_141']",1,0.007129174147816402,7.50154,10.3168,11.444182,85.5092,1.75101
68_102,"['67_3', '67_94']",1,0.006475060238551258,7.0712,7.32183,9.472953,88.7889,1.78108
72_59,"['71_70', '71_134']",1,0.006414321089833859,14.8982,6.59774,8.523244,108.767,1.89052
67_123,"['64_159', '66_52']",1,0.006163354936891363,7.56276,8.51318,9.938367,86.3223,1.76261
72_126,"['71_64', '68_102']",1,0.006163354936891363,7.62692,7.25374,9.285169,89.3864,1.78209
72_67,"['66_107', '67_123']",1,0.00546318606870866,8.371,8.72167,10.562648,86.9843,1.75939
72_146,"['71_133', '71_5']",1,0.004960586299650928,6.7236,6.85776,8.562913,91.5069,1.80797
72_35,"['70_168', '66_107']",1,0.004940562404469343,6.58395,9.43251,10.285152,86.0609,1.76429
72_159,"['69_3', '71_134']",1,0.004872481160851976,15.0014,6.48645,8.518525,110.662,1.90732
66_107,"['63_165', '65_5']",1,0.004799727675025513,7.8195,9.06398,11.118851000000001,84.0878,1.74222
70_158,"['69_151', '69_8']",1,0.00464954846116368,7.59514,6.85076,8.571283000000001,92.0412,1.80792
69_159,"['68_125', '68_87']",1,0.004118915238851748,6.48795,6.46895,8.822242,90.1098,1.79846
72_120,"['69_3', '71_133']",1,0.0038439204116912187,6.74499,6.48044,8.540547,92.6121,1.81671
72_174,"['71_155', '71_70']",1,0.003810547253055277,6.69977,6.38131,8.666599,92.2035,1.81269
70_157,"['69_8', '69_66']",1,0.003763824830964977,6.89006,9.38504,9.017181000000003,89.7123,1.79171
72_143,"['71_30', '66_22']",1,0.003733121525019812,7.70046,7.91809,9.442304000000002,88.4163,1.77562
72_161,"['69_17', '71_169']",1,0.0036823943238931574,7.35394,9.0569,10.627937,85.5821,1.75296
72_137,"['71_153', '70_131']",1,0.0036289972700755367,7.88549,8.73274,8.699808999999998,90.9971,1.79588
72_46,"['71_84', '71_37']",1,0.002653166111559848,7.46149,8.38749,9.364014999999998,89.9503,1.78712
71_84,"['69_128', '66_107']",1,0.0024262286328351965,6.66006,8.46582,9.624062,87.1408,1.77302
72_91,"['70_131', '71_151']",1,0.0018688968836144543,11.788,8.00187,8.513458000000002,102.735,1.86009
72_133,"['70_131', '71_86']",1,0.00177545203943376,14.7131,6.80762,8.501583,106.458,1.87075
72_31,"['71_52', '66_22']",1,0.0015151414020731664,14.6883,7.78367,8.489762,105.246,1.86033
72_25,"['71_86', '70_168']",1,0.0015017921386188085,14.6087,6.70259,8.53467,104.368,1.85345
72_66,"['70_131', '70_157']",1,0.0015017921386187138,14.9685,9.44504,8.511135000000001,104.865,1.85607
72_168,"['70_158', '71_153']",1,0.001402340125883535,6.84152,6.95072,8.550493,91.298,1.80657
