cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ
12_86,"['9_37', '11_17']",1,inf,28.897666666666666,15.727466666666666
15_67,"['14_51', '14_19']",1,inf,30.0492,14.945083333333335
13_24,"['12_8', '11_24']",1,0.4667641519974735,28.931399999999996,15.425396666666666
15_69,"['14_41', '14_51']",1,0.42439798012110996,29.755866666666666,15.04474
15_53,"['14_14', '14_51']",1,0.34289085556433413,29.602800000000002,15.068456666666668
15_60,"['14_34', '13_24']",1,0.30368043029661396,29.179100000000002,15.289516666666666
15_36,"['14_34', '14_66']",1,0.2707264352923936,29.462366666666668,15.146686666666668
15_79,"['12_44', '14_16']",1,0.20866582593451666,29.340033333333334,15.277663333333335
14_66,"['13_11', '13_24']",1,0.20348504644540172,29.0836,15.341029999999998
15_37,"['14_63', '14_34']",1,0.17109884773138948,29.402066666666666,15.202426666666668
15_57,"['14_66', '14_66']",1,0.16991195345189658,29.024199999999997,15.343476666666666
12_44,"['11_10', '9_28']",1,0.163237575740282,29.733500000000003,15.062629999999999
15_43,"['13_11', '14_43']",1,0.15003363429706035,29.397999999999996,15.274986666666665
14_7,"['13_24', '12_9']",1,0.13391354327695792,28.9956,15.414176666666668
13_11,"['12_8', '12_57']",1,0.12360881158164813,29.422066666666666,15.157473333333334
15_82,"['14_81', '14_81']",1,0.07009254757299388,28.98296666666667,15.42023333333333
14_51,"['12_4', '13_47']",2,inf,30.249433333333332,14.975573333333335
15_50,"['13_72', '13_24']",2,inf,28.9443,15.626866666666666
15_32,"['14_51', '14_19']",2,0.49699235620274296,30.132033333333336,15.054509999999999
15_77,"['14_16', '14_34']",2,0.4784451795849093,29.477999999999998,15.225113333333333
15_5,"['14_19', '11_10']",2,0.4767503586476446,29.69926666666667,15.071530000000001
15_41,"['14_66', '14_7']",2,0.4029473782500707,29.047233333333335,15.429509999999999
15_85,"['13_24', '14_41']",2,0.38189076300124947,28.9909,15.614600000000001
