cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ
11_51,"['10_83', '10_18']",1,inf,17.5739,44.1295
12_71,"['10_54', '10_54']",1,inf,43.2518,16.4633
12_79,"['11_20', '11_4']",1,0.4442777114116295,17.9092,33.7786
9_50,"['8_52', '3_14']",1,0.361971771175654,28.9711,18.8529
11_34,"['9_56', '10_10']",1,0.3338019358007866,17.8948,39.4697
12_41,"['5_83', '11_57']",1,0.31820578977976743,24.1018,19.0357
3_14,"['2_46', '2_69']",1,0.312750947403026,33.0565,18.6694
11_4,"['9_11', '10_89']",1,0.29069245536139354,18.1347,27.4367
13_6,"['12_50', '12_26']",1,0.2612993656945614,41.389,16.5744
3_52,"['2_16', '0_65']",1,0.2532084944910252,37.9974,18.0312
13_37,"['11_68', '11_51']",1,0.23557680273023482,18.6828,22.3754
13_16,"['12_41', '12_41']",1,0.21627438274390742,23.3695,21.6211
13_0,"['12_50', '12_50']",1,0.215486242099165,36.7641,18.5967
13_22,"['12_54', '12_40']",1,0.2097831349871142,21.2207,21.915
13_69,"['11_4', '12_79']",1,0.18092647488142893,17.8481,42.9478
13_84,"['11_68', '12_79']",1,0.15160542659349188,18.3819,25.3739
13_59,"['11_34', '11_51']",1,0.08418724926341901,18.3658,26.2282
12_26,"['10_12', '10_12']",2,inf,42.9068,17.7702
13_49,"['11_51', '12_80']",2,inf,17.8343,46.7696
13_11,"['12_50', '12_71']",2,0.7945526167662611,37.5029,19.4143
13_9,"['12_41', '12_41']",2,0.5932413994409211,24.4346,19.4464
13_52,"['11_4', '12_80']",2,0.5879201974377616,18.0803,38.6427
13_27,"['12_37', '12_80']",2,0.5102298697955877,18.8285,24.8314
13_79,"['12_41', '9_50']",2,0.3070884421453363,24.212,21.2454
13_48,"['12_80', '11_68']",2,0.2898426758927315,19.7968,22.9876
13_58,"['12_30', '12_79']",2,0.208238115850373,17.8603,44.253
13_14,"['12_13', '12_13']",2,0.2022371771586189,17.8993,40.806
13_89,"['12_40', '12_80']",2,0.09807379559710497,19.317,23.989
13_63,"['12_42', '12_37']",2,0.0485323747295316,18.8807,24.7721
13_23,"['11_34', '11_51']",3,inf,17.9617,46.3574
13_73,"['12_26', '11_34']",3,inf,44.1957,17.9452
13_35,"['12_37', '12_13']",3,0.8615384490345316,18.9245,25.7733
13_61,"['12_40', '12_79']",3,0.7611814978411318,18.3101,45.1481
13_86,"['11_68', '12_71']",3,0.6372168972656022,26.0543,20.2248
13_15,"['12_37', '11_35']",3,0.467062911093499,20.6611,23.2161
13_70,"['12_30', '12_50']",3,0.44540147604343316,36.9401,19.9697
13_3,"['12_50', '3_14']",3,0.42392860219027084,34.5445,20.1475
13_12,"['12_55', '12_79']",4,inf,18.4051,45.7642
13_40,"['12_42', '3_52']",4,inf,44.1518,20.1817
13_81,"['12_13', '12_37']",4,0.757885408880213,19.1804,28.6665
13_26,"['12_12', '12_41']",4,0.7309895996587926,27.1154,20.755
13_64,"['12_79', '12_71']",4,0.23446557273955385,25.2613,23.5181
13_45,"['12_12', '12_80']",4,0.23330093061490886,20.1312,26.1361
13_1,"['12_41', '12_13']",4,0.20025608455299732,23.2464,25.2176
13_7,"['12_41', '11_26']",4,0.18002053931204873,26.3614,21.2053
13_65,"['12_41', '11_51']",4,0.14469070428311162,24.0275,24.8845
13_72,"['12_62', '12_30']",4,0.13584036968482838,19.2356,27.2008
13_30,"['12_12', '12_79']",5,inf,19.4333,39.6182
13_66,"['12_54', '12_37']",5,inf,26.7711,21.4391
13_28,"['12_12', '11_51']",5,1.1454342764467877,20.4159,27.58
13_39,"['12_42', '10_54']",5,0.6739901265379541,22.5692,26.5643
13_21,"['3_52', '12_79']",5,0.5092711935129715,24.6689,25.8641
13_67,"['12_79', '12_41']",5,0.34529453004024074,26.2077,23.7132
13_25,"['12_13', '9_50']",5,0.32802582043471384,25.9146,25.5943
13_47,"['12_12', '12_30']",6,inf,19.6304,44.117
13_71,"['12_50', '3_14']",6,inf,32.6977,22.0515
13_41,"['12_12', '11_34']",6,0.9811411891095968,19.7026,40.5654
13_54,"['12_12', '12_57']",6,0.9768483404587558,22.6148,27.5071
13_46,"['12_41', '9_50']",6,0.5815757095968008,30.7945,22.1583
13_29,"['12_79', '9_50']",6,0.48804231143977683,26.7418,24.8271
13_43,"['9_50', '12_79']",6,0.38033036254621805,24.2783,26.7373
13_8,"['3_52', '12_79']",6,0.2750935572429697,26.5918,25.8305
13_32,"['12_50', '12_30']",7,inf,40.3015,22.2294
13_56,"['11_51', '12_54']",7,inf,20.5976,45.6364
13_87,"['12_26', '11_51']",7,1.1518130501690464,24.7315,27.8229
13_78,"['3_52', '12_42']",7,0.49592315454293634,35.7007,22.2919
13_80,"['12_55', '12_50']",7,0.4456655285496304,31.2465,23.0807
13_57,"['12_50', '11_34']",7,0.3522637952880173,29.6583,25.5456
13_17,"['12_55', '12_54']",7,0.3473332784366241,26.7001,25.9253
13_68,"['3_14', '11_51']",8,inf,38.7576,22.7968
13_88,"['12_26', '12_13']",8,inf,21.4054,51.8487
13_53,"['11_34', '12_50']",8,1.1621329836553147,25.1145,29.6812
13_76,"['11_68', '9_50']",8,0.48415738917626033,28.3917,26.5989
13_38,"['12_42', '12_71']",8,0.46270554650597073,33.5915,24.4234
13_20,"['9_50', '11_68']",8,0.2949599909882897,26.875,27.244
13_24,"['12_30', '12_71']",8,0.26554959754917234,35.7658,22.9824
13_42,"['11_35', '12_50']",8,0.17490488272407922,34.4949,23.3747
13_31,"['12_26', '11_4']",9,inf,23.1091,62.344
13_34,"['12_40', '12_50']",9,inf,38.0477,23.2063
13_75,"['3_52', '12_79']",9,1.03847965408747,25.1951,31.9178
13_60,"['12_41', '12_12']",9,0.6272488800815745,28.4866,26.9202
13_36,"['11_34', '3_14']",9,0.4791759241087928,33.6699,24.8195
13_33,"['12_71', '12_55']",9,0.3480279750710409,26.8734,31.5624
13_50,"['3_14', '12_55']",9,0.255743743680572,35.4134,23.9734
13_62,"['12_71', '3_14']",9,0.1383296123621685,34.7086,24.4674
13_18,"['3_14', '9_50']",10,inf,45.0476,23.8792
13_83,"['12_26', '3_14']",10,inf,28.0112,75.4029
13_2,"['12_50', '12_12']",10,0.7985130528622112,28.2674,38.1178
13_82,"['3_14', '12_80']",10,0.5228693631712564,30.2744,27.9606
13_74,"['10_54', '3_14']",10,0.3706121504826794,40.2375,24.0426
13_4,"['12_26', '11_35']",10,0.35235274433707214,39.3876,25.8568
13_55,"['11_51', '9_50']",10,0.3149430422686118,28.7324,36.4417
13_5,"['10_54', '11_26']",10,0.2892446943267364,35.0334,26.4582
13_85,"['12_42', '9_50']",10,0.28651221954497413,34.4522,26.8001
13_77,"['3_52', '12_12']",10,0.040750969858481714,34.7244,26.6567
13_10,"['11_51', '3_14']",11,inf,28.4482,40.8416
13_44,"['9_50', '12_79']",11,inf,33.8617,28.4342
13_51,"['12_41', '12_71']",11,2.0,32.7034,36.4186
13_13,"['11_51', '12_26']",12,inf,29.6695,45.7191
13_19,"['12_50', '12_41']",12,inf,29.3894,50.5567
