cand_id,parents,rank,distance,CO2 Gross emissions,Total cost of energy
32_57,"['31_87', '31_12']",1,inf,-36.3298,-13.8905
10_56,"['9_66', '9_32']",1,inf,-38.2372,-13.178
14_35,"['12_55', '12_55']",1,0.04995662731594156,-36.8847,-13.4457
31_55,"['30_69', '30_46']",1,0.04105731977225893,-37.9935,-13.2248
37_51,"['36_66', '14_35']",1,0.03802322230124108,-37.2497,-13.3162
13_38,"['11_25', '10_65']",1,0.029181889807329994,-36.5013,-13.7713
39_89,"['37_51', '37_51']",1,0.026419898258034164,-37.2585,-13.3131
24_4,"['15_61', '14_35']",1,0.019854638799526234,-36.6378,-13.5355
6_85,"['5_69', '4_55']",1,0.016456298845000508,-36.3354,-13.8851
34_0,"['33_41', '33_68']",1,0.015448348706754201,-36.7597,-13.4706
40_26,"['37_51', '31_55']",2,0.10453415379256535,-40.7453,-13.4535
40_79,"['39_14', '14_35']",2,0.06454521384407871,-40.539,-13.4587
40_8,"['31_55', '39_42']",2,0.04449097015116981,-39.6759,-13.4618
40_80,"['32_57', '6_85']",2,0.022444815161549822,-36.75,-13.9737
40_53,"['39_29', '39_29']",2,0.016678675492084995,-37.723,-13.6147
40_17,"['39_74', '39_82']",2,0.015285824183840321,-39.1864,-13.485
40_59,"['10_56', '39_53']",2,0.011291243733910244,-39.0167,-13.5036
40_38,"['39_7', '32_57']",2,0.010406969354606908,-36.9028,-13.9369
40_87,"['31_55', '15_61']",2,0.010230226264814854,-37.0328,-13.7596
40_51,"['39_74', '15_61']",2,0.010029708451872732,-39.0491,-13.4904
40_18,"['39_35', '14_35']",2,0.009951731458762159,-38.9751,-13.5098
40_70,"['39_7', '39_7']",2,0.009869758113703539,-38.0292,-13.5747
40_62,"['37_51', '39_53']",2,0.00933703694655038,-37.9231,-13.5833
40_48,"['24_4', '24_4']",2,0.009303723145555023,-37.2258,-13.7103
40_66,"['39_61', '15_61']",2,0.008758699300531013,-38.443,-13.5368
40_47,"['39_53', '14_35']",2,0.008671849288233705,-37.1383,-13.7184
40_46,"['34_0', '14_35']",2,0.00844325609367274,-38.0629,-13.5521
40_72,"['39_71', '31_55']",2,0.00833573963196288,-38.6421,-13.5104
40_56,"['13_38', '13_38']",2,0.008166809146291025,-36.9181,-13.8711
40_2,"['14_35', '15_61']",2,0.007207436265141913,-37.2461,-13.6972
40_16,"['37_51', '24_4']",2,0.006559213695303926,-37.3675,-13.6689
40_1,"['31_55', '39_29']",2,0.006067167131239624,-37.7173,-13.6246
40_81,"['39_14', '39_74']",2,0.005850300605779774,-38.5054,-13.522
40_82,"['39_74', '39_20']",2,0.0056879903394978035,-36.9778,-13.7811
40_42,"['34_0', '39_14']",2,0.005242226312957379,-38.4701,-13.5296
40_43,"['31_55', '39_68']",2,0.003787459496025798,-38.5023,-13.5245
40_4,"['39_53', '37_51']",2,0.003558923747083668,-37.417,-13.6487
40_84,"['15_61', '39_89']",2,0.0033236528875140404,-37.284,-13.6754
40_5,"['39_87', '39_82']",2,0.003172625251228113,-37.2544,-13.6882
40_83,"['37_51', '39_29']",2,0.0013189529540508997,-37.9527,-13.5811
40_52,"['39_29', '15_61']",3,0.04004574900746074,-39.3282,-13.4858
40_7,"['34_0', '37_51']",3,0.024167730362861375,-42.013,-13.4606
40_40,"['39_87', '39_61']",3,0.019817089548602625,-42.1174,-13.4589
40_76,"['31_55', '39_74']",3,0.01960880881423695,-38.7982,-13.5202
40_0,"['37_51', '39_35']",3,0.01918390841531338,-38.3717,-13.5568
40_11,"['39_74', '37_51']",3,0.015923076193123498,-38.9146,-13.5145
40_63,"['10_56', '14_35']",3,0.010816491406191533,-37.791,-13.6443
40_45,"['39_35', '37_51']",3,0.009497735630344874,-39.1551,-13.5131
40_54,"['39_37', '31_55']",3,0.009111906014944248,-37.4843,-13.653
40_60,"['10_56', '13_38']",3,0.008668411866627784,-37.0188,-13.8585
40_86,"['10_56', '13_38']",3,0.00841851100534495,-36.9747,-13.9051
40_13,"['39_68', '14_35']",3,0.008268231714683705,-37.1457,-13.7261
40_61,"['39_82', '10_56']",3,0.007084039971368695,-39.9221,-13.4627
40_50,"['34_0', '31_55']",3,0.006504789405790886,-38.5974,-13.5225
40_23,"['39_29', '10_56']",3,0.006204559972337358,-37.4506,-13.6645
40_88,"['39_13', '34_0']",3,0.004455887397743653,-38.0566,-13.5801
40_77,"['39_68', '39_35']",3,0.004013528188540286,-37.0707,-13.762
40_20,"['14_35', '39_89']",3,0.0037987669673711956,-37.9532,-13.5853
40_89,"['13_38', '39_13']",3,0.0037509628972475385,-37.0325,-13.7895
40_35,"['31_55', '34_0']",3,0.0026543943532038147,-38.4738,-13.5345
40_10,"['24_4', '39_7']",3,0.0025982513528878134,-37.2906,-13.6784
40_41,"['39_61', '39_82']",4,0.10382690196822587,-41.8207,-13.4799
40_71,"['13_38', '32_57']",4,0.06962471379816529,-36.9818,-14.0445
40_19,"['39_87', '37_51']",4,0.011457287965395616,-37.9913,-13.586
40_27,"['31_55', '10_56']",4,0.00876371570035449,-38.6923,-13.5355
40_39,"['15_61', '31_55']",4,0.008262688988788083,-38.6915,-13.5391
