cand_id,parents,rank,distance,CO2 Gross emissions,Total cost of energy
6_85,"['5_69', '4_55']",1,inf,-36.3354,-13.8851
10_56,"['9_66', '9_32']",1,inf,-38.2372,-13.178
13_67,"['10_56', '12_55']",1,0.081347968592699,-37.6858,-13.4208
14_35,"['12_55', '12_55']",1,0.0170581324897206,-36.8847,-13.4457
24_4,"['15_61', '14_35']",1,0.016211972298921642,-36.6378,-13.5355
13_38,"['11_25', '10_65']",1,0.014070230128006348,-36.5013,-13.7713
15_61,"['14_35', '14_17']",1,0.010454685374555996,-36.5221,-13.6201
21_76,"['14_35', '20_4']",1,0.007000012076568467,-36.5079,-13.6282
20_69,"['10_56', '10_56']",2,0.07255484689223606,-38.2566,-13.1803
24_15,"['23_39', '14_35']",2,0.016540963720446528,-38.1841,-13.5468
18_26,"['17_67', '17_21']",2,0.009987156440896795,-36.6893,-13.5777
24_24,"['13_38', '10_56']",2,0.00992897307541864,-36.5699,-13.7724
14_22,"['13_83', '13_18']",2,0.007980678261200422,-36.7575,-13.5502
24_9,"['14_35', '23_38']",3,0.19779511793154606,-40.1423,-13.4321
24_19,"['23_38', '20_69']",3,0.04762050488278824,-39.7599,-13.4801
24_10,"['23_53', '13_67']",3,0.04561238994263422,-38.9933,-13.5176
24_26,"['23_72', '13_67']",3,0.03884756646866204,-39.8558,-13.4797
24_83,"['10_56', '10_56']",3,0.03739529358138112,-39.0782,-13.5105
24_65,"['23_53', '21_76']",3,0.012957119959382049,-37.9471,-13.5868
24_6,"['14_22', '23_69']",3,0.012946939669061023,-37.3352,-13.6708
24_89,"['13_67', '23_53']",3,0.008498739925700487,-38.2958,-13.5429
24_49,"['23_45', '14_22']",3,0.008409739469875253,-36.9147,-13.7966
24_20,"['10_56', '15_61']",3,0.008036757220374311,-37.7553,-13.6205
24_53,"['6_85', '6_85']",3,0.007283016182087379,-36.7337,-13.976
24_48,"['23_39', '13_67']",3,0.00701008958758266,-37.86,-13.5921
24_85,"['6_85', '15_61']",3,0.006606743761424994,-36.8632,-13.9739
24_18,"['14_22', '13_67']",3,0.005969771578129754,-37.8016,-13.5993
24_17,"['15_61', '13_67']",3,0.005786144784181395,-37.3087,-13.6921
24_40,"['10_56', '23_16']",3,0.005487451417506612,-36.9118,-13.8273
24_14,"['14_35', '23_48']",3,0.0050491965998553405,-37.1828,-13.7056
24_67,"['23_0', '23_0']",3,0.004245960901724526,-37.1241,-13.7246
24_71,"['23_33', '23_38']",3,0.003455374766755662,-37.1527,-13.7124
24_54,"['23_38', '21_76']",3,0.0028435847983244,-37.102,-13.7367
24_16,"['23_38', '15_61']",3,0.0028222465295281766,-37.1107,-13.7286
24_81,"['21_76', '23_53']",3,0.002803363401419788,-37.0444,-13.7488
24_57,"['13_67', '23_20']",3,0.0026176322011676164,-36.9717,-13.7692
24_43,"['23_53', '23_16']",3,0.002448993199607537,-37.0052,-13.7556
24_62,"['23_53', '21_76']",3,0.0019344902685988188,-36.9721,-13.7673
24_75,"['23_83', '13_67']",4,0.05712456004033048,-38.5727,-13.5547
24_31,"['23_83', '18_26']",4,0.027482397758999504,-38.3264,-13.5723
24_41,"['18_26', '20_69']",4,0.02393072263616638,-38.0474,-13.6001
24_63,"['10_56', '18_26']",4,0.015434699938383601,-37.8127,-13.6398
24_77,"['23_62', '6_85']",4,0.012614178816465732,-36.8092,-13.9862
24_36,"['23_16', '23_33']",4,0.0077865718321999105,-36.9459,-13.834
24_73,"['13_38', '13_38']",4,0.0074943458533940814,-36.9316,-13.8753
24_23,"['23_17', '23_13']",4,0.007194184027376548,-37.3583,-13.6809
24_70,"['14_35', '14_35']",4,0.005000805532815423,-37.5382,-13.6738
24_5,"['23_83', '23_16']",4,0.004584071417228999,-36.9739,-13.7824
24_25,"['21_76', '23_45']",4,0.0039074482621815065,-37.0751,-13.7526
