cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy,Cost of energy next 10 years
3_43,"['2_24', '2_77']",1,inf,-4419.24,-16.4605,-9.939244
3_4,"['1_1', '1_1']",1,inf,-4854.51,-14.402,-9.92683
4_39,"['3_58', '3_41']",1,inf,-4953.29,-16.3458,-9.872758999999999
2_32,"['1_19', '1_66']",1,0.0,-4835.26,-15.2555,-9.939465
3_12,"['2_32', '2_32']",1,0.0,-4834.65,-15.2818,-9.938378999999998
2_24,"['1_58', '1_51']",1,0.0,-4748.8,-15.3549,-9.933857999999999
3_45,"['2_75', '2_41']",1,0.0,-4635.54,-15.4811,-9.925142
4_83,"['2_41', '3_73']",1,0.0,-4617.55,-15.6333,-9.924014
3_73,"['2_41', '2_41']",1,0.0,-4626.09,-15.6055,-9.923852
2_41,"['0_8', '1_51']",1,0.0,-4622.11,-15.6705,-9.923615999999999
4_8,"['2_41', '3_73']",1,0.0,-4577.83,-15.7408,-9.92331
1_1,"['0_71', '0_83']",1,0.0,-4843.12,-14.7015,-9.922973
4_11,"['2_75', '2_24']",1,0.0,-4883.0,-14.944,-9.921578
4_29,"['2_24', '3_31']",1,0.0,-4907.28,-14.6925,-9.915338
4_87,"['3_3', '1_31']",1,0.0,-4509.16,-17.745,-9.912693
4_32,"['1_31', '3_3']",1,0.0,-4610.62,-17.1254,-9.909262
4_35,"['3_12', '3_73']",1,0.0,-4665.0,-16.2851,-9.905361000000001
4_72,"['3_28', '3_27']",1,0.0,-4702.51,-18.9797,-9.905021999999999
4_18,"['2_75', '3_27']",1,0.0,-5248.5,-15.3774,-9.904631
4_74,"['3_13', '3_4']",1,0.0,-4769.58,-15.4555,-9.902750000000001
4_25,"['2_24', '2_84']",1,0.0,-5016.84,-16.1061,-9.898162
4_40,"['3_56', '3_56']",1,0.0,-4711.18,-16.3384,-9.897385
4_81,"['3_3', '3_9']",1,0.0,-4921.84,-16.3544,-9.893986
4_1,"['3_13', '3_13']",1,0.0,-4775.78,-16.7024,-9.888190999999999
4_13,"['3_43', '3_5']",2,0.0,-4480.89,-16.4903,-9.950107999999998
4_49,"['3_12', '2_32']",2,0.0,-4843.35,-15.2643,-9.940106
4_28,"['3_43', '2_24']",2,0.0,-4622.38,-16.1202,-9.939521
4_42,"['3_43', '2_24']",2,0.0,-4651.33,-16.6493,-9.937193
4_17,"['2_32', '3_41']",2,0.0,-4957.87,-15.2295,-9.937015
4_85,"['3_9', '2_41']",2,0.0,-5122.48,-15.2162,-9.932374
4_80,"['3_4', '2_41']",2,0.0,-4764.07,-16.6301,-9.928599000000002
4_34,"['2_41', '3_84']",2,0.0,-5170.77,-15.3362,-9.925338
4_24,"['3_84', '3_43']",2,0.0,-4921.93,-15.5637,-9.923827
4_22,"['3_43', '3_9']",2,0.0,-5225.1,-14.9579,-9.921653
4_47,"['2_32', '3_3']",2,0.0,-4731.14,-17.3911,-9.917300999999998
4_50,"['3_27', '2_84']",2,0.0,-4764.54,-16.3009,-9.911999
4_21,"['3_73', '3_30']",2,0.0,-4739.84,-16.9095,-9.911821
4_70,"['3_73', '3_84']",2,0.0,-4688.24,-24.7962,-9.909255
4_37,"['2_24', '2_32']",2,0.0,-4804.54,-15.6795,-9.902961000000001
4_26,"['2_24', '3_13']",2,0.0,-5015.26,-16.7876,-9.898200999999998
4_55,"['3_3', '3_12']",2,0.0,-4853.94,-17.2443,-9.888507999999998
3_3,"['2_30', '2_27']",2,0.0,-5076.07,-16.5873,-9.87842
4_56,"['3_43', '2_32']",3,,-5070.98,-15.3294,-9.959419
4_65,"['1_19', '3_28']",3,0.0,-4567.67,-17.3649,-9.950363999999999
4_57,"['3_31', '3_28']",3,0.0,-4669.33,-18.9012,-9.948543
4_88,"['3_12', '3_83']",3,0.0,-4682.46,-18.1703,-9.946509999999998
4_12,"['3_41', '3_12']",3,0.0,-4732.29,-17.6385,-9.940663
4_67,"['2_24', '2_41']",3,0.0,-4811.3,-16.7197,-9.93841
4_14,"['2_41', '1_31']",3,0.0,-4759.45,-17.7767,-9.931467999999999
4_46,"['3_4', '2_32']",3,0.0,-5080.85,-15.58,-9.931158
4_54,"['2_41', '2_32']",3,0.0,-4823.35,-16.6668,-9.93009
4_0,"['2_24', '3_9']",3,0.0,-5246.34,-15.3666,-9.928367999999999
4_10,"['3_28', '3_30']",3,0.0,-4743.97,-19.2435,-9.921732000000002
4_31,"['3_3', '1_1']",3,0.0,-4854.45,-16.6727,-9.919886
4_48,"['2_24', '3_43']",3,0.0,-4873.32,-19.5892,-9.919847999999998
4_58,"['2_75', '3_12']",3,0.0,-5032.92,-15.8708,-9.916239
4_78,"['3_4', '3_45']",3,0.0,-4902.21,-16.0186,-9.906719
4_43,"['3_9', '3_84']",3,0.0,-5061.18,-15.7343,-9.904791999999999
4_73,"['2_84', '2_75']",3,0.0,-4972.16,-16.8096,-9.903065999999999
4_9,"['3_73', '3_31']",3,0.0,-5083.19,-17.5189,-9.890483
4_45,"['3_9', '1_31']",3,0.0,-5169.81,-17.0756,-9.886411
4_44,"['3_43', '2_24']",4,0.0,-4738.86,-21.5316,-9.952732000000001
4_84,"['1_1', '1_19']",4,0.0,-4896.5,-20.9236,-9.942066
4_53,"['3_4', '3_41']",4,0.0,-5121.65,-15.9144,-9.93949
4_69,"['3_28', '3_43']",4,0.0,-4924.46,-18.6374,-9.937312000000002
4_23,"['2_32', '3_31']",4,0.0,-5237.5,-15.8891,-9.929731
4_2,"['3_4', '2_75']",4,0.0,-4964.84,-16.5767,-9.926718
4_60,"['1_1', '3_12']",4,0.0,-4792.96,-21.2248,-9.922821999999998
4_77,"['3_27', '3_9']",4,0.0,-5356.9,-15.7902,-9.920049999999998
4_59,"['3_43', '3_22']",4,0.0,-5033.58,-15.9581,-9.918399
4_86,"['3_43', '2_75']",4,0.0,-4929.58,-16.5857,-9.916155
4_27,"['3_28', '2_24']",4,0.0,-5001.26,-17.3187,-9.915877
4_19,"['3_13', '3_3']",4,0.0,-5114.78,-16.318,-9.915367
4_4,"['3_31', '3_3']",4,0.0,-5120.09,-16.1447,-9.911156
4_7,"['2_41', '3_45']",4,0.0,-5031.99,-16.4753,-9.907402
4_38,"['3_31', '3_4']",4,0.0,-5163.01,-16.7309,-9.90691
4_75,"['3_22', '3_12']",4,0.0,-5109.93,-23.2673,-9.894872000000001
4_64,"['3_43', '3_12']",4,0.0,-5259.43,-24.2195,-9.894305
4_30,"['3_84', '3_12']",5,0.0,-5032.9,-16.8692,-9.953417
4_68,"['3_4', '3_45']",5,0.0,-5103.54,-16.2612,-9.944952
