cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy,Cost of energy next 10 years
39_1,"['38_25', '38_57']",3,0.0,-3739.78,-12.4591,-10.233381
39_56,"['38_4', '38_36']",3,0.0,-3738.72,-12.5923,-10.094414
39_10,"['38_8', '38_71']",3,0.0,-3750.63,-12.9236,-10.076293999999999
39_5,"['38_25', '38_57']",3,0.0,-3754.84,-12.5757,-10.066718999999999
39_9,"['38_27', '38_8']",3,0.0,-3841.4,-12.4862,-9.956852999999999
39_39,"['37_6', '38_57']",3,0.0,-3793.05,-13.3108,-9.950044
39_25,"['37_6', '38_25']",3,0.0,-3960.42,-13.2604,-9.873148
39_46,"['38_76', '37_6']",3,0.0,-4010.48,-13.1668,-9.871024
39_77,"['38_27', '37_6']",3,0.0,-3997.93,-13.3073,-9.870807
39_33,"['38_76', '38_58']",3,0.0,-3907.8,-13.4452,-9.869960999999998
39_42,"['38_27', '38_58']",3,0.0,-4028.35,-13.4094,-9.869758000000001
39_20,"['38_76', '37_6']",3,0.0,-4113.62,-13.3324,-9.869645
39_70,"['38_76', '37_6']",3,,-4310.92,-13.9431,-9.869354000000001
39_53,"['38_58', '38_27']",3,0.0,-4007.1,-14.0789,-9.868952
39_2,"['38_4', '38_57']",4,0.0,-3678.38,-12.6761,-10.648074999999999
39_40,"['38_57', '38_71']",4,0.0,-3686.07,-12.5802,-10.528485999999997
39_16,"['38_27', '38_25']",4,0.0,-3741.51,-12.6135,-10.191844000000001
39_41,"['38_71', '38_42']",4,0.0,-3750.72,-12.6905,-10.189274999999999
39_31,"['38_58', '38_12']",4,0.0,-3888.64,-13.5693,-9.962144
39_75,"['36_70', '38_27']",5,0.0,-3689.58,-13.8333,-10.663535
39_47,"['38_58', '37_7']",6,inf,-inf,-inf,-inf
39_67,"['38_42', '38_71']",6,,-inf,-inf,-inf
