cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy
42_23,"['40_87', '41_24']",1,inf,13.3663,5.02166
42_12,"['41_37', '40_55']",1,inf,12.7027,8.11207
43_20,"['42_12', '41_5']",1,0.25202278768916286,12.7818,7.93442
43_57,"['42_63', '40_18']",1,0.16436683236243912,13.3105,5.39842
43_2,"['42_42', '40_18']",1,0.027800932770881873,13.3555,5.15685
43_42,"['42_63', '42_46']",1,0.02339602016855751,13.3476,5.38634
42_53,"['41_61', '39_35']",1,0.02161869670210586,12.7218,8.00162
43_19,"['42_53', '41_61']",1,0.01549997843337803,12.724,7.96444
43_26,"['42_63', '39_74']",2,0.029384414861845495,13.3664,5.15536
41_30,"['40_55', '39_68']",2,0.027144531357572853,12.8393,7.95556
43_44,"['42_14', '42_48']",2,0.022742942091558714,13.3321,5.58366
43_43,"['42_76', '41_5']",2,0.015921375931977167,12.7647,7.98384
43_32,"['41_30', '42_45']",2,0.010869489327620661,12.8197,7.95736
43_34,"['42_45', '41_30']",2,0.0096225303987479,12.8089,7.98251
43_1,"['42_46', '42_63']",2,0.003865528047431193,13.3322,5.41606
43_36,"['42_76', '42_53']",2,0.0026302845922050113,12.7231,8.02198
43_59,"['42_12', '39_74']",3,0.052965149414234594,13.7044,5.30942
42_63,"['39_74', '41_30']",3,0.0195739251908129,13.3416,5.45899
43_83,"['42_80', '42_76']",3,0.016442686577035112,12.8724,7.98686
43_62,"['41_30', '42_12']",3,0.013955357150317715,12.7352,8.02292
42_45,"['41_35', '40_55']",3,0.01124662292245616,12.7911,7.98846
42_14,"['41_24', '41_24']",3,0.010534100093580691,13.3331,5.51712
43_33,"['42_20', '42_46']",3,0.009949769673477778,13.3836,5.41718
41_5,"['40_47', '39_35']",3,0.00747098125672981,12.7705,7.99041
43_7,"['42_61', '42_53']",4,0.014724839063310121,13.3878,5.43881
43_80,"['41_30', '42_34']",4,0.01361573529804147,12.7713,8.01284
43_9,"['42_48', '42_53']",4,0.011917562446353837,13.7304,5.31426
43_82,"['42_42', '42_14']",4,0.011806715927568552,13.3648,5.4754
43_78,"['42_33', '42_20']",4,0.009026347815558803,12.737,8.05651
43_29,"['39_74', '42_61']",4,0.008089521775103626,13.3565,5.60545
43_84,"['39_74', '42_23']",4,0.007684160325069719,13.3581,5.57796
41_17,"['40_68', '39_35']",4,0.0067600835464397225,12.7492,8.04779
43_71,"['42_33', '42_53']",4,0.005748524931652946,12.7493,8.04518
41_61,"['39_25', '40_87']",4,0.005192801234217449,12.8042,7.98889
43_35,"['42_76', '42_63']",4,0.0050630716635431785,13.3597,5.51086
43_11,"['41_61', '41_17']",5,inf,13.7455,5.50858
43_45,"['42_63', '42_20']",5,0.018677321206798134,12.8552,8.01956
43_68,"['42_20', '42_53']",5,0.01752967191079034,12.8893,7.99626
43_50,"['41_17', '41_17']",5,0.015324147377418123,12.7546,8.0598
43_67,"['42_33', '42_12']",5,0.013671587494841174,12.7438,8.17592
43_55,"['42_12', '42_46']",5,0.011446916039529994,13.4559,5.52067
43_10,"['42_14', '41_30']",5,0.011418360723977778,13.3751,5.53985
43_37,"['41_30', '42_63']",5,0.010652493058082498,12.8287,8.0328
43_41,"['39_74', '42_37']",5,0.010087182379309055,13.362,5.77952
43_15,"['41_5', '42_23']",5,0.009684340472243393,13.3945,5.53963
43_85,"['42_12', '42_45']",5,0.008639099499285123,12.8005,8.05477
43_64,"['42_37', '42_12']",5,0.0052880541622138824,12.8181,8.03577
43_39,"['41_61', '41_61']",5,0.0019944861405278647,12.8188,8.03288
43_0,"['42_62', '42_12']",6,0.031072651579821215,13.4562,5.54772
43_74,"['42_62', '42_63']",6,0.022746771475945594,12.9005,8.04411
43_54,"['41_30', '41_61']",6,0.017696722453109524,12.7932,8.47935
43_14,"['42_14', '39_74']",6,0.008912187469296676,13.4012,5.54915
43_79,"['41_17', '41_30']",6,0.006488293234658726,12.9195,7.99957
43_12,"['42_20', '42_33']",6,0.006106108370700086,12.8008,8.11988
43_24,"['41_17', '42_62']",6,0.005955418662943397,12.8075,8.0601
43_66,"['42_46', '42_12']",6,0.005247116269117142,13.377,5.59044
43_48,"['42_63', '41_61']",6,0.004495444395906434,12.8059,8.08441
43_49,"['41_24', '41_17']",7,0.07916638664646164,13.5585,5.55387
43_70,"['42_37', '42_23']",7,0.04305357611912097,13.0416,8.03159
43_22,"['42_63', '41_5']",7,0.01885680573377902,12.8573,8.12858
43_38,"['42_61', '42_14']",7,0.011317286608728154,13.3859,5.68168
43_75,"['42_37', '39_74']",7,0.010986445270089639,13.3792,5.73649
43_21,"['41_30', '41_61']",7,0.008263351519363984,12.8144,8.16402
43_52,"['41_30', '42_53']",7,0.00588431251889516,12.8737,8.07967
43_40,"['41_24', '40_18']",7,0.005777810941409929,13.4034,5.59215
43_46,"['42_53', '42_63']",8,0.2293496561634761,13.1655,8.08013
