cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ,Average Energy Change Percent
0_1,[],1,inf,63.928599999999996,17.63506666666667,1098.3649576410207
2_21,"['1_17', '1_17']",1,inf,30.162266666666667,15.680733333333334,1113.9086981488624
4_22,"['2_21', '3_6']",1,inf,32.12576666666667,15.04197,1108.3404099962074
4_79,"['2_42', '2_30']",1,inf,41.237033333333336,18.096666666666668,1097.7785382274003
5_34,"['2_21', '4_19']",1,inf,30.19216666666667,15.657733333333333,1114.3547473153824
5_86,"['4_26', '4_26']",1,inf,36.457033333333335,28.947633333333332,1101.40416173868
5_62,"['4_76', '4_71']",1,0.5637041161502045,39.4333,23.843033333333334,1099.2538863213056
5_18,"['4_76', '4_53']",1,0.39433194236043334,49.131166666666665,17.255733333333335,1098.3787243433972
4_26,"['3_46', '3_89']",1,0.37844161187762704,36.31549999999999,28.721033333333335,1101.404188243381
4_64,"['3_70', '0_1']",1,0.3425720076463745,59.590133333333334,16.9694,1098.3715698998606
3_7,"['2_30', '2_8']",1,0.31631947675525574,37.23546666666667,21.027933333333333,1100.5845402154678
5_43,"['3_7', '4_76']",1,0.3031239830618208,37.31816666666666,18.997833333333332,1099.8628528578577
4_87,"['3_83', '3_55']",1,0.2729774117065439,32.74986666666667,22.602233333333334,1104.4531743745795
4_76,"['3_56', '3_56']",1,0.238824177301683,46.562000000000005,17.725966666666665,1098.3814997606044
5_28,"['4_42', '4_19']",1,0.17573580613336895,30.604000000000003,15.384796666666666,1111.3499138706331
5_50,"['2_21', '3_7']",1,0.16258727943336918,31.206,15.739199999999999,1110.4414303541525
5_33,"['2_21', '4_79']",1,0.156116939127547,31.627266666666667,15.896266666666667,1108.9207133484115
5_16,"['2_21', '4_19']",1,0.15608215778883455,30.168666666666667,15.682433333333334,1113.9086495326158
5_89,"['4_67', '4_57']",1,0.15340260273178508,38.8654,15.557133333333333,1104.4196960917698
5_44,"['3_7', '4_67']",1,0.14072267436673497,43.06523333333333,17.0651,1099.8530899061916
5_71,"['4_22', '4_68']",1,0.1371039741019578,34.36246666666667,15.739820000000002,1102.9032109266575
5_36,"['4_87', '4_68']",1,0.12504656136713477,33.36043333333333,17.895266666666668,1101.4361012782617
5_75,"['4_79', '4_31']",1,0.12252685832755751,35.1086,17.217333333333332,1102.901752289263
5_53,"['4_53', '4_79']",1,0.1175701488986941,42.15113333333333,17.3272,1099.852077427663
5_83,"['0_1', '4_45']",1,0.11601571376224111,61.651266666666665,16.500333333333334,1098.3708557510827
