cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ,Average Energy Change Percent
0_1,[],1,inf,63.928599999999996,17.63506666666667,1098.3649576410207
2_21,"['1_17', '1_17']",1,inf,30.162266666666667,15.680733333333334,1113.9086981488624
2_30,"['1_46', '0_40']",1,inf,33.92726666666667,25.683366666666668,1106.754580613191
2_71,"['1_18', '1_18']",1,inf,31.238666666666663,15.361666666666666,1114.3551980685515
1_46,"['0_1', '0_75']",1,0.7007470904181506,41.98116666666667,20.0922,1102.307876057094
2_42,"['0_1', '1_12']",1,0.6675142804464077,43.215533333333326,22.29256666666667,1099.8542483021213
2_0,"['0_1', '1_80']",1,0.5699825061363568,59.1855,20.573833333333333,1099.2396486202254
2_79,"['1_13', '1_39']",1,0.49654106793526576,36.64366666666667,16.234266666666667,1105.9124677630182
2_67,"['1_18', '0_1']",1,0.4915688291288801,47.556466666666665,17.5475,1101.400839590202
2_48,"['0_1', '0_92']",1,0.4106914870724931,47.5434,17.698800000000002,1101.431939575007
2_73,"['0_1', '1_13']",1,0.3083585881661308,61.97723333333334,17.1384,1098.4002146170033
1_80,"['0_1', '0_18']",1,0.2243190698155721,43.51926666666666,20.6587,1102.2733649538297
2_78,"['1_39', '1_49']",1,0.1680346992997593,30.51176666666667,15.537563333333333,1111.348557676027
2_17,"['1_79', '1_13']",1,0.14803741450368368,32.2481,16.3792,1106.7883760573661
2_8,"['1_80', '1_80']",1,0.129556325215682,43.56966666666667,20.628666666666664,1102.2734618059967
2_54,"['0_26', '1_46']",1,0.10694777844617104,32.81293333333334,15.435933333333333,1109.0165939316382
2_19,"['1_63', '1_13']",1,0.10349063851038887,34.34806666666666,16.157,1107.4335358721498
2_61,"['1_13', '1_18']",1,0.0966149536282131,32.8073,16.030333333333335,1108.3387899796392
2_87,"['1_46', '1_59']",1,0.09252095107587036,32.932433333333336,15.576979999999999,1107.4647718144008
2_72,"['1_46', '1_39']",1,0.0744261434383573,30.7376,15.761093333333335,1108.3389082827055
2_15,"['1_46', '1_17']",1,0.07395313784132859,31.863966666666666,15.724566666666668,1109.7964535218534
2_11,"['1_80', '1_88']",1,0.07214854461741471,35.33173333333334,15.558566666666666,1107.4621922110252
2_28,"['1_39', '1_17']",1,0.06633043198706083,30.407999999999998,15.542103333333332,1110.4724333043594
2_33,"['1_88', '1_16']",1,0.062015690999701396,30.601833333333335,15.50094666666667,1111.348274061176
