cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ,Average Energy Change Percent
0_1,[],1,inf,63.928599999999996,17.63506666666667,1098.3649576410207
0_27,[],1,inf,30.563,15.809366666666667,1110.4725813278415
0_48,[],1,inf,30.563666666666666,15.631633333333335,1114.354914613661
0_53,[],1,inf,30.972400000000004,15.469546666666668,1114.3548358552823
0_92,[],1,inf,33.06356666666667,25.25633333333333,1110.439317634675
0_44,[],1,0.18544351868125564,30.853866666666665,15.865466666666665,1110.4718823494843
0_25,[],1,0.14326841959088213,31.2469,15.526386666666667,1111.3487897065768
0_26,[],1,0.13544461425346438,31.2,15.527476666666667,1113.4778086987324
0_40,[],1,0.06515058716364104,31.613566666666667,15.542810000000001,1111.3160224276041
0_20,[],1,0.060270814734940004,30.720166666666668,15.634833333333333,1113.4780587937778
0_65,[],1,0.03873185381226875,32.02173333333334,15.858066666666666,1110.4394544773438
0_88,[],1,0.014092573517741663,31.890500000000003,15.6244,1110.4399813540228
0_60,[],1,0.010181196332468407,31.339366666666667,15.5966,1110.4718778741005
0_45,[],1,0.009890122804038701,31.00606666666667,15.786700000000002,1110.4716703614101
0_78,[],1,0.009720852464185359,31.178633333333334,15.760499999999999,1110.4716179781196
0_87,[],1,0.009139166291148904,31.593733333333333,15.571233333333334,1110.440271205902
0_23,[],1,0.008613650270118189,31.510966666666665,15.717933333333333,1110.439806851537
0_4,[],1,0.00802162594213025,31.41756666666667,15.556466666666667,1111.347989256181
0_29,[],1,0.0076638820245206,30.682366666666667,15.701833333333335,1110.4719884785636
0_9,[],1,0.007324810942235306,30.788966666666663,15.666366666666667,1110.4720713301683
0_13,[],1,0.007030320134757547,30.573833333333337,15.685966666666667,1111.348284086933
0_7,[],1,0.006242617701343821,30.942666666666668,15.773166666666667,1110.4717817360734
0_21,[],1,0.00597836584519446,31.963466666666665,15.738099999999998,1110.4397741684024
0_96,[],1,0.004650658662346054,31.405133333333335,15.754133333333334,1110.4402236842445
0_30,[],1,0.003656452592607355,30.744866666666667,15.528693333333335,1111.3483900308042
0_64,[],1,0.0033589744795252986,30.8137,15.543460000000001,1111.3481919265855
0_86,[],1,0.0023719321330810048,30.569033333333337,15.734333333333334,1111.348346619593
0_49,[],2,inf,30.754133333333332,15.591700000000001,1114.355537018105
0_58,[],2,inf,30.962799999999998,15.538266666666667,1114.3550583969356
0_81,[],2,inf,32.13896666666667,19.817200000000003,1110.4399165542209
0_94,[],2,inf,30.617099999999997,16.054933333333334,1110.4725883051663
0_80,[],2,0.9380917012055245,31.463833333333337,15.563866666666664,1113.445731388211
0_33,[],2,0.5518668614725074,30.97996666666667,15.5914,1111.3483657770446
0_12,[],2,0.36776085225842087,30.9815,15.884500000000001,1110.4718948887596
0_66,[],2,0.32511555755067245,30.90233333333333,15.7427,1114.3544787510352
0_38,[],2,0.317010591469618,31.5628,15.598466666666667,1111.3160464485761
0_46,[],2,0.2602587239568628,31.784466666666663,15.833633333333333,1110.439962785732
0_68,[],2,0.22780771778166428,30.97926666666667,15.5981,1113.4778698237367
0_17,[],2,0.1645167790110223,31.578166666666664,15.768133333333333,1110.440262911213
0_50,[],2,0.15280456966203826,31.7816,15.699766666666667,1110.4404239568937
0_14,[],2,0.11383928792796198,30.624633333333335,15.676066666666665,1114.35530749401
0_75,[],2,0.09616431109346069,30.819466666666667,15.876599999999998,1113.477324434586
0_77,[],2,0.049021618587200104,30.78656666666667,15.745366666666664,1114.354601919661
0_55,[],2,0.02103078859525573,30.9766,15.7153,1110.472300716179
0_3,[],3,inf,31.964299999999998,15.873799999999997,1110.45580463646
0_16,[],3,inf,31.5097,15.588900000000002,1114.3229841686064
0_59,[],3,inf,30.643966666666667,16.076166666666666,1114.3548863745975
0_69,[],3,inf,31.231033333333333,25.24416666666667,1111.348596807373
0_93,[],3,inf,30.856533333333335,15.725266666666668,1115.9105098746054
0_98,[],3,1.0512305047999182,31.563299999999998,24.3533,1110.472098352592
0_54,[],3,0.5944766952126845,31.8787,15.6892,1113.445572476936
0_83,[],3,0.4546139188217496,31.451566666666665,15.695066666666667,1111.3487637957187
