cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy,Cost of energy next 10 years
56_23,"['55_13', '54_7']",1,inf,-4236.55,-12.9379,-9.837063
51_1,"['50_32', '50_62']",1,inf,-3855.9,-14.4908,-9.598759
56_89,"['55_34', '51_67']",1,inf,-4458.38,-11.861,-9.441889
56_64,"['53_31', '55_30']",1,inf,-4174.58,-13.8028,-9.130018999999999
54_10,"['53_80', '53_46']",1,0.49727779952991336,-3900.62,-14.7282,-9.431231
56_81,"['55_83', '55_34']",1,0.10677072910318652,-4367.45,-12.67,-9.312738999999999
56_28,"['53_31', '55_13']",1,0.1052509193351785,-4338.5,-12.8735,-9.279466
53_68,"['52_89', '51_1']",1,0.10081924370623083,-3872.92,-14.4695,-9.47865
56_72,"['55_83', '55_57']",1,0.08498330747603317,-4243.55,-13.1663,-9.292031999999999
56_85,"['55_55', '55_77']",1,0.06632379718250703,-4129.81,-13.5675,-9.174755000000001
56_17,"['55_45', '51_1']",1,0.05892884343033443,-3966.73,-14.0932,-9.574692
55_13,"['54_12', '54_37']",1,0.05826874043119646,-4419.87,-12.0774,-9.585187
56_25,"['54_51', '53_31']",1,0.058141029807129915,-4198.79,-13.5217,-9.145665999999999
56_40,"['54_51', '55_53']",1,0.05739644273117986,-4155.08,-13.3575,-9.36851
56_73,"['55_36', '53_31']",1,0.05596988780342168,-4173.42,-13.4254,-9.188234
56_39,"['55_6', '55_6']",1,0.05573633939404479,-3914.21,-14.1204,-9.361004
56_44,"['55_74', '55_74']",1,0.05556194872420965,-4036.13,-14.2343,-9.245289000000001
56_5,"['55_6', '55_36']",1,0.05505574187952011,-3978.12,-13.8501,-9.471717000000002
54_37,"['53_72', '53_28']",1,0.05251447585013837,-4324.52,-12.4555,-9.526532
56_51,"['55_77', '55_81']",1,0.04894145850940779,-4223.42,-13.3512,-9.255298
56_2,"['54_37', '55_52']",1,0.046150740707508804,-4437.29,-12.247,-9.427265
56_13,"['54_7', '51_67']",1,0.045344167860112417,-4122.38,-13.2289,-9.541649000000001
55_34,"['51_67', '54_38']",1,0.04360522461525508,-4403.02,-12.1677,-9.443045999999999
56_45,"['54_7', '55_36']",1,0.042482120403806806,-3990.97,-13.9632,-9.380406
56_63,"['55_55', '55_77']",1,0.04070930244716218,-4098.07,-13.3822,-9.209669000000002
56_26,"['51_1', '55_53']",1,0.039233883077532644,-4025.3,-13.8213,-9.624665000000002
56_59,"['55_45', '54_10']",1,0.03903393714739186,-3900.68,-14.5575,-9.426522
56_20,"['55_50', '55_53']",1,0.038540599908685934,-4261.31,-12.8891,-9.615461
56_65,"['55_83', '55_53']",1,0.034807977892969105,-4313.84,-12.9602,-9.264661
56_14,"['55_83', '55_83']",1,0.034227360020609485,-4293.85,-12.9674,-9.264709
56_31,"['55_36', '55_13']",1,0.03315696907451962,-4297.07,-12.5231,-9.525580999999999
56_48,"['53_31', '51_67']",1,0.0322990599404784,-4374.52,-12.2976,-9.316426
56_3,"['55_81', '55_81']",1,0.031893167373432105,-4284.02,-13.3831,-9.204514
56_21,"['53_31', '55_50']",1,0.031331566088177186,-4303.49,-12.9634,-9.208659
56_47,"['55_30', '55_50']",1,0.030956423736763022,-4288.4,-12.8142,-9.322707
56_29,"['51_67', '53_31']",1,0.028075103433864032,-4262.01,-13.0202,-9.229754000000002
55_81,"['53_36', '54_51']",1,0.026751054037968822,-4287.8,-13.3747,-9.192539
53_31,"['47_88', '47_88']",1,0.025471314778726196,-4202.74,-13.5595,-9.138289
56_80,"['55_77', '55_77']",1,0.02488342639380162,-4280.55,-12.7482,-9.357936
56_60,"['55_72', '53_31']",1,0.023919759341719152,-4214.62,-13.3739,-9.248952
56_37,"['55_74', '55_72']",1,0.02368280724092597,-4099.15,-13.3171,-9.484314000000001
56_34,"['55_13', '54_7']",1,0.02342946253095069,-4189.35,-13.0711,-9.585298
56_50,"['53_31', '53_31']",1,0.02272283946916826,-4201.54,-13.5937,-9.133037
56_10,"['55_81', '55_13']",1,0.02002505178749771,-4319.79,-12.5137,-9.372004
56_41,"['55_77', '55_6']",1,0.016128436958496944,-4197.87,-12.9436,-9.44556
56_11,"['51_1', '51_67']",2,0.2225157089229516,-4316.91,-12.8819,-9.809103
56_7,"['54_37', '51_1']",2,0.21035786740861356,-4191.61,-13.0978,-9.686535
56_66,"['51_1', '55_72']",2,0.10673460200052542,-4044.4,-13.9324,-9.626998
51_67,"['50_44', '50_44']",2,0.1017191106283301,-4498.37,-11.9167,-9.47678
56_9,"['54_10', '54_10']",2,0.08948379562171453,-3945.71,-14.6565,-9.427275
56_6,"['51_1', '55_72']",2,0.07659447858184823,-4121.74,-13.4945,-9.667658000000001
56_74,"['55_6', '55_81']",2,0.07417499671403119,-4079.74,-14.2845,-9.369001999999998
56_61,"['51_1', '51_67']",2,0.07156871391224547,-4278.83,-12.9725,-9.487455
56_62,"['53_68', '55_40']",2,0.0602424691026554,-4059.11,-13.9856,-9.41653
56_4,"['55_55', '53_31']",2,0.0575141226263976,-4142.42,-13.6493,-9.217558
56_35,"['53_68', '53_68']",2,0.05277105269704303,-3924.27,-14.233,-9.477022
56_36,"['54_7', '55_36']",2,0.05193301612835292,-4002.27,-14.065,-9.624126
56_84,"['55_34', '55_13']",2,0.046873672823067064,-4468.55,-12.0415,-9.466277999999999
56_19,"['53_31', '51_1']",2,0.045416237453237175,-3983.98,-14.1026,-9.598790000000001
56_38,"['54_51', '55_7']",2,0.045274009718012945,-4388.28,-12.5365,-9.357016999999999
56_86,"['51_67', '55_13']",2,0.04382593321700615,-4464.91,-11.9583,-9.580316
56_52,"['54_10', '53_31']",2,0.04367032307881097,-4069.64,-14.083,-9.393767
56_87,"['55_45', '51_1']",2,0.04250985185688751,-4013.27,-14.1901,-9.560877999999999
56_70,"['55_30', '53_68']",2,0.04177726558342067,-4068.59,-14.5385,-9.333347999999999
56_54,"['55_36', '55_30']",2,0.04032732295664618,-4108.25,-14.1818,-9.229238999999998
56_58,"['55_36', '51_1']",2,0.03816535860703914,-4015.18,-14.2627,-9.425222000000002
56_82,"['55_81', '55_7']",2,0.037188598161051314,-4432.43,-12.3204,-9.375234999999998
56_15,"['55_12', '55_6']",2,0.036926415142066675,-4137.4,-13.4438,-9.569240000000002
56_32,"['55_77', '55_7']",2,0.033983072369289144,-4400.2,-12.4976,-9.352217
56_67,"['53_31', '55_55']",2,0.0332825297602556,-4188.46,-13.5783,-9.250876000000002
56_22,"['55_55', '55_50']",2,0.03196162568910033,-4206.09,-13.5362,-9.178365
56_68,"['55_36', '55_13']",2,0.029212551814538426,-4368.24,-12.7577,-9.590885000000002
56_69,"['55_34', '55_30']",2,0.028226730312282268,-4319.13,-13.1997,-9.328025
56_57,"['55_6', '54_37']",2,0.028177331277819063,-4259.53,-13.0143,-9.617799999999999
