cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy,Cost of energy next 10 years
85_1,"['76_43', '84_79']",1,inf,-3763.41,-14.526,-9.566772000000002
83_32,"['82_17', '75_66']",1,inf,-4473.49,-11.6907,-9.506087
72_13,"['71_45', '71_17']",1,inf,-4184.43,-13.3167,-9.063908
84_72,"['83_45', '81_67']",1,5.805134018363559e-05,-3888.4,-14.1127,-9.340886000000001
85_20,"['84_72', '76_43']",1,5.3867108384735795e-05,-3851.48,-14.532,-9.497129999999999
85_38,"['84_71', '84_85']",1,5.11373930083331e-05,-3937.78,-13.7204,-9.548002
83_59,"['82_86', '82_21']",1,4.0384058520821454e-05,-4410.13,-12.2462,-9.319880999999999
85_17,"['84_71', '84_17']",1,3.949585025219189e-05,-4315.65,-12.3234,-9.478012000000001
85_9,"['83_53', '83_32']",1,3.85661739041843e-05,-4429.35,-12.1128,-9.386700999999999
76_43,"['75_1', '75_54']",1,3.340115604404788e-05,-3787.42,-14.4168,-9.604326
85_29,"['84_72', '83_49']",1,2.5194312734657347e-05,-3880.06,-14.198,-9.354956
85_3,"['81_67', '84_73']",1,2.4692445783839333e-05,-4128.27,-13.668,-9.121497000000002
85_45,"['83_32', '84_17']",1,2.340004323213497e-05,-4448.38,-11.9426,-9.409078
85_67,"['84_2', '83_49']",1,2.260888926250727e-05,-3978.64,-13.593,-9.542143
85_16,"['83_59', '84_18']",1,2.1841047827051557e-05,-4389.18,-12.2395,-9.388859000000002
85_22,"['84_71', '84_71']",1,2.170413646200103e-05,-3863.36,-13.7785,-9.487442999999999
85_0,"['83_49', '84_44']",1,2.1252202401506768e-05,-3796.45,-13.9928,-9.502499
85_73,"['84_17', '84_59']",1,2.120120910998105e-05,-4291.68,-12.348,-9.273861
85_25,"['84_85', '81_67']",1,1.9614688544112408e-05,-4019.46,-13.985,-9.218057
85_48,"['84_63', '84_12']",1,1.9475421540327566e-05,-4102.24,-13.0221,-9.179342
85_49,"['84_46', '84_12']",1,1.747067531576213e-05,-4208.05,-12.753,-9.369636000000002
85_4,"['84_79', '84_37']",1,1.730050929839294e-05,-3952.87,-14.1649,-9.231691999999999
85_60,"['84_2', '84_72']",1,1.6433777280875487e-05,-3966.86,-13.9259,-9.276924000000001
85_31,"['83_32', '72_13']",1,1.5305016193680918e-05,-4306.76,-12.5443,-9.20283
85_65,"['84_37', '84_73']",1,1.5240630312951367e-05,-4172.42,-13.1856,-9.155248
85_40,"['84_57', '84_12']",1,1.4232994030653281e-05,-4159.29,-12.6217,-9.438873000000001
85_32,"['84_85', '84_85']",1,1.4098036745139893e-05,-3962.3,-13.9636,-9.301299
85_61,"['84_37', '72_13']",1,1.3613477306376077e-05,-4042.49,-13.7916,-9.113189
85_42,"['84_12', '83_59']",1,1.2640097751808771e-05,-4377.66,-12.2978,-9.395025999999998
85_18,"['84_24', '84_72']",1,1.2427170819203078e-05,-3989.28,-13.8007,-9.374637
85_57,"['84_72', '83_49']",1,1.2083944051821762e-05,-3858.51,-13.8281,-9.633543
84_73,"['72_13', '83_53']",1,1.1649046938513475e-05,-4388.51,-12.4742,-9.209609
85_70,"['84_46', '84_72']",1,1.160170064380337e-05,-3998.1,-13.1072,-9.328937999999999
85_56,"['81_67', '72_13']",1,1.1082903436703164e-05,-4026.16,-13.9486,-9.13137
85_23,"['84_2', '84_37']",1,1.0954901963235849e-05,-4048.49,-13.7048,-9.193647
85_74,"['84_37', '84_71']",1,8.13554232655541e-06,-4034.96,-13.5795,-9.310312
85_58,"['72_13', '84_46']",1,7.394193454309939e-06,-4203.81,-12.9952,-9.11113
85_63,"['76_43', '84_57']",1,7.208592649870023e-06,-3991.21,-13.7305,-9.504926999999999
85_55,"['84_12', '84_63']",1,6.848193012337422e-06,-4053.34,-12.941,-9.189929
85_35,"['84_85', '72_13']",1,6.831677194381744e-06,-4023.46,-14.2145,-9.111345
85_47,"['83_59', '84_85']",1,6.01646610885283e-06,-4182.61,-12.843,-9.388776
84_46,"['83_53', '83_42']",1,4.523192932506954e-06,-4200.18,-12.7595,-9.315885
85_41,"['84_17', '84_63']",1,3.6925657269486354e-06,-4199.34,-12.7852,-9.264287
85_43,"['81_67', '84_76']",1,1.9793732597237733e-06,-3990.98,-13.8158,-9.358805999999998
85_79,"['84_17', '72_13']",1,1.6720503168487167e-06,-4260.51,-12.7043,-9.208591000000002
85_75,"['84_37', '83_49']",2,1.0000124349959603,-4068.0,-20.4534,-9.328579999999999
84_79,"['83_49', '76_43']",2,5.545122992507162e-05,-3808.54,-14.3023,-9.506325999999998
85_5,"['84_36', '83_32']",2,3.3850089906092136e-05,-4346.05,-12.4005,-9.457626999999999
85_76,"['84_85', '84_46']",2,2.6651416083639246e-05,-4083.85,-13.3746,-9.285673
85_51,"['83_32', '83_32']",2,2.3766228871482905e-05,-4478.9,-11.7046,-9.519129
85_2,"['84_76', '84_37']",2,1.8478763304761674e-05,-4094.51,-13.1092,-9.265869
85_82,"['83_32', '84_85']",2,1.8169524328136134e-05,-4354.74,-12.5771,-9.348711
85_21,"['84_12', '84_63']",2,1.792530940476325e-05,-4248.0,-12.8754,-9.277895000000001
85_15,"['84_44', '84_36']",2,1.6830228678672057e-05,-4003.95,-13.5625,-9.489755999999998
85_88,"['83_32', '83_59']",2,1.62010192008837e-05,-4459.43,-12.082,-9.425078000000001
85_83,"['83_59', '83_59']",2,1.597837650410951e-05,-4367.31,-12.3539,-9.327189
85_69,"['81_67', '72_13']",2,1.3775208047887867e-05,-4260.21,-18.6856,-9.080674000000002
85_53,"['72_13', '76_43']",2,1.3689410890665126e-05,-3945.14,-14.1326,-9.416256
85_36,"['84_79', '83_32']",2,1.2286529862049108e-05,-4187.2,-12.9176,-9.523853
85_11,"['81_67', '84_12']",2,1.2212796939524705e-05,-4196.6,-12.8518,-9.404038
84_17,"['83_32', '83_53']",2,1.1236773734979653e-05,-4452.33,-12.0327,-9.464977000000001
85_33,"['83_59', '84_72']",2,8.892530715527417e-06,-4034.43,-13.4422,-9.409144000000001
85_44,"['84_12', '84_73']",2,8.79058715075026e-06,-4349.3,-12.6417,-9.239134
85_19,"['84_79', '84_85']",2,7.512981323321543e-06,-3939.3,-14.0296,-9.564781
85_26,"['84_17', '76_43']",2,6.869049537478012e-06,-4300.52,-12.7579,-9.561503
85_27,"['84_7', '84_2']",2,6.615960887506291e-06,-4178.5,-12.9665,-9.338474999999999
84_2,"['72_13', '83_66']",2,6.370296940882043e-06,-4063.3,-13.2796,-9.527849
85_64,"['84_71', '84_7']",2,5.929729729712635e-06,-4002.75,-13.5321,-9.522906
85_68,"['84_73', '84_81']",2,4.756322360837915e-06,-4261.99,-13.1169,-9.187616
85_71,"['84_17', '84_72']",2,4.266372532377328e-06,-4207.49,-12.8471,-9.426527000000002
85_46,"['84_46', '84_40']",2,4.062240421373061e-06,-4156.09,-12.9849,-9.224315
