cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy,Cost of energy next 10 years
41_84,"['36_43', '40_78']",1,inf,-4469.58,-12.0649,-9.653537
38_46,"['37_51', '37_88']",1,inf,-3914.01,-14.4007,-9.588975
40_59,"['36_18', '36_18']",1,inf,-4236.83,-14.0088,-9.201279
41_23,"['40_18', '36_43']",1,6.332605304033768e-05,-4430.52,-12.2647,-9.634773
33_17,"['31_14', '32_6']",1,6.063055911552215e-05,-3955.06,-15.1731,-9.492805999999998
41_55,"['40_49', '40_2']",1,3.973188068494852e-05,-4406.87,-12.8594,-9.328967
41_81,"['40_38', '40_60']",1,3.3495112912483905e-05,-4259.88,-12.8633,-9.413358999999998
41_72,"['40_2', '40_59']",1,3.0692350153327533e-05,-4360.23,-13.3043,-9.207562
41_58,"['39_30', '40_8']",1,2.031880600705556e-05,-3971.53,-14.3766,-9.450700000000001
40_2,"['39_50', '36_18']",1,1.8757942969869598e-05,-4333.4,-13.5122,-9.221673
40_17,"['39_40', '39_25']",1,1.7730110121199538e-05,-4007.15,-14.2451,-9.322922
41_34,"['40_2', '40_2']",1,1.612345154943088e-05,-4378.25,-13.2725,-9.225480999999998
41_21,"['40_59', '40_51']",1,1.2629081330660482e-05,-4128.0,-13.3925,-9.273432
41_50,"['40_38', '40_12']",1,1.246681677241221e-05,-4232.83,-13.0767,-9.439976
41_80,"['40_29', '40_12']",1,1.239817253071549e-05,-4112.28,-13.7131,-9.396048
41_4,"['40_38', '40_51']",1,1.1699586944496518e-05,-4107.4,-13.2317,-9.475768
41_62,"['40_49', '40_49']",1,1.1321453574312753e-05,-4369.07,-12.4656,-9.469568999999998
41_8,"['40_0', '40_62']",1,1.0922975836499781e-05,-4189.06,-13.243,-9.421509
41_11,"['38_46', '39_30']",1,1.073431841094838e-05,-4009.28,-14.223,-9.591683
41_45,"['40_12', '40_33']",1,1.0394509916975099e-05,-4288.07,-12.7934,-9.358569
41_22,"['40_57', '40_38']",1,1.0014370056240099e-05,-4027.71,-13.8787,-9.517285
41_3,"['40_17', '40_17']",1,9.599941268520417e-06,-4052.12,-13.9897,-9.323707
41_53,"['40_33', '36_43']",1,9.52119701083118e-06,-4375.05,-12.6785,-9.454685000000001
41_47,"['40_64', '40_2']",1,9.42057747885131e-06,-4119.7,-13.6638,-9.397017000000002
41_61,"['36_18', '36_18']",1,8.783799743116786e-06,-4192.55,-14.1018,-9.202605000000002
41_18,"['40_19', '40_19']",1,8.631810927271579e-06,-4271.94,-13.8528,-9.251055
40_12,"['39_39', '39_84']",1,7.640852751692559e-06,-4278.7,-12.8633,-9.317651
41_54,"['40_64', '40_17']",1,6.4683780628324e-06,-4046.36,-13.7841,-9.330838
41_60,"['36_43', '40_8']",1,6.410303819324683e-06,-4144.27,-13.1534,-9.435078999999998
41_42,"['36_43', '36_43']",1,6.3781693391289e-06,-4474.56,-12.0927,-9.62106
40_29,"['33_17', '38_46']",1,6.166836865309293e-06,-3975.23,-14.9665,-9.443116
41_86,"['40_29', '40_2']",1,4.466470703247318e-06,-4201.9,-13.4821,-9.254504
41_26,"['40_51', '40_17']",1,4.091994273877482e-06,-4098.65,-13.772,-9.350883
41_70,"['40_64', '40_29']",1,3.0922672355291795e-06,-3977.45,-14.9279,-9.443142
41_44,"['40_8', '40_12']",1,2.501919175971924e-06,-4042.38,-13.8234,-9.416019000000002
41_14,"['40_29', '40_17']",1,1.5643313020787864e-06,-3978.23,-14.4986,-9.400691
41_57,"['36_43', '40_51']",1,1.394289002929609e-06,-4279.46,-13.1783,-9.266115
41_69,"['40_27', '39_30']",1,1.2014969036719402e-06,-4077.73,-13.6693,-9.527524000000001
41_36,"['36_43', '40_57']",2,1.0000116762382565,-4270.18,-12.9512,-9.775932000000001
41_9,"['36_43', '40_83']",2,2.8865483663518137e-05,-4391.02,-12.762,-9.504693
41_1,"['33_17', '38_46']",2,2.787444015500029e-05,-3991.66,-14.4264,-9.612306
41_6,"['40_19', '40_49']",2,2.7039624908048756e-05,-4333.74,-12.965,-9.353529
41_83,"['40_18', '38_46']",2,2.1197187214709888e-05,-4059.97,-13.8294,-9.614419000000002
41_24,"['40_27', '39_30']",2,1.7719315165674663e-05,-4073.2,-14.2022,-9.439322999999998
41_48,"['40_17', '33_17']",2,1.4155623404302795e-05,-4030.47,-14.5931,-9.346559
41_68,"['40_60', '40_51']",2,1.3478124655823433e-05,-4306.49,-13.1712,-9.362147000000002
41_74,"['40_51', '36_18']",2,1.3023858735572769e-05,-4157.03,-13.9995,-9.276186999999998
39_30,"['38_18', '38_9']",2,1.2959560961234086e-05,-3979.49,-14.8602,-9.405885
41_82,"['40_29', '40_56']",2,1.1978225301331912e-05,-4041.57,-14.2845,-9.446091000000001
41_65,"['40_29', '33_17']",2,1.1410937988852049e-05,-4017.81,-14.8012,-9.459412
41_76,"['40_83', '40_38']",2,1.0211691598240422e-05,-4298.7,-12.9439,-9.486124
41_85,"['40_57', '33_17']",2,1.0000263719939655e-05,-4020.56,-14.5615,-9.432928
41_33,"['40_60', '40_54']",2,9.458996153373482e-06,-4197.74,-13.5263,-9.351897999999998
