cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy,Cost of energy next 10 years
47_81,"['44_6', '45_27']",1,inf,-3891.83,-14.3832,-9.600583
47_41,"['46_87', '46_8']",1,inf,-4496.47,-12.0262,-9.573585
47_88,"['45_38', '46_70']",1,inf,-4155.31,-13.7189,-9.140616
45_27,"['44_6', '44_4']",1,0.7170099668365362,-3895.86,-14.5524,-9.526426999999998
47_32,"['45_38', '46_39']",1,0.18492023494746404,-4286.19,-13.2434,-9.238564
45_38,"['44_13', '43_49']",1,0.1780473304295647,-4224.01,-13.3723,-9.148625999999998
47_78,"['46_21', '46_43']",1,0.09450999896579808,-4300.0,-12.7192,-9.679148999999999
44_6,"['38_46', '42_89']",1,0.09013171639030529,-3908.12,-14.4868,-9.514911
47_73,"['46_16', '46_44']",1,0.08812261083258735,-4249.51,-13.1003,-9.242215
47_6,"['46_85', '45_4']",1,0.08609490727438553,-4008.01,-14.0675,-9.377180999999998
46_87,"['41_84', '41_84']",1,0.07488740615898784,-4444.22,-12.0454,-9.650367999999999
47_47,"['46_87', '46_1']",1,0.07025968455715009,-4447.73,-12.1721,-9.552164999999999
45_4,"['43_49', '38_46']",1,0.06508294451179224,-3931.44,-14.5265,-9.477749
47_14,"['46_87', '46_1']",1,0.06345244329163166,-4352.25,-12.3421,-9.658661
47_19,"['46_36', '45_4']",1,0.059635376370721666,-4044.31,-13.6978,-9.471394
47_75,"['46_43', '46_8']",1,0.05921154088093218,-4396.77,-12.2762,-9.608756
47_11,"['45_38', '44_6']",1,0.053635284547326176,-4124.92,-13.9495,-9.367857
47_52,"['46_21', '46_76']",1,0.05305776147971488,-4052.73,-13.3946,-9.635183000000001
47_67,"['46_49', '46_63']",1,0.04897921418314371,-4087.73,-13.5455,-9.478151
47_68,"['46_1', '46_78']",1,0.04737034057314006,-4275.91,-12.9984,-9.445147
47_65,"['44_6', '45_27']",1,0.047161994503620144,-3976.44,-14.2286,-9.479898000000002
47_36,"['44_6', '45_27']",1,0.045836477033032584,-3969.14,-14.2758,-9.439888
47_13,"['46_87', '46_85']",1,0.045095280971330184,-4173.47,-13.0898,-9.558111
47_21,"['46_78', '45_4']",1,0.04219384263527639,-4066.26,-13.9297,-9.386863
47_39,"['46_78', '45_38']",1,0.04015478274142749,-4224.74,-13.1307,-9.297989999999999
47_42,"['45_38', '46_78']",1,0.03805885208870167,-4173.01,-13.3512,-9.305005
47_55,"['46_44', '46_78']",1,0.036286181180533256,-4159.88,-13.2128,-9.392484999999999
47_62,"['46_49', '46_76']",1,0.034389436544869686,-3954.35,-14.054,-9.5256
47_15,"['46_21', '46_85']",1,0.03405583405331776,-4160.68,-13.1504,-9.476115
47_82,"['46_63', '46_87']",1,0.03388004812577551,-4326.07,-12.769,-9.656581
47_46,"['46_25', '44_6']",1,0.033520160752111845,-3956.14,-14.3843,-9.523558
