cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy
32_78,"['31_51', '31_9']",1,inf,15.3018,6.79416
33_20,"['31_59', '31_64']",1,inf,13.9255,8.4471
34_61,"['32_87', '32_87']",1,0.09917980682633934,14.855,8.17156
33_69,"['32_36', '31_61']",1,0.09112297552557268,14.9527,7.25247
33_38,"['32_36', '32_87']",1,0.0557371892835969,14.9793,7.09367
33_41,"['32_22', '31_61']",1,0.025485299692094517,15.173,7.07822
34_33,"['33_41', '33_20']",1,0.023313525544196353,14.1621,8.35819
34_36,"['33_64', '33_70']",1,0.022512868041809474,14.2843,8.34534
34_84,"['33_5', '33_64']",1,0.00938722844919447,14.484,8.22888
34_70,"['33_64', '33_61']",1,0.009044565470275304,14.5981,8.17283
34_48,"['33_63', '33_57']",1,0.00576979760871752,14.39,8.32163
34_65,"['33_69', '33_41']",2,0.10747307433891684,15.3457,7.627
34_45,"['33_79', '33_68']",2,0.07161870296966812,14.0676,8.54478
34_34,"['33_33', '33_63']",2,0.04659895129720376,15.3875,6.98779
34_1,"['33_1', '33_64']",2,0.022355907176983943,14.433,8.33307
32_58,"['30_36', '31_41']",2,0.013576152620314537,14.6862,8.20904
33_64,"['32_24', '32_78']",2,0.012603944354532746,14.3047,8.34557
32_87,"['30_27', '30_36']",2,0.010122372136066602,14.8659,8.19849
34_39,"['33_63', '33_59']",2,0.009759922139033433,14.5078,8.30166
34_64,"['33_33', '33_24']",2,0.007014848105083284,14.5072,8.30536
33_68,"['32_24', '32_58']",2,0.006040538736815712,14.5149,8.24164
33_63,"['32_82', '32_74']",2,0.002790061190911211,14.4871,8.33163
34_51,"['32_78', '33_33']",3,0.0733528979793125,15.5831,7.00329
34_24,"['31_59', '33_5']",3,0.040754345276305406,14.1595,8.87617
34_59,"['33_64', '33_68']",3,0.015672359079121616,14.3199,8.37659
34_89,"['33_61', '33_28']",3,0.014884419464990126,14.5498,8.26273
34_49,"['33_64', '33_64']",3,0.00643251544199068,14.7296,8.23376
34_85,"['32_78', '33_20']",3,0.004729476967649087,14.7137,8.24897
34_8,"['33_38', '33_63']",3,0.002560530471693558,14.5238,8.31697
34_88,"['33_64', '33_51']",4,0.09969595148838459,15.7444,7.56548
34_23,"['31_59', '33_20']",4,0.037519864909451923,14.2344,8.88094
34_43,"['33_68', '33_24']",4,0.021901388309031086,14.3537,8.38382
34_5,"['33_28', '33_28']",4,0.01858257584115949,14.619,8.31141
34_44,"['32_58', '33_26']",4,0.01238449369085404,14.9246,8.24579
34_69,"['33_63', '33_63']",4,0.00678531084037479,14.5613,8.33458
34_7,"['32_58', '33_68']",4,0.003614937008555146,14.5781,8.32181
34_32,"['32_78', '33_69']",5,0.04060110225014619,16.3578,7.58345
34_83,"['33_79', '33_64']",5,0.019404224731931864,14.4699,8.44787
34_57,"['33_1', '33_68']",5,0.013361139799269105,14.538,8.41586
34_21,"['33_64', '32_78']",5,0.010685709785409295,14.3711,8.47844
34_55,"['33_64', '32_87']",5,0.010648047032439495,14.9518,8.25586
34_80,"['33_20', '32_78']",5,0.008774256344557009,14.5863,8.36563
34_30,"['33_64', '33_5']",5,0.007846773416113024,14.601,8.3267
34_73,"['33_68', '33_57']",5,0.004217992694917876,14.5212,8.41648
34_9,"['33_20', '31_61']",6,0.008652326945475495,14.3785,8.579
34_25,"['33_26', '33_41']",6,0.008310508334844332,14.66,8.35774
34_87,"['33_68', '33_26']",6,0.004459390388612362,14.5238,8.53868
34_3,"['33_63', '33_79']",6,0.003804003504821952,14.5656,8.4377
34_40,"['33_79', '32_58']",7,0.030790976198135,14.3953,8.80658
34_56,"['33_79', '33_51']",7,0.013432217281802387,14.7064,8.47252
34_16,"['33_20', '33_87']",7,0.009047772760673617,14.6783,8.49577
34_28,"['33_63', '33_20']",7,0.006233944893357455,14.4897,8.60703
34_29,"['33_61', '33_63']",7,0.005949648054206006,14.5697,8.52787
34_50,"['32_58', '33_63']",7,0.005764325578567732,14.7206,8.37627
34_52,"['33_61', '33_61']",8,0.004666332619735487,14.7349,8.42502
34_63,"['32_58', '33_5']",8,0.0034177541039308802,14.7165,8.50203
