cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy
77_24,"['76_60', '76_60']",1,inf,14.625,5.67869
74_51,"['73_28', '73_31']",1,inf,13.1724,7.66512
76_87,"['75_11', '75_10']",1,0.1359730434520626,13.6061,7.16198
75_81,"['72_32', '73_8']",1,0.04274072855251463,14.5158,5.73459
77_15,"['75_0', '76_60']",1,0.01985675519182942,14.6031,5.69259
76_32,"['75_3', '74_64']",1,0.016347155124937385,13.3917,7.24737
77_67,"['76_17', '76_87']",1,0.012447184759320773,13.5105,7.20158
77_87,"['76_87', '76_33']",1,0.010181183855822583,13.4823,7.20738
77_54,"['76_33', '74_51']",1,0.009163825706505955,13.1876,7.56034
77_9,"['76_55', '76_87']",1,0.009025742975629901,13.2971,7.51204
76_23,"['75_11', '75_81']",2,0.034402869958859446,14.6736,5.68369
77_62,"['76_53', '76_60']",2,0.024628548807169758,14.5266,5.80523
77_46,"['76_53', '76_32']",2,0.01736918897978814,14.605,5.7059
75_3,"['72_77', '72_8']",2,0.015781187196828268,13.5555,7.20816
76_54,"['72_77', '75_16']",2,0.014775329588335162,13.2146,7.61183
77_85,"['75_75', '75_16']",2,0.010255052877621898,13.3038,7.51805
76_55,"['75_76', '75_33']",2,0.01015943515298256,13.2547,7.56752
77_52,"['74_51', '76_39']",2,0.008000858704651104,13.1839,7.70348
76_33,"['75_13', '75_76']",2,0.007488115159842436,13.2992,7.53151
77_2,"['76_35', '76_87']",2,0.005870391320930341,13.5239,7.23469
77_42,"['75_75', '76_64']",2,0.005794393108068782,13.464,7.3409
77_28,"['75_3', '75_3']",2,0.00567740453519038,13.5259,7.22073
77_23,"['75_3', '75_16']",2,0.004766786796735654,13.2259,7.57971
77_39,"['76_64', '76_64']",2,0.004550964485883724,13.4643,7.26634
75_16,"['74_51', '74_64']",2,0.001312140222864497,13.2282,7.56876
77_33,"['76_14', '75_16']",3,0.03091615215860846,14.7005,5.89389
77_83,"['76_23', '76_55']",3,0.026554219977996764,14.702,5.80513
77_71,"['74_51', '76_6']",3,0.015284718774689305,13.1948,7.70867
77_26,"['74_51', '75_3']",3,0.011994112578500474,13.5024,7.32804
77_47,"['76_61', '76_6']",3,0.009329634662717915,13.4721,7.43304
77_70,"['75_3', '76_84']",3,0.008678791144965423,13.5934,7.22223
77_36,"['76_21', '74_51']",3,0.007846661422967513,13.2215,7.64132
77_51,"['75_3', '75_75']",3,0.007397062007030889,13.5246,7.31725
77_1,"['75_3', '75_3']",3,0.006582388121613141,13.5316,7.23837
77_88,"['74_51', '76_50']",3,0.006285106275122874,13.228,7.5843
77_18,"['76_55', '76_55']",3,0.00613159573437028,13.3166,7.56564
77_53,"['76_41', '76_84']",4,0.03863678477200834,14.731,5.81907
77_38,"['75_3', '76_84']",4,0.02644433293065049,13.6543,7.27784
77_34,"['74_51', '76_33']",4,0.01648399046167898,13.243,7.60704
77_19,"['76_35', '76_54']",4,0.011641333827854958,13.5863,7.29435
77_0,"['76_84', '76_54']",4,0.009463436784728396,13.6646,7.26304
77_32,"['76_54', '76_21']",4,0.007153634573895269,13.2282,7.70035
77_56,"['76_32', '76_23']",4,0.002559145470917277,13.5095,7.33787
77_11,"['76_87', '75_0']",5,0.04193601388147676,14.7815,5.87561
77_86,"['76_23', '76_6']",5,0.014947177762594958,13.5792,7.4445
77_89,"['76_33', '76_32']",5,0.013545886325895571,13.2661,7.72377
77_80,"['76_55', '76_6']",5,0.012165805165573083,13.2776,7.63529
77_7,"['76_61', '76_84']",5,0.00962673371060459,13.6694,7.26342
77_78,"['76_41', '76_33']",5,0.008398194471834214,13.3494,7.63425
77_29,"['75_16', '76_23']",5,0.006924792622516683,13.5079,7.62536
77_57,"['76_32', '76_84']",5,0.006342233412687766,13.5819,7.43302
