cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy
66_16,"['61_17', '61_17']",1,inf,14.9191,6.05751
65_37,"['64_79', '64_24']",1,inf,13.373,7.96042
66_66,"['64_59', '65_37']",1,0.07352952060036264,13.588,7.43185
66_13,"['65_16', '65_70']",1,0.04242419605042638,14.6841,6.50959
66_29,"['65_70', '61_38']",1,0.03908085688424836,14.7467,6.13237
65_70,"['61_38', '64_52']",1,0.031176456310234867,14.8342,6.1104
66_73,"['64_78', '64_59']",1,0.024718747113911838,13.5779,7.7138
66_81,"['64_7', '64_7']",1,0.02289172148160877,14.6001,6.57496
65_16,"['64_87', '56_58']",1,0.02215606853652854,14.6197,6.53106
66_27,"['65_34', '64_78']",1,0.01553320864996244,13.453,7.87457
66_5,"['65_54', '64_79']",1,0.014357379150053206,13.3971,7.89164
66_22,"['65_37', '65_54']",1,0.007147754475062343,13.497,7.82888
61_38,"['60_13', '60_13']",2,0.04634781907324296,14.7812,6.19171
61_17,"['60_21', '59_50']",2,0.022429836961445897,14.9573,6.07432
65_44,"['63_73', '56_58']",2,0.01946627272709834,14.6119,6.60174
64_78,"['62_32', '61_60']",2,0.01810837084047591,13.4174,7.90231
64_59,"['61_60', '62_29']",2,0.01614217394820691,13.601,7.47614
65_32,"['64_78', '64_59']",2,0.014766026147150817,13.6325,7.44831
64_79,"['63_27', '63_37']",2,0.009386714189680893,13.4668,7.8774
66_17,"['61_38', '64_7']",3,0.12430780995953347,15.3739,6.32164
66_3,"['61_17', '56_58']",3,0.04120795978951447,14.8256,6.45956
66_38,"['64_79', '65_32']",3,0.013611578686480396,13.8652,7.45149
66_61,"['64_79', '65_32']",3,0.012276222712773427,13.6269,7.478
66_43,"['64_26', '64_78']",3,0.008552511374569603,13.4636,7.94844
66_20,"['64_78', '65_34']",3,0.005331567167442676,13.5014,7.89455
66_59,"['56_58', '65_44']",4,0.088616270025414,14.9571,6.89168
66_62,"['65_70', '65_32']",4,0.0731807030279287,15.0003,6.64733
66_31,"['65_32', '64_79']",4,0.024536770039031618,13.5109,7.92325
66_88,"['65_53', '65_32']",4,0.01915693667619358,13.6304,7.5654
66_49,"['65_19', '65_54']",4,0.018971984530044096,13.7391,7.4982
66_83,"['65_32', '64_26']",4,0.016439830944416277,13.4893,8.03217
66_8,"['65_0', '65_0']",4,0.00487741059826567,13.6293,7.63577
66_86,"['65_44', '65_70']",5,0.1799854119976421,15.2403,7.0996
66_40,"['64_59', '64_59']",5,0.01673366935691516,13.6691,7.72637
66_52,"['65_0', '64_78']",5,0.01092575242117121,13.747,7.59322
66_37,"['65_32', '65_0']",5,0.008197764882437689,13.6772,7.62067
66_85,"['65_19', '65_34']",6,0.010955835661408436,13.6847,7.76448
66_34,"['65_53', '64_59']",6,0.009291810720107712,13.7546,7.60602
66_54,"['65_37', '65_34']",6,0.008159953691216111,13.7201,7.69021
66_79,"['64_78', '65_37']",6,0.0048160885914037554,13.7093,7.69585
66_26,"['64_59', '65_37']",6,0.0043481770572823845,13.7359,7.66275
66_71,"['65_37', '65_19']",7,0.025533268826808987,13.7765,7.65858
66_65,"['64_59', '65_54']",7,0.013980891303441123,13.7077,8.31664
66_4,"['65_46', '65_32']",7,0.010171372146886343,13.8538,7.61616
66_10,"['65_13', '65_19']",7,0.00793579308347962,13.7271,7.71171
66_11,"['65_61', '65_29']",7,0.006964714403196566,13.7436,7.67284
66_68,"['65_13', '65_61']",7,0.005443743301438491,13.7102,7.73481
66_57,"['56_58', '64_79']",8,0.028646025921064668,13.939,7.66563
66_60,"['65_29', '61_38']",8,0.011596390694230442,14.1753,7.64089
66_53,"['64_78', '65_37']",8,0.007304708675102968,13.7642,7.69033
66_50,"['65_32', '65_46']",9,0.023611789823738155,13.8393,7.82244
66_44,"['65_61', '65_44']",9,0.022247876581140007,14.0552,7.77354
66_25,"['65_19', '65_31']",9,0.01645679159489115,13.9137,7.79157
66_0,"['61_38', '65_37']",9,0.01549334555376166,13.8829,7.82028
66_32,"['65_34', '64_79']",9,0.013251945048795509,14.2578,7.66347
66_58,"['61_17', '65_37']",9,0.011624002537400632,14.204,7.73874
