cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy
90_7,"['89_3', '89_68']",15,0.01771549265842149,13.7717,7.41977
90_65,"['88_82', '89_51']",15,0.017329010907593586,13.6432,9.81365
90_42,"['89_51', '88_66']",16,0.43924870805402344,13.9348,9.36869
90_67,"['89_3', '89_68']",16,0.13970734419933362,14.2298,7.65039
90_56,"['86_71', '89_39']",16,0.04187692587961725,13.7037,9.85566
90_22,"['89_0', '89_86']",17,0.1651915695427059,14.0821,9.89695
90_8,"['89_3', '88_33']",17,0.1076715693019365,14.3322,9.79597
90_66,"['89_86', '89_41']",18,0.1581952070684701,14.2895,9.97249
90_11,"['89_25', '89_83']",19,inf,14.5536,10.9846
90_6,"['88_73', '87_14']",19,0.21739165031072005,14.9282,10.5159
90_78,"['89_63', '89_86']",20,inf,15.0732,10.5585
90_32,"['89_63', '86_71']",20,0.0,15.0056,10.6897
