cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ,Average Energy Change
75_82,"['70_80', '70_80']",1,inf,20.635066666666663,14.277549999999998,15.000885405405405
80_36,"['79_21', '79_21']",1,inf,64.82723333333333,16.807199999999998,6.882691741741742
82_71,"['79_35', '79_35']",1,inf,22.471166666666665,13.798153333333332,13.674164864864865
83_32,"['82_80', '82_22']",1,inf,19.663366666666665,33.774233333333335,13.577441771771772
83_58,"['82_5', '82_66']",1,inf,21.265900000000002,36.434599999999996,12.592709969969972
83_25,"['82_86', '82_89']",1,0.21646127885028923,42.35093333333333,18.412133333333333,8.992314414414414
83_80,"['81_70', '82_10']",1,0.18698342557180925,54.19986666666667,16.778466666666667,7.962882852852853
83_50,"['75_82', '75_82']",1,0.16060195357914447,20.7019,14.365293333333334,14.993223513513513
83_18,"['73_18', '80_36']",1,0.15086124299056114,49.8186,16.98646666666667,8.22215975975976
83_5,"['82_71', '80_36']",1,0.14791273694823526,45.144000000000005,17.487733333333335,8.637227357357355
83_77,"['80_16', '82_22']",1,0.1421655226145116,50.148266666666665,24.6863,8.124317087087087
83_12,"['73_18', '82_80']",1,0.13765016874791478,19.677,22.83574,14.255847117117119
83_21,"['80_36', '82_6']",1,0.12682525977102893,56.28496666666667,21.790733333333336,7.660620660660662
83_51,"['80_36', '80_16']",1,0.12313428381096506,63.384166666666665,20.572766666666666,6.965930900900902
83_30,"['82_44', '82_31']",1,0.12199961281497844,38.813633333333335,18.2372,9.643142042042042
82_7,"['80_6', '80_6']",1,0.11772204272369768,20.166,15.769446666666667,14.034634804804808
83_88,"['81_70', '80_16']",1,0.11483234679637636,60.43743333333333,19.930366666666668,7.231804534534535
83_33,"['82_5', '82_10']",1,0.11293545584834816,38.433,19.669466666666665,9.314832432432432
83_54,"['80_36', '82_26']",1,0.1078435325594354,55.70283333333333,22.347233333333335,7.5645269069069085
83_53,"['82_28', '82_66']",1,0.10433344993818064,25.800033333333335,26.8499,10.691672702702704
83_17,"['82_86', '82_5']",1,0.10404051861551883,36.17986666666667,28.471633333333333,9.473551021021022
83_4,"['82_55', '82_66']",1,0.10353747955529007,27.901933333333332,29.033833333333334,9.78712135135135
83_74,"['82_45', '82_22']",1,0.10209682642510923,20.27146666666667,24.44629,13.868525165165167
83_16,"['82_31', '82_66']",1,0.10168374963346635,24.7208,27.740899999999996,11.213354024024026
83_73,"['82_22', '82_24']",1,0.10168138609237803,21.555933333333332,32.486866666666664,12.786654054054056
83_9,"['82_5', '80_36']",1,0.10095115276563324,58.019933333333334,22.6029,7.384251381381382
83_78,"['82_31', '82_55']",1,0.0976167375097469,33.420033333333336,22.451133333333335,10.068356996996998
82_89,"['81_19', '81_70']",1,0.09494814714763214,31.724866666666667,20.434099999999997,10.382003033033035
83_84,"['75_82', '82_44']",1,0.09325191825489593,29.683666666666667,16.075066666666668,12.201993693693694
