cand_id,parents,rank,distance,CO2 Gross emissions,Total cost of energy
9_69,"['7_50', '8_46']",1,inf,-10.7116,-16.4606
9_74,"['7_54', '8_11']",1,inf,-14.7413,-13.1742
9_66,"['8_46', '8_11']",1,0.02142265617297675,-14.4535,-13.599
8_32,"['7_50', '7_50']",1,0.02008828818715084,-10.9164,-16.0411
9_51,"['8_55', '7_54']",1,0.01691819012994416,-11.6855,-14.4577
8_55,"['7_50', '7_54']",1,0.013420402641917094,-12.8698,-14.4201
7_50,"['5_87', '6_9']",1,0.013210100662278427,-10.9433,-15.996
9_49,"['8_55', '8_0']",1,0.012726141104219317,-13.3692,-13.9042
7_54,"['6_72', '6_9']",1,0.009790110909853704,-14.0059,-13.7036
9_73,"['8_46', '8_78']",1,0.007563854844246164,-13.8639,-13.8203
9_10,"['8_0', '7_50']",1,0.006201908718858665,-10.9703,-14.6773
8_11,"['7_54', '7_44']",2,0.13886346365169167,-17.0399,-13.3047
9_86,"['7_16', '8_52']",2,0.023690474648405055,-10.7351,-27.0046
9_88,"['8_78', '8_11']",2,0.020040830183139353,-14.9406,-13.5284
9_34,"['8_0', '7_54']",2,0.017437963128878485,-14.2731,-13.7127
9_9,"['8_0', '8_0']",2,0.017144679356676722,-14.2515,-13.7939
9_60,"['8_32', '7_54']",2,0.01604398973227495,-13.1496,-14.6675
9_67,"['7_50', '8_0']",2,0.012887818374679928,-13.9766,-13.8667
9_33,"['8_32', '8_77']",2,0.012655335503746734,-11.0083,-16.1765
9_19,"['8_78', '6_9']",2,0.012127308313129546,-13.3069,-14.5128
8_46,"['7_5', '6_9']",2,0.00969397872188851,-11.4057,-14.7336
9_26,"['8_46', '6_9']",2,0.00758144447634812,-11.0894,-14.8098
9_41,"['8_11', '7_33']",2,0.006457809350480823,-13.4072,-14.0308
8_38,"['7_43', '7_43']",3,0.09939045277155889,-25.6102,-13.5529
9_8,"['7_50', '8_83']",3,0.034812629129164795,-14.1044,-14.3637
9_28,"['6_9', '8_32']",3,0.01488605959137783,-12.1521,-15.217
9_16,"['8_32', '8_32']",3,0.013289667795771024,-11.0501,-16.2955
9_47,"['8_46', '7_33']",3,0.012456018723414229,-12.6957,-14.8444
9_63,"['8_55', '8_46']",3,0.011695261287984818,-12.229,-15.0932
8_78,"['7_44', '7_54']",3,0.010787866913932785,-15.7865,-13.5624
9_70,"['7_16', '8_11']",3,0.010162828683423993,-14.0124,-14.6149
9_77,"['8_55', '8_0']",3,0.009341615770615399,-14.7286,-14.0018
9_64,"['8_55', '8_49']",3,0.0029960287047253106,-11.1017,-15.3525
9_30,"['7_33', '7_33']",4,0.029325020131736077,-13.7637,-15.1305
9_89,"['7_50', '6_9']",4,0.02567118380364955,-13.0162,-15.3978
9_65,"['8_77', '8_88']",4,0.023873718423399075,-11.8133,-15.7903
9_84,"['7_50', '7_50']",4,0.016218452184338296,-11.1879,-16.2223
9_29,"['8_55', '8_78']",4,0.014912728294606343,-16.0676,-13.5859
9_59,"['8_55', '6_9']",4,0.01315484633314546,-14.4947,-14.4146
9_15,"['8_49', '8_88']",4,0.009844944253621864,-11.108,-16.5022
9_45,"['6_9', '7_16']",4,0.009113991322664121,-12.2821,-15.6059
9_22,"['8_32', '7_33']",4,0.00893698226896009,-13.2635,-15.3694
9_52,"['7_50', '8_11']",4,0.008120097949261544,-13.8154,-15.0616
9_18,"['8_88', '8_88']",4,0.008078107357744755,-11.4418,-15.8338
9_87,"['8_78', '8_31']",5,0.10680586979534362,-18.5551,-14.0399
9_17,"['7_54', '8_78']",5,0.030468090748612873,-16.672,-14.0511
9_5,"['7_54', '8_52']",5,0.026927002936822785,-13.4374,-15.5503
9_61,"['8_88', '8_88']",5,0.015006253611658707,-11.4699,-15.8928
9_25,"['7_44', '8_84']",5,0.014500550339415032,-13.2103,-15.7349
