cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years
25_26,"['24_66', '24_15']",1,inf,30.2882,12.0585,8.487464999999998
25_10,"['24_31', '22_8']",1,inf,29.7349,9.94465,9.063025000000001
25_46,"['24_21', '23_17']",1,inf,17.571,11.759,9.205489
25_78,"['24_35', '24_15']",1,0.09995192118599396,30.1533,10.2868,8.654849000000002
25_34,"['24_13', '23_28']",1,0.07542299044766773,24.6893,12.2538,8.576991999999999
23_17,"['22_33', '22_33']",1,0.0667409257806941,17.901,11.634,8.997984
25_6,"['24_48', '24_58']",1,0.0625937463877199,25.6168,10.5339,8.793099000000002
20_55,"['19_36', '19_79']",1,0.062151490313515426,28.322,10.001,9.028928
23_87,"['22_45', '22_45']",1,0.05919188716161975,18.8982,11.014,9.195775000000001
25_19,"['24_13', '24_22']",1,0.05881360324781729,29.9175,11.332,8.605635000000001
24_15,"['23_28', '23_31']",1,0.05309412711645618,30.8145,11.3884,8.512687000000001
25_84,"['24_48', '24_59']",1,0.05200083903993921,27.3748,12.0829,8.487904
25_29,"['24_21', '22_8']",1,0.049068180645646026,23.1139,11.0306,8.951935000000002
25_38,"['24_6', '24_22']",1,0.048827576727763014,29.2338,11.7315,8.554129999999999
22_8,"['21_85', '20_55']",1,0.04844704683985393,29.1417,10.1844,8.946615
25_24,"['24_13', '21_18']",1,0.04602675126747813,19.8593,10.8176,9.227996000000001
25_77,"['24_87', '24_21']",1,0.045909092677806664,19.4492,12.6666,8.820128
25_21,"['24_22', '24_15']",1,0.044088443060203715,30.6744,11.0059,8.561036000000001
25_1,"['21_18', '24_48']",1,0.04381116759483803,20.8176,11.1367,9.070817000000002
21_18,"['19_8', '20_51']",1,0.041832233808575627,18.4025,10.7373,9.624793
25_61,"['24_34', '24_21']",1,0.04158263814012554,18.8276,15.5095,8.941048
25_2,"['24_13', '23_17']",1,0.040247170968508675,21.8622,12.0583,8.626137000000002
24_31,"['20_55', '22_8']",1,0.04023554221913493,28.4348,9.95574,9.079092000000001
25_87,"['24_9', '24_22']",1,0.04002124827761564,30.9323,10.7325,8.591216
25_88,"['24_35', '21_18']",1,0.039158497156760196,23.8491,11.1338,8.693568
24_63,"['23_17', '23_57']",1,0.037862219714247004,19.5227,11.6549,8.680042
25_17,"['20_55', '23_28']",1,0.03746470834832232,23.516,10.8233,8.707016
25_4,"['24_48', '22_8']",1,0.03686333863269725,28.5851,10.8466,8.690071
25_28,"['24_15', '23_28']",1,0.03520453352517846,30.3379,11.0278,8.599974999999999
24_48,"['23_60', '23_31']",1,0.03061720288932023,26.262,11.8056,8.500565
25_76,"['24_21', '24_15']",1,0.024754742176568277,21.7003,11.434,8.838699000000002
25_40,"['24_72', '24_48']",1,0.02017042914708392,25.5055,11.6098,8.560892
25_35,"['24_32', '23_17']",1,0.008465549192480675,19.5016,11.4111,8.90819
25_12,"['21_18', '21_18']",2,inf,18.1933,12.0089,9.625738000000002
25_89,"['23_17', '24_87']",2,0.10910949176040044,18.7514,15.5911,9.224994999999998
25_86,"['24_32', '24_58']",2,0.10035371206377629,25.9347,14.3136,8.684554
25_39,"['22_25', '24_31']",2,0.07999797264901937,27.6176,11.2337,8.738852
25_53,"['24_31', '23_28']",2,0.07254037540257295,28.101,14.2152,8.636171999999998
25_33,"['23_28', '23_45']",2,0.06293191424539588,31.4593,11.4494,8.631181999999999
25_49,"['24_48', '24_31']",2,0.06151907092288689,25.3421,13.7328,8.718682
25_16,"['24_34', '24_66']",2,0.05938028734534849,27.0328,12.6368,8.780179
25_83,"['22_8', '23_28']",2,0.05838056861390139,31.8354,10.6818,8.720704999999999
25_54,"['24_63', '24_58']",2,0.05696190843369357,24.3324,10.9734,8.918564
25_68,"['24_32', '24_66']",2,0.048915102570904076,21.7824,12.7288,8.796966999999999
25_44,"['24_72', '24_35']",2,0.047468563735655694,21.3793,11.1855,9.152759
25_8,"['24_40', '21_18']",2,0.0439922028024981,20.7525,11.0478,9.304791
25_75,"['23_17', '24_13']",2,0.041680191877958295,19.6237,15.2315,9.017039
24_66,"['22_25', '22_25']",2,0.04043389873167965,31.7038,12.1854,8.498225000000001
25_72,"['24_72', '24_15']",2,0.039274944611840217,32.2207,11.426,8.533500999999998
25_57,"['24_72', '24_63']",2,0.03794170017885619,20.0982,11.8001,8.804529
