cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Total cost of energy,Cost of energy next 10 years
72_62,"['70_48', '70_48']",1,inf,27.7436,12.0588,8.351961000000001
80_53,"['75_17', '78_53']",1,inf,33.1092,9.48154,8.611915
69_50,"['61_40', '61_40']",1,inf,16.5497,11.2635,9.028528
75_17,"['67_48', '67_48']",1,inf,27.0782,9.19756,9.135499
80_60,"['79_59', '79_37']",1,0.12946027489204678,30.9306,9.74752,8.582681
80_81,"['78_53', '79_29']",1,0.10530604922553635,27.3001,11.8193,8.44289
80_63,"['69_50', '72_62']",1,0.08827219412385381,17.1128,10.0005,8.937705000000001
80_89,"['75_17', '72_62']",1,0.07819848598885512,24.643,11.9556,8.467150999999998
80_86,"['79_66', '72_62']",1,0.07369687477007766,28.8404,11.6845,8.377445999999999
80_34,"['72_62', '79_29']",1,0.07142327478030801,23.7087,12.7801,8.362350000000001
80_74,"['78_53', '78_6']",1,0.06945975147594935,20.0877,12.4305,8.499197000000002
80_57,"['75_17', '72_62']",1,0.06780181680667291,29.4898,10.8064,8.509128
80_26,"['79_72', '79_70']",1,0.06561127860920599,31.1179,9.54304,8.6886
77_24,"['74_61', '74_61']",1,0.06112222152701055,16.7688,11.1971,9.208005
80_25,"['78_6', '79_47']",1,0.06059152992086563,17.472,11.3736,8.934913
80_22,"['79_17', '79_35']",1,0.05994429980743527,24.0406,9.62168,8.757831
80_66,"['79_79', '79_70']",1,0.04944483180377626,21.4211,11.0336,8.636996000000002
80_30,"['79_72', '79_29']",1,0.046807501576404585,20.4081,11.8125,8.480151000000001
80_70,"['77_24', '75_17']",1,0.04397688024256562,25.9798,9.40918,8.927699
79_40,"['78_50', '77_24']",1,0.04379210690357877,20.637,10.7985,8.86046
80_17,"['72_62', '79_3']",1,0.04272585788946502,21.8351,12.1701,8.400792
80_10,"['79_47', '79_70']",1,0.03978234154078113,19.1855,10.9427,8.680042
80_20,"['79_72', '79_70']",1,0.039659365970866126,27.1055,10.4647,8.660166
80_77,"['79_43', '79_43']",1,0.03942738431913504,23.0939,10.4584,8.713348
80_65,"['79_72', '79_66']",1,0.03924136663242503,23.3879,11.715,8.557896000000001
80_43,"['79_35', '79_35']",1,0.039108706097531205,24.0007,10.2872,8.925019
80_84,"['75_17', '79_37']",1,0.03728966336019885,27.9821,9.55052,8.718044
80_79,"['79_66', '79_17']",1,0.03613798884338357,28.4937,10.5516,8.572712
80_33,"['79_36', '79_31']",1,0.03259504370311589,26.6403,11.3661,8.535961
80_37,"['79_47', '79_32']",1,0.025385671981422747,28.4961,11.2624,8.566432
80_59,"['79_37', '78_6']",1,0.024259320522433736,19.1485,11.1403,8.88837
80_39,"['77_24', '79_31']",1,0.02413261213515045,21.956,10.8652,8.856347000000001
80_32,"['72_62', '78_6']",1,0.023988098458859318,19.9647,11.7884,8.580226
80_38,"['75_17', '78_53']",1,0.02338951439563645,27.0648,9.43288,8.850178
80_78,"['79_17', '79_40']",1,0.0215356221697847,20.2242,10.8959,8.646832
80_49,"['79_40', '79_32']",1,0.01874824221525308,21.5879,11.0122,8.574657
80_13,"['78_53', '79_78']",1,0.018199028334992214,28.7536,9.77983,8.573195000000002
80_82,"['79_31', '69_50']",1,0.018047464303212347,19.1518,11.4468,8.851303999999999
78_53,"['77_26', '75_2']",1,0.013523087052473813,32.8451,9.77231,8.533173999999999
80_40,"['79_3', '79_31']",2,inf,20.1118,18.9214,8.546352
80_21,"['79_35', '78_53']",2,0.15005363267893984,31.5795,9.80998,8.628658
80_73,"['72_62', '79_47']",2,0.14079558398331807,20.2058,15.5284,8.673355999999998
80_72,"['78_6', '75_17']",2,0.09336255292737039,20.4856,10.3485,9.207030999999999
79_29,"['78_43', '78_81']",2,0.08236793976163104,22.0161,13.0427,8.415107
80_1,"['75_17', '79_37']",2,0.07175308389792473,24.8467,10.4249,8.76027
80_5,"['79_29', '72_62']",2,0.060025586419735544,28.1352,12.2066,8.384488
80_52,"['69_50', '79_40']",2,0.05776407604728986,17.9186,10.2301,9.263204
80_44,"['79_78', '79_40']",2,0.05570890949553037,18.9768,10.7966,9.039019
80_8,"['79_1', '69_50']",2,0.04616241147212842,19.3837,10.9983,8.747388
79_31,"['77_62', '78_36']",2,0.04591736253831037,22.2203,13.2575,8.407326000000001
78_6,"['77_10', '69_50']",2,0.04444043506864317,18.6181,11.0168,8.941339
80_23,"['77_24', '69_50']",2,0.04033745724518399,16.7891,11.2921,9.028528
80_31,"['79_43', '79_29']",2,0.03784808229150057,28.6215,11.2358,8.597691000000001
80_19,"['79_43', '79_31']",2,0.0372675878690657,21.627,11.5094,8.613944
80_14,"['79_59', '78_6']",2,0.03668815897124823,25.1321,11.2165,8.609075
80_11,"['79_31', '78_53']",2,0.03077504717854572,22.2392,12.6781,8.556243
80_36,"['79_17', '69_50']",2,0.02945733612564535,20.8904,10.5948,8.992923000000001
79_47,"['77_24', '69_50']",2,0.02580612057995563,17.905,15.342,8.992898
80_75,"['79_79', '79_72']",2,0.021041558469856166,21.4645,10.5211,9.076972999999999
80_24,"['79_31', '79_31']",3,0.24126779437070975,22.6452,16.515,8.549793
80_51,"['77_24', '78_6']",3,0.1025886407810422,17.8455,13.7859,9.245850999999998
80_88,"['72_62', '79_37']",3,0.07928800046591593,26.4546,13.4492,8.525763000000001
80_12,"['79_72', '79_43']",3,0.07121636512598509,22.3687,11.0506,8.968731000000002
80_2,"['69_50', '79_47']",3,0.0707961350306316,18.3733,15.3595,8.995029
80_54,"['72_62', '69_50']",3,0.06481673732436959,21.777,15.2257,8.718901
80_45,"['77_24', '79_1']",3,0.06269816764646594,19.0749,14.0402,9.065702
