cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Average Adjusted cost of energy per GJ,Year Zero Emissions Reached,Average Percent Energy Change
0_3,[],1,inf,-9.57108,84.18943289473684,2038.0,0.025214430924847563
0_4,[],1,inf,84.855,19.478842105263162,2100.0,0.010554404092316007
4_36,"['3_98', '3_65']",1,inf,-9.44255,84.18285394736841,2038.0,0.02522603872679075
4_156,"['3_155', '3_66']",1,inf,51.9008,22.701978947368417,2100.0,0.009733749475730196
6_123,"['5_119', '5_119']",1,inf,84.8877,19.483668421052634,2100.0,0.010553438956502178
7_142,"['3_98', '3_98']",1,inf,-9.57108,84.18943289473684,2038.0,0.025214430924847563
7_178,"['6_123', '6_95']",1,inf,18.6218,28.664174999999993,2100.0,0.014639675205464931
5_173,"['4_156', '4_48']",1,0.2809231202984596,40.4999,23.74044605263158,2100.0,0.011040655198816064
7_137,"['6_104', '6_6']",1,0.2774149784230946,-0.728295,24.403259210526315,2087.0,0.016957172814220527
0_2,[],1,0.19319062041612464,70.9186,20.224507894736842,2100.0,0.010021363905027275
7_100,"['0_4', '6_158']",1,0.17759645972420116,28.7338,26.461619736842106,2100.0,0.013069382281061357
7_53,"['5_69', '6_176']",1,0.17351445659154724,-5.58961,37.07730657894736,2074.0,0.017411908246386224
7_82,"['0_2', '6_72']",1,0.17012640631504697,51.4453,21.771915789473685,2100.0,0.010667549225172426
7_121,"['6_131', '5_10']",1,0.16337577534591424,35.3242,22.842740789473687,2100.0,0.01234335036340048
7_46,"['6_151', '6_99']",1,0.13687970608757463,-8.44444,78.46191842105263,2043.0,0.023348622519151038
7_104,"['6_126', '6_123']",1,0.13232982072988056,26.0449,26.848174999999998,2100.0,0.014226110358983994
5_32,"['4_76', '2_40']",1,0.13205920480723954,-2.31286,32.46648947368421,2086.0,0.01657663216119153
7_52,"['4_36', '6_172']",1,0.13019883831028345,-8.42469,73.90727631578949,2041.0,0.0242170117447625
7_111,"['4_156', '6_23']",1,0.1283941138381189,53.7629,21.496184210526316,2100.0,0.010405689325904709
7_16,"['6_95', '6_95']",1,0.12090311779269432,-5.46475,34.413507894736846,2080.0,0.017882101318032355
6_84,"['5_85', '0_3']",1,0.11684190859765602,-8.97853,74.25124736842105,2040.0,0.024686276705182655
7_57,"['3_98', '6_104']",1,0.11452656610004092,-7.74433,58.994646052631595,2048.0,0.02184363770927094
6_23,"['0_2', '4_156']",1,0.11121919420776745,61.0021,21.085931578947367,2100.0,0.010164711800258878
5_151,"['0_2', '4_95']",1,0.11039360222027651,62.1372,21.322152631578945,2100.0,0.00981110787350041
7_51,"['6_16', '4_36']",1,0.10861333803764789,-9.07797,81.25131842105263,2040.0,0.024542899585878616
7_151,"['6_82', '5_69']",1,0.10746229207484133,-6.22552,41.922211842105256,2068.0,0.019453224152411328
6_126,"['5_34', '5_80']",1,0.10660728776550416,-1.78162,23.65003552631579,2082.0,0.018420877102160817
7_22,"['6_103', '6_163']",1,0.10359371311232611,-4.04551,44.77104868421053,2059.0,0.020014578504627678
7_63,"['6_163', '4_36']",1,0.10122731359785142,-8.23852,70.97882894736843,2043.0,0.02397572331533731
6_131,"['4_156', '5_152']",1,0.09902533506577238,32.18,23.898465789473683,2100.0,0.01253403014973518
7_98,"['6_40', '5_32']",1,0.09522098859400621,-6.34037,25.49024210526316,2061.0,0.020165949524406798
7_3,"['6_92', '6_82']",1,0.09409030690043658,-6.64138,51.8766302631579,2056.0,0.020929213824512988
7_40,"['5_151', '0_4']",1,0.09330933501462328,69.229,21.189878947368424,2100.0,0.01002387741680501
7_175,"['0_3', '6_27']",1,0.0896058037727962,-6.09713,56.70593026315788,2043.0,0.024092667577320932
7_128,"['4_36', '6_57']",1,0.0845979112784234,-7.99278,67.08737368421053,2045.0,0.02254556186297339
7_35,"['6_104', '4_156']",1,0.08129483878795726,5.49089,24.25517763157895,2100.0,0.01583230045754718
7_47,"['6_87', '6_172']",1,0.08116895851308129,-5.99382,60.50619605263158,2047.0,0.022120474217250087
7_49,"['6_62', '0_3']",1,0.0795629457849069,-7.64479,61.98850921052631,2044.0,0.02344186871621098
7_79,"['6_2', '6_84']",1,0.07943297167193011,-5.3862,30.248885526315796,2051.0,0.022273783162956622
7_14,"['6_0', '5_34']",1,0.07811182548016751,-6.89905,30.90722368421052,2052.0,0.021529460808968066
7_170,"['6_9', '6_126']",1,0.07700240820249886,-4.49301,24.028932894736844,2071.0,0.019505794307870746
7_76,"['6_103', '6_62']",1,0.07618241328606548,-4.80841,50.83068157894737,2062.0,0.019148433178172657
6_176,"['5_69', '5_164']",1,0.07475341525673014,-6.33241,46.38505657894736,2067.0,0.018588188413903212
7_119,"['6_176', '5_69']",1,0.06973096917486434,-5.79531,39.80648552631579,2078.0,0.017128696167599853
7_23,"['5_69', '6_99']",1,0.06969705909615578,-7.77685,65.60270657894738,2050.0,0.020926505977056517
7_152,"['3_98', '6_126']",1,0.06953661202927643,-8.08695,70.10210526315791,2045.0,0.023257992416359608
7_158,"['6_5', '6_95']",1,0.06933372751571816,9.82169,26.17113552631579,2100.0,0.015038433805741854
7_5,"['6_140', '6_103']",1,0.0688721703213147,-4.23484,43.152572368421055,2063.0,0.019415708607774276
7_154,"['6_176', '6_49']",1,0.06638569509436956,-4.43733,27.52500789473684,2072.0,0.018245561770367198
7_6,"['6_49', '6_99']",1,0.06567610414336075,-7.23047,54.28512105263158,2050.0,0.022614515488676854
7_145,"['4_36', '5_74']",1,0.06531089479402494,-9.54453,83.21236842105264,2040.0,0.024928696836319316
7_122,"['4_28', '3_98']",1,0.06375846669109433,-6.62382,47.28452631578948,2046.0,0.023269486575555894
7_28,"['6_72', '6_176']",1,0.06359336324392569,2.2156,28.6315052631579,2100.0,0.01691223276479126
7_19,"['5_34', '5_10']",1,0.06356797965715304,14.6984,23.784957894736845,2100.0,0.016139134582385122
6_95,"['5_80', '5_69']",1,0.0600449888634385,-5.56027,33.26170131578947,2080.0,0.018111832248725094
7_173,"['4_156', '6_95']",1,0.058222671908952264,9.56793,26.820178947368422,2100.0,0.01491922195489302
7_163,"['6_7', '6_95']",1,0.057760301280682116,-6.58197,55.08160789473684,2060.0,0.01974753853526615
7_113,"['6_36', '0_2']",1,0.05733349184170267,21.691,22.66373552631579,2100.0,0.015481600405179007
7_39,"['6_95', '6_7']",1,0.05697821673261755,-6.95182,54.603686842105255,2055.0,0.020794007065338755
6_82,"['5_100', '5_164']",1,0.056906650767364675,-7.07725,55.789234210526324,2057.0,0.021040987044732097
7_4,"['6_49', '6_2']",1,0.056358655306306925,-1.34397,24.484236842105265,2081.0,0.01868441817791081
7_138,"['5_10', '6_26']",1,0.05616216039151213,33.399,23.278723684210522,2100.0,0.01234383725112364
7_15,"['6_95', '6_7']",1,0.05499182242393645,-6.26904,40.80622368421052,2060.0,0.019581265821979443
7_156,"['6_151', '5_34']",1,0.05445010327497379,-5.06382,28.413677631578953,2065.0,0.019585218680962573
7_54,"['3_98', '6_176']",1,0.05413670929015322,-7.77389,70.3065289473684,2043.0,0.022884610448189308
7_149,"['6_57', '6_151']",1,0.054054849627332216,-5.59329,39.341013157894736,2066.0,0.01855962115205595
7_64,"['6_82', '6_62']",1,0.05270867971656033,-6.79397,50.3545,2054.0,0.021171403519817916
7_148,"['4_36', '6_49']",1,0.05259488286639949,-7.1577,31.67329736842105,2050.0,0.02239701857842353
7_74,"['6_72', '4_36']",1,0.05248082266455842,-2.72653,26.578430263157898,2055.0,0.021226293888755892
7_8,"['6_9', '5_32']",1,0.05241787808987819,-5.94744,31.573073684210527,2075.0,0.01835720693409008
7_179,"['5_34', '6_92']",1,0.051999507761244526,-5.84343,28.91656578947369,2063.0,0.02002200196972375
7_103,"['5_34', '6_140']",1,0.051733701085476744,-3.17144,27.47931184210526,2079.0,0.018955121549963407
7_33,"['6_140', '3_98']",1,0.050597078945865626,-7.60066,61.06823684210526,2045.0,0.02243195596504202
7_169,"['6_62', '5_34']",1,0.049393804556875004,-3.29894,26.328328947368423,2076.0,0.01949111115706405
7_116,"['0_3', '6_126']",1,0.04766529718145686,-7.39611,54.673326315789474,2048.0,0.023241013987520445
7_75,"['6_84', '0_3']",1,0.047355364030992,-9.56428,83.54921447368422,2039.0,0.024999567679915232
7_90,"['6_76', '0_2']",1,0.04733048846355388,23.9643,24.536497368421053,2100.0,0.014342149171684247
7_120,"['6_87', '5_34']",1,0.0459720350878572,-5.29948,49.375768421052626,2060.0,0.019187051510764663
7_42,"['5_69', '6_68']",1,0.04591910060916278,3.53782,27.032007894736843,2100.0,0.016022339875913123
7_94,"['5_69', '6_103']",1,0.0452920996307027,-5.41427,32.71101710526316,2066.0,0.01887098814552315
7_176,"['6_2', '6_57']",1,0.04444293765167183,-2.3152,25.11296973684211,2078.0,0.01861351148086018
7_129,"['6_104', '6_40']",1,0.04405850195289113,-5.47388,43.4671,2058.0,0.021110009940508156
7_56,"['3_98', '6_49']",1,0.042835345049870355,-7.69366,64.33566184210527,2045.0,0.02325307930704228
7_61,"['5_69', '6_40']",1,0.042402118856315466,-6.32384,50.00975921052631,2058.0,0.01960038813752612
7_59,"['5_69', '5_74']",1,0.04132894169744705,-7.76278,62.969915789473674,2053.0,0.019183258223012173
7_165,"['0_3', '6_126']",1,0.041277309172288196,-8.56548,59.513585526315794,2046.0,0.02235591353710969
7_41,"['6_123', '0_2']",1,0.04028972164833214,70.1595,21.029017105263158,2100.0,0.01009463937947461
7_126,"['6_176', '5_74']",1,0.03976953084956511,-7.31344,59.74136973684211,2055.0,0.02103069959028769
7_91,"['0_2', '6_62']",1,0.03976322980689204,18.7977,24.07567368421053,2100.0,0.01567154997648458
7_18,"['5_69', '6_131']",1,0.03949121203841066,4.14711,26.01183289473684,2100.0,0.016434185221560482
7_177,"['6_82', '6_123']",1,0.038395419465225455,21.5735,27.61173421052632,2100.0,0.014329053013943747
7_10,"['6_92', '0_2']",1,0.03748373713099128,16.3811,22.96619736842105,2100.0,0.016180642288806724
