cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy,Cost of energy next 10 years
95_49,"['94_79', '93_78']",1,inf,-2851.33,-5.77069,-12.156687
95_22,"['94_33', '94_31']",1,inf,-2799.14,-6.77773,-11.965212000000001
92_75,"['89_32', '89_32']",1,inf,-3341.7,-10.8512,-8.629107000000001
95_30,"['93_3', '93_85']",1,0.0,-2827.9,-6.05138,-12.36225
93_85,"['88_42', '92_79']",1,0.0,-2831.44,-6.07307,-12.189139999999998
94_89,"['93_18', '93_29']",1,0.0,-2799.84,-6.59447,-12.105328
95_87,"['94_80', '94_28']",1,0.0,-2838.4,-6.09962,-12.098569999999999
95_47,"['94_79', '93_78']",1,0.0,-2888.05,-5.8156,-12.08973
93_3,"['88_42', '92_58']",1,0.0,-2826.55,-6.16312,-12.083577000000002
95_80,"['94_28', '94_23']",1,0.0,-2842.44,-5.82862,-12.064339999999998
95_65,"['94_57', '94_67']",1,0.0,-2885.74,-5.85721,-12.05826
94_41,"['91_36', '93_78']",1,0.0,-2813.08,-6.36402,-12.01734
95_32,"['94_80', '93_3']",1,0.0,-2842.01,-6.17125,-11.99935
95_53,"['94_79', '94_67']",1,0.0,-2892.71,-5.84413,-11.998485999999998
95_70,"['94_80', '94_89']",1,0.0,-2832.55,-6.61385,-11.944791
95_36,"['94_74', '94_74']",1,0.0,-2843.06,-5.94371,-11.927921
95_57,"['94_83', '94_28']",1,0.0,-2877.07,-5.86459,-11.889144000000002
95_3,"['94_80', '94_83']",1,0.0,-2878.08,-5.89283,-11.855685
95_54,"['92_84', '94_74']",1,0.0,-2887.01,-5.85718,-11.82495
95_79,"['94_57', '94_31']",1,0.0,-2853.51,-5.89551,-11.682929000000001
95_72,"['94_24', '94_31']",1,0.0,-2814.52,-6.77217,-11.619235
95_78,"['93_78', '92_75']",1,0.0,-2983.45,-7.78138,-10.557426999999999
95_86,"['93_78', '92_75']",1,0.0,-3091.01,-7.73642,-10.386408000000001
95_45,"['93_12', '92_75']",1,0.0,-3057.63,-10.0772,-10.00449
95_69,"['92_75', '94_80']",1,0.0,-3173.85,-8.40486,-8.957986
95_35,"['92_75', '93_3']",1,0.0,-3332.87,-9.94251,-8.764216999999999
95_17,"['93_78', '94_89']",2,0.0,-2832.04,-6.41594,-12.269141000000001
95_84,"['94_23', '94_67']",2,0.0,-2844.4,-5.90607,-12.22319
94_67,"['93_12', '93_78']",2,0.0,-2886.18,-5.81068,-12.16686
95_43,"['94_41', '94_67']",2,0.0,-2847.68,-6.411,-12.137640000000001
95_75,"['94_28', '94_67']",2,0.0,-2888.04,-5.84143,-12.11772
95_62,"['94_67', '94_74']",2,0.0,-2878.3,-5.84471,-12.115518
94_28,"['93_78', '92_84']",2,0.0,-2881.6,-5.88465,-12.104800000000001
95_31,"['94_41', '93_85']",2,0.0,-2851.37,-6.53169,-12.100079
93_78,"['92_49', '92_84']",2,0.0,-2884.64,-5.84178,-12.09942
95_16,"['94_41', '94_67']",2,0.0,-2893.02,-5.83537,-12.098130000000001
95_58,"['93_78', '93_12']",2,0.0,-2886.52,-5.87051,-12.096816
95_68,"['94_28', '94_30']",2,0.0,-2878.41,-5.89243,-12.09011
95_10,"['94_20', '94_89']",2,0.0,-2844.35,-6.58289,-12.035357000000001
95_0,"['93_3', '93_78']",2,0.0,-2866.68,-6.10153,-12.004600999999997
95_34,"['94_67', '94_57']",2,0.0,-2888.71,-5.859,-11.997992
95_88,"['94_20', '94_87']",2,0.0,-2868.23,-5.89941,-11.993514000000001
95_44,"['92_26', '92_26']",2,0.0,-2843.11,-6.75909,-11.958852
95_27,"['94_33', '94_3']",2,0.0,-2842.58,-6.77658,-11.937378
95_23,"['94_89', '94_28']",2,0.0,-2875.12,-5.89901,-11.884039
95_85,"['94_45', '94_3']",2,0.0,-2869.84,-6.44981,-11.870988
95_81,"['94_23', '94_28']",2,0.0,-2873.67,-5.96826,-11.851303
95_42,"['93_12', '94_87']",2,0.0,-2880.46,-5.94684,-11.777803
95_46,"['94_33', '94_23']",2,0.0,-2875.19,-6.00929,-11.738963000000002
95_5,"['94_45', '94_83']",2,0.0,-2876.91,-5.97445,-11.732823999999999
95_67,"['92_75', '94_30']",2,0.0,-3017.08,-8.91163,-11.676894
95_18,"['92_75', '94_67']",2,0.0,-3140.59,-9.67639,-10.460752000000001
95_21,"['94_33', '92_75']",2,0.0,-3073.62,-10.284,-10.220388
95_29,"['94_17', '92_75']",2,0.0,-3121.78,-10.2195,-10.011461999999998
95_12,"['94_89', '94_28']",3,0.0,-2838.86,-6.61333,-12.450999999999999
95_26,"['94_41', '94_33']",3,0.0,-2845.33,-6.52775,-12.248081
95_2,"['93_78', '94_17']",3,0.0,-2870.53,-5.91265,-12.232919999999998
95_74,"['94_41', '94_28']",3,0.0,-2856.12,-6.42025,-12.199090000000002
