cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ,Year Zero Emissions Reached,Average Percent Energy Change
0_3,[],1,inf,-9.57108,76.9662,2038.0,0.025214430924847563
3_67,"['0_4', '2_137']",1,inf,58.72,24.6057,2100.0,0.009636950205694847
7_102,"['0_4', '0_4']",1,inf,84.855,19.4371,2100.0,0.010554404092316007
11_90,"['0_3', '7_63']",1,inf,-9.57341,76.9667,2038.0,0.02521599492808419
12_155,"['9_37', '11_47']",1,inf,-6.77909,14.3392,2051.0,0.022054886553294933
13_85,"['11_85', '11_85']",1,inf,-9.87992,66.6287,2042.0,0.023476118239695223
16_27,"['11_64', '11_64']",1,inf,0.406041,70.9282,2100.0,0.014384445475446936
15_126,"['7_102', '14_53']",1,0.16207263842724265,77.283,22.235,2100.0,0.010314274298229328
13_130,"['12_177', '11_64']",1,0.1545747459441699,-3.00901,73.3972,2088.0,0.015527083593291819
16_119,"['14_72', '15_67']",1,0.15435364962338147,-0.0150518,33.2216,2094.0,0.01569155088011374
14_81,"['11_64', '11_69']",1,0.14746170007963005,-0.0978695,51.9428,2097.0,0.015422226682713326
16_2,"['15_39', '14_81']",1,0.13612672013724253,-1.77077,42.8102,2089.0,0.01641914332885482
16_35,"['14_72', '14_58']",1,0.12596256410687418,-1.45467,53.6624,2092.0,0.016010007750343665
16_62,"['15_5', '15_28']",1,0.12127809702225999,-8.20969,38.8961,2056.0,0.02032666958403676
16_154,"['15_21', '15_59']",1,0.11600732858481931,30.7312,26.4371,2100.0,0.012488427067647327
16_4,"['14_58', '15_5']",1,0.11420626940060574,-3.54772,45.7614,2085.0,0.016391313077437436
16_108,"['15_151', '7_102']",1,0.11323008237067853,32.877,26.0247,2100.0,0.01332074705744585
16_106,"['11_90', '12_155']",1,0.11117675647205472,-8.76774,56.4027,2041.0,0.02426845726204522
15_99,"['14_29', '14_98']",1,0.10729915056169068,46.367,24.8422,2100.0,0.01114334195239638
16_87,"['15_55', '15_157']",1,0.10445850003801149,-1.94263,20.5055,2065.0,0.020316053078545983
16_98,"['11_90', '15_47']",1,0.09907869114027651,-9.50409,76.3364,2039.0,0.024880888574643052
16_133,"['15_73', '0_3']",1,0.09701107193673862,-8.32827,74.9057,2040.0,0.024689650801820572
16_169,"['15_157', '15_74']",1,0.09634211314318347,25.6383,26.7026,2100.0,0.014219484266628241
16_141,"['15_126', '15_90']",1,0.09548338559761334,51.7632,26.0495,2100.0,0.009896092764441327
16_107,"['14_81', '15_119']",1,0.09518835872022999,-4.66239,50.6476,2083.0,0.016744631313320685
16_147,"['15_5', '15_133']",1,0.09247062780818532,-6.37901,26.5752,2063.0,0.01941583149265208
16_112,"['15_141', '15_59']",1,0.09234480746457811,42.426,25.2664,2100.0,0.011529633542585854
16_71,"['15_76', '3_67']",1,0.09195356402500164,71.1428,22.5528,2100.0,0.010236453513948633
16_85,"['3_67', '3_67']",1,0.09090138859548932,59.2,24.5718,2100.0,0.009640764128377142
16_63,"['14_53', '15_74']",1,0.08828880284428955,65.3811,23.3564,2100.0,0.010206340233540494
16_50,"['15_111', '14_81']",1,0.086649253169026,-6.29019,24.1028,2060.0,0.01966030029915259
16_176,"['15_21', '15_74']",1,0.08357775252896404,36.5304,25.4298,2100.0,0.012148689870653121
14_46,"['13_136', '13_79']",1,0.08315086122196381,-6.09321,46.9965,2066.0,0.01856920944932868
16_174,"['15_162', '14_81']",1,0.08094198817501902,-4.05586,66.2951,2080.0,0.016657884303984592
16_121,"['15_169', '14_81']",1,0.08054342026598985,-4.6137,28.1262,2074.0,0.017843654195130287
16_61,"['14_81', '15_34']",1,0.07984565964573437,-3.44836,32.8536,2077.0,0.01731147597270258
16_90,"['15_135', '15_90']",1,0.07845395958122725,40.4176,27.0581,2100.0,0.011484653819653029
16_52,"['15_5', '15_2']",1,0.07786103213937132,-7.69891,43.4268,2059.0,0.01896518444872269
16_70,"['15_49', '15_99']",1,0.07668075910638367,8.45314,19.2908,2100.0,0.01802876135249554
15_21,"['9_79', '14_171']",1,0.07563810605122127,27.1774,26.1082,2100.0,0.013566265113773292
16_51,"['15_111', '15_157']",1,0.07301577528473771,-3.95098,16.7883,2056.0,0.021607270802540237
