cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ,Year Zero Emissions Reached,Average Percent Energy Change
58_6,"['40_20', '57_120']",2,0.0805835128364906,-1.91139,59.817,2086.0,0.016518649336876096
58_169,"['57_131', '57_26']",2,0.07974607418356969,-7.64725,58.7842,2046.0,0.022245004286944117
58_127,"['57_70', '57_101']",2,0.0779491662122585,-5.95071,58.1915,2054.0,0.020720369471612734
58_89,"['57_60', '56_176']",2,0.07718112278965375,-7.54624,49.4956,2050.0,0.0211827167090167
58_137,"['57_122', '40_20']",2,0.07498838453166505,-3.54468,70.6979,2085.0,0.016505851505106226
58_22,"['56_150', '57_122']",2,0.07388172787309019,-1.38453,60.3678,2085.0,0.016208688685774634
58_83,"['57_156', '57_116']",2,0.0714123976208889,19.634,30.476,2100.0,0.014441449698186828
58_8,"['56_150', '26_108']",2,0.06979643685901767,-7.48064,75.1532,2055.0,0.01991804240096653
58_10,"['57_116', '57_100']",2,0.06709309652141804,2.54945,30.3282,2100.0,0.01602209911517174
58_40,"['52_91', '49_151']",2,0.06493569645192591,19.7769,28.5075,2100.0,0.016881643716586417
58_132,"['57_100', '57_116']",2,0.06444731294570799,3.57986,31.1817,2100.0,0.015451855758514212
58_179,"['57_116', '57_63']",2,0.06283756240839253,6.0468,27.0855,2100.0,0.017441549720581057
58_78,"['57_63', '56_169']",2,0.05578099526624357,6.96442,28.2141,2100.0,0.017412963744532897
58_131,"['54_73', '57_87']",2,0.055442902549939874,-7.81441,58.8156,2050.0,0.021788748395895216
58_105,"['57_37', '57_89']",2,0.05303556211368718,17.3773,29.8571,2100.0,0.01490939774910301
58_57,"['57_170', '26_108']",2,0.05177530342489576,-3.92325,21.8445,2055.0,0.020551486509507076
58_153,"['57_38', '57_135']",2,0.05028254228605703,-5.49824,22.2114,2059.0,0.020374916725396115
58_43,"['57_100', '57_58']",2,0.045603168230907445,20.1609,28.4577,2100.0,0.014609339504838998
58_72,"['57_74', '56_76']",2,0.04119747626142124,1.61189,30.8094,2100.0,0.015476847307358368
58_126,"['57_30', '57_30']",2,0.0402917241150683,-6.09082,42.7081,2059.0,0.01951809656120106
58_25,"['56_169', '57_156']",2,0.03509229410383411,16.9667,31.3709,2100.0,0.014751233636961108
58_151,"['26_108', '57_48']",2,0.03049783758082599,-7.58969,59.158,2048.0,0.021436689950165795
58_18,"['57_170', '57_156']",2,0.030459187207318324,16.1641,29.8633,2100.0,0.015541828798768604
58_97,"['57_94', '57_5']",2,0.023769169162502983,16.1824,30.5361,2100.0,0.014757869322204832
57_30,"['56_30', '56_173']",2,0.022681179485208522,-6.10302,42.4969,2058.0,0.01961501266627203
58_2,"['57_103', '44_119']",3,inf,6.12209,53.0867,2100.0,0.01580570726369791
58_39,"['57_170', '57_53']",3,inf,-3.65882,24.0734,2056.0,0.020673791770601805
58_50,"['49_151', '57_47']",3,inf,23.0839,29.3203,2100.0,0.01592963159351322
58_60,"['57_103', '57_135']",3,inf,-5.12942,43.0893,2068.0,0.01964273267381992
58_66,"['56_150', '44_119']",3,inf,21.2459,30.312,2100.0,0.01428403717210499
58_100,"['57_58', '57_62']",3,1.0966303122361867,7.96107,27.6649,2100.0,0.018161441513639968
58_133,"['57_42', '57_159']",3,0.6847048721144814,1.34215,32.3083,2100.0,0.01585501613594947
58_13,"['52_91', '57_83']",3,0.45830084115659264,4.21245,27.7002,2100.0,0.019016746919449313
58_172,"['57_58', '57_128']",3,0.42668745788678897,9.27652,30.7842,2100.0,0.01630056673838408
58_112,"['56_19', '49_151']",3,0.3788403449281614,16.4058,30.5409,2100.0,0.016961588718524517
58_143,"['57_30', '44_119']",3,0.3528464801775137,17.4141,30.1178,2100.0,0.0152645368440623
58_31,"['57_94', '49_151']",3,0.31675139649441686,20.5906,30.0987,2100.0,0.014545854830496894
58_152,"['54_73', '44_119']",3,0.2242435669126772,7.1283,30.3654,2100.0,0.017771479104855246
58_67,"['57_83', '57_175']",3,0.20021254259648946,7.07218,31.7524,2100.0,0.016962144190130486
58_86,"['44_119', '57_87']",3,0.15212737947243363,7.88087,31.8809,2100.0,0.016476681585266433
58_11,"['57_83', '57_159']",4,inf,23.2348,30.7903,2100.0,0.014374080903100507
58_21,"['44_119', '56_19']",4,inf,11.3093,30.636,2100.0,0.017924199695896596
58_128,"['26_108', '57_58']",4,inf,4.44737,34.2949,2100.0,0.018663407812213997
58_53,"['57_26', '57_83']",4,1.6875376851314599,13.5111,32.5683,2100.0,0.016213978013459175
58_38,"['57_156', '57_122']",4,0.8763356242375175,6.37064,33.8583,2100.0,0.016549322927689108
58_52,"['57_5', '57_128']",4,0.6936166631763081,7.14565,32.8271,2100.0,0.01650205085617387
