cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy
85_64,"['84_21', '84_84']",1,inf,-3267.25,-10.2501
85_4,"['84_43', '84_19']",1,inf,-3400.04,-9.5097
84_81,"['83_29', '83_0']",1,1.9656804243496204e-05,-3278.62,-10.1786
85_10,"['84_81', '83_66']",1,1.566738667929881e-05,-3289.77,-10.1656
85_1,"['84_37', '84_43']",1,1.0439535940085567e-05,-3294.2,-10.1282
85_23,"['84_87', '84_81']",1,6.141434605017786e-06,-3348.65,-9.78419
84_43,"['83_36', '83_36']",1,6.121869030943064e-06,-3353.22,-9.75082
85_22,"['84_24', '84_86']",1,3.889224300517358e-06,-3305.59,-9.89246
84_21,"['83_58', '83_66']",1,3.706966753250983e-06,-3303.61,-10.094
84_55,"['83_87', '83_58']",1,3.068450936578807e-06,-3368.84,-9.62366
85_8,"['83_87', '84_21']",1,2.3408473413887714e-06,-3365.78,-9.65574
83_87,"['81_67', '82_56']",1,2.0649119673640503e-06,-3359.9,-9.73071
85_46,"['84_16', '84_21']",1,1.968141423879205e-06,-3379.04,-9.57803
85_32,"['84_40', '84_55']",1,1.9452358147017165e-06,-3307.46,-9.88355
85_77,"['84_64', '84_64']",1,1.7009015096875656e-06,-3364.33,-9.67064
85_45,"['84_55', '84_81']",1,1.1867492107175479e-06,-3324.84,-9.79525
85_85,"['84_24', '84_84']",1,1.1242597644095624e-06,-3363.26,-9.71544
84_84,"['83_70', '83_72']",1,1.0310246265276324e-06,-3362.98,-9.7174
82_74,"['81_60', '80_31']",2,1.1715985093281055e-05,-3270.22,-10.6839
85_51,"['84_81', '83_66']",2,7.828781814245118e-06,-3300.15,-10.3178
85_16,"['84_81', '83_87']",2,5.1173200511138574e-06,-3394.41,-9.58284
85_54,"['84_64', '84_64']",2,4.071413794399585e-06,-3408.73,-9.56106
85_13,"['83_72', '83_87']",2,3.845493104022789e-06,-3387.94,-9.59003
85_55,"['84_29', '84_84']",2,3.8447230959302355e-06,-3338.84,-9.81719
85_30,"['84_21', '82_74']",2,3.5390459355426353e-06,-3301.91,-10.2989
85_21,"['84_24', '84_19']",2,2.176502666603833e-06,-3358.72,-9.75419
85_53,"['84_55', '84_19']",2,2.1367115115179163e-06,-3373.72,-9.66278
85_75,"['84_55', '84_86']",2,2.0746147535603996e-06,-3369.96,-9.6655
85_18,"['84_87', '84_55']",2,1.7345499159916039e-06,-3308.14,-9.88505
85_24,"['83_36', '84_19']",2,1.2337004410532502e-06,-3377.9,-9.63762
85_6,"['84_86', '84_19']",2,1.150185405326223e-06,-3366.65,-9.67971
85_5,"['84_73', '84_24']",2,6.425758593415506e-07,-3308.07,-9.96641
84_64,"['83_70', '83_26']",3,1.1595062138435195e-05,-3416.8,-9.58866
85_65,"['84_19', '84_64']",3,8.12026150964505e-06,-3410.46,-9.61166
85_48,"['84_24', '83_72']",3,4.547735695783473e-06,-3347.11,-9.82634
85_7,"['84_86', '84_81']",3,3.856908592442554e-06,-3309.79,-9.98157
