cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy
92_17,"['91_36', '88_32']",1,inf,-3238.34,-10.0984
94_45,"['93_27', '93_62']",1,inf,-3366.1,-9.28215
92_8,"['91_0', '91_55']",1,1.1683713726309273e-05,-3246.94,-10.0024
93_53,"['91_64', '91_59']",1,9.85473414504447e-06,-3347.71,-9.35242
94_29,"['93_42', '92_50']",1,9.443816494702311e-06,-3271.66,-9.6097
93_42,"['91_66', '92_41']",1,9.422193876856493e-06,-3264.77,-9.83909
94_35,"['93_61', '93_83']",1,4.955299546284119e-06,-3249.96,-9.90074
94_80,"['92_41', '93_69']",1,4.260982325389725e-06,-3256.13,-9.86749
92_55,"['91_59', '91_7']",1,2.594712327501521e-06,-3319.18,-9.42692
94_64,"['93_48', '93_27']",1,2.069387568028769e-06,-3296.75,-9.44328
94_47,"['93_27', '93_42']",1,1.370365507721787e-06,-3290.63,-9.52943
93_27,"['91_59', '92_25']",1,8.721854004664166e-07,-3364.86,-9.32189
94_85,"['93_73', '93_34']",2,1.043429623082345e-05,-3356.08,-9.47545
94_60,"['93_83', '92_41']",2,8.090011993115008e-06,-3340.87,-9.47792
94_23,"['93_83', '93_53']",2,5.412714443348302e-06,-3274.16,-9.82089
94_15,"['93_83', '93_53']",2,4.939806991468527e-06,-3326.13,-9.5459
91_47,"['90_69', '88_43']",2,4.6712195508100145e-06,-3282.11,-9.79076
92_39,"['91_66', '91_43']",2,3.955957323518743e-06,-3262.28,-9.88368
94_0,"['92_17', '93_69']",2,3.823517215526606e-06,-3251.86,-10.0169
94_67,"['93_27', '93_27']",2,3.5540397657168846e-06,-3368.13,-9.3029
94_82,"['92_55', '93_27']",2,3.428189725484811e-06,-3374.35,-9.29885
93_83,"['92_17', '92_41']",2,3.0484728138785113e-06,-3253.75,-9.95135
94_63,"['91_59', '93_27']",2,2.893409659828818e-06,-3371.6,-9.29929
94_1,"['92_41', '93_53']",2,2.197574818848846e-06,-3358.1,-9.3694
94_84,"['92_41', '93_84']",2,1.8127974372843938e-06,-3358.26,-9.36484
94_41,"['92_17', '92_55']",2,1.50414000254583e-06,-3313.51,-9.56565
