cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy
1_32,"['0_0', '0_1']",1,inf,-4536.65,-17.5362
1_39,"['0_1', '0_0']",1,inf,-4904.77,-15.5694
1_64,"['0_1', '0_0']",1,0.06990550044671161,-4705.1,-16.4733
1_96,"['0_1', '0_0']",1,0.052222339383415375,-4693.37,-16.8148
1_2,"['0_1', '0_0']",2,0.14664205260651555,-4614.03,-17.8226
1_53,"['0_1', '0_0']",2,0.0279205884430686,-4697.79,-17.0685
1_75,"['0_0', '0_1']",2,0.021165094592009846,-4846.64,-16.6122
1_3,"['0_1', '0_0']",3,0.09086544366395943,-4668.9,-18.5323
1_81,"['0_1', '0_0']",3,0.06361490107521844,-4963.0,-17.0923
1_71,"['0_1', '0_0']",3,0.035354138857803606,-5002.54,-16.6906
1_94,"['0_0', '0_1']",3,0.030516613875830843,-4776.87,-17.1843
1_58,"['0_0', '0_1']",3,0.007385224250138116,-4817.37,-17.1293
1_65,"['0_0', '0_1']",4,0.08668801094214432,-4710.02,-18.7134
1_1,"['0_0', '0_0']",4,0.04965994359637288,-5048.48,-17.3128
1_72,"['0_1', '0_0']",4,0.03716065078204207,-4788.95,-18.1156
1_92,"['0_1', '0_0']",4,0.024894135093144715,-4982.11,-17.4378
1_0,"['0_1', '0_0']",4,0.024432758997033073,-4792.37,-17.9256
1_27,"['0_1', '0_1']",4,0.021034247728097442,-4808.97,-17.8792
1_20,"['0_0', '0_0']",4,0.012634550574411058,-5095.98,-17.1112
1_69,"['0_1', '0_0']",4,0.006602455123401993,-4789.13,-18.0734
1_13,"['0_0', '0_1']",4,0.005556462008943903,-4810.02,-17.6357
1_36,"['0_1', '0_1']",4,0.003940791969915662,-4864.52,-17.5789
1_12,"['0_1', '0_1']",4,0.0013822234992976038,-4852.39,-17.608
1_6,"['0_0', '0_1']",5,inf,-4762.35,-34.0392
1_56,"['0_0', '0_0']",5,0.037594823752550036,-5056.17,-17.3762
1_61,"['0_1', '0_0']",5,0.03752528871440472,-5077.15,-17.3256
1_50,"['0_1', '0_1']",5,0.010592861728647974,-4812.0,-17.8907
1_38,"['0_0', '0_0']",5,0.009753042027321059,-5100.36,-17.1345
1_44,"['0_1', '0_1']",5,0.006770981214532078,-4851.9,-17.7198
1_49,"['0_1', '0_1']",5,0.006251825723924141,-4829.57,-17.7452
1_52,"['0_1', '0_1']",5,0.004137166791083699,-4870.2,-17.6033
1_59,"['0_1', '0_1']",5,0.0028875347043612323,-4853.75,-17.6136
1_89,"['0_1', '0_1']",5,0.0007048957555260452,-4817.57,-17.7705
1_25,"['0_1', '0_0']",6,0.025699209418571508,-5087.18,-17.518
0_0,[],6,0.0068624256123961955,-5104.49,-17.1773
1_95,"['0_0', '0_0']",6,0.0032168099901253738,-5105.42,-17.1543
1_7,"['0_1', '0_1']",6,0.002642417522190047,-4866.13,-17.6701
1_14,"['0_1', '0_1']",6,0.0020321488289125893,-4866.82,-17.626
1_90,"['0_1', '0_1']",6,0.0018059097728035187,-4858.51,-17.6709
1_83,"['0_1', '0_1']",6,0.0017232562144509974,-4854.39,-17.7328
1_28,"['0_1', '0_1']",6,0.0015709949978710196,-4852.65,-17.753
