cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy
36_49,"['35_4', '35_83']",6,3.985906930307294e-06,-3560.37,-12.0431
36_25,"['35_2', '34_67']",6,3.3558643950585444e-06,-3575.92,-11.8428
36_45,"['34_77', '35_71']",6,2.107023890390727e-06,-3567.05,-11.9521
35_41,"['34_67', '34_67']",6,1.948563244857447e-06,-3585.11,-11.808
36_54,"['35_41', '35_60']",6,1.6889521698031057e-06,-3620.68,-11.7701
36_72,"['35_47', '34_73']",6,1.6093718427184806e-06,-3644.76,-11.5584
36_32,"['35_81', '35_72']",6,8.534436546183545e-07,-3621.58,-11.7479
36_87,"['35_19', '35_4']",7,9.334454132434825e-06,-3722.71,-11.513
36_66,"['35_66', '34_67']",7,7.106674816173358e-06,-3598.28,-11.8191
36_65,"['35_71', '35_41']",7,4.227517783282093e-06,-3623.78,-11.7576
36_38,"['34_77', '35_57']",7,2.965467606697841e-06,-3575.11,-12.006
36_71,"['35_56', '35_41']",7,1.6494770919911688e-06,-3579.51,-11.9342
36_60,"['35_72', '35_2']",7,1.9113088491876504e-07,-3650.35,-11.5938
36_43,"['35_31', '35_47']",8,1.0000004553020314,-3634.92,-13.0838
36_63,"['35_10', '35_83']",8,0.9997674467025663,-3731.24,-11.5446
36_40,"['35_47', '34_73']",8,5.639158659652645e-06,-3677.05,-11.6539
36_30,"['35_31', '35_83']",8,3.7308657479480565e-06,-3640.36,-12.0091
36_33,"['35_31', '35_2']",8,2.4304931191887172e-06,-3636.14,-12.5481
36_75,"['35_36', '34_67']",8,8.785788828833165e-07,-3661.92,-11.6935
36_41,"['35_4', '35_36']",9,7.284070613477536e-06,-3686.47,-11.7142
36_70,"['34_67', '34_67']",10,inf,-999999.0,-999999.0
