cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy
80_31,"['76_41', '76_41']",1,inf,-3270.76,-10.7529
81_45,"['80_21', '80_26']",1,inf,-3450.21,-9.69016
76_41,"['74_30', '74_34']",1,1.0489011404502816e-05,-3274.97,-10.6493
81_36,"['80_1', '80_11']",1,8.461273356488467e-06,-3281.06,-10.2274
81_52,"['78_3', '80_1']",1,5.300128909788549e-06,-3385.45,-9.74256
81_8,"['78_75', '80_70']",1,3.7787095486357353e-06,-3305.72,-10.17
81_88,"['80_77', '80_5']",1,3.694081466517604e-06,-3379.04,-9.8342
81_67,"['78_3', '80_21']",1,3.1575444082149312e-06,-3422.66,-9.70125
81_56,"['80_1', '78_75']",1,2.030065250322906e-06,-3330.3,-10.1172
81_60,"['80_70', '80_5']",1,1.6540833922689114e-06,-3329.65,-10.1257
81_58,"['80_66', '80_37']",1,1.4370612819215105e-06,-3322.49,-10.1372
81_42,"['80_26', '80_13']",1,1.1502766838580042e-06,-3375.73,-9.84843
81_83,"['80_7', '80_7']",1,1.1378092683225583e-06,-3322.84,-10.1301
81_86,"['80_27', '80_7']",1,1.0988898280663302e-06,-3348.9,-9.8608
81_63,"['80_55', '80_70']",1,1.6229250107793643e-07,-3332.5,-9.97126
81_74,"['80_50', '80_46']",2,1.9059634744507604e-05,-3299.35,-10.2435
80_11,"['79_15', '78_13']",2,1.8362237047204163e-05,-3283.37,-10.3246
80_26,"['78_13', '77_36']",2,1.1681405611206974e-05,-3420.48,-9.75004
80_58,"['78_3', '79_21']",2,1.0298767628822922e-05,-3392.24,-9.7764
80_21,"['79_45', '77_36']",2,4.2698125325261425e-06,-3443.67,-9.70743
81_16,"['80_46', '80_27']",2,3.7488437938800523e-06,-3349.08,-10.0182
81_17,"['80_37', '80_46']",2,2.9441950548731116e-06,-3361.72,-9.93487
81_5,"['80_13', '80_58']",2,2.518970928466985e-06,-3366.53,-9.88384
81_22,"['80_11', '80_21']",2,1.508601070894029e-06,-3360.66,-9.94778
81_0,"['80_1', '80_13']",2,9.453528560728462e-07,-3365.85,-9.90068
81_12,"['80_5', '80_50']",2,5.445725796901263e-07,-3332.44,-10.1259
81_35,"['80_11', '80_11']",2,3.4251791160431086e-07,-3331.81,-10.2062
81_32,"['80_11', '80_36']",2,6.216425326055458e-08,-3335.48,-10.0797
81_69,"['80_36', '78_3']",3,0.9997834665700225,-3507.21,-9.73721
81_43,"['80_27', '80_26']",3,1.1635996101571323e-05,-3411.03,-9.80101
78_75,"['76_52', '77_52']",3,1.0326178792824168e-05,-3312.08,-10.2853
81_50,"['80_21', '80_50']",3,6.587827828857369e-06,-3444.6,-9.75579
81_64,"['80_11', '77_36']",3,6.397209589486769e-06,-3302.36,-10.3035
80_50,"['79_5', '79_48']",3,6.388976783733994e-06,-3306.11,-10.288
81_53,"['80_11', '80_21']",3,6.240101708347716e-06,-3404.5,-9.81633
81_24,"['80_50', '80_11']",3,5.264734942706637e-06,-3352.63,-10.0661
81_1,"['80_21', '80_7']",3,4.995381401955896e-06,-3354.3,-10.0405
81_21,"['80_66', '80_77']",3,4.015374586711944e-06,-3372.45,-9.94858
81_30,"['80_37', '80_37']",3,2.9335849414493015e-06,-3345.01,-10.0809
81_27,"['80_7', '80_55']",3,2.826031178766446e-06,-3376.76,-9.89163
81_3,"['80_37', '80_26']",3,2.2495973875024404e-06,-3368.33,-9.99676
81_72,"['80_7', '78_75']",3,2.0582964230906343e-06,-3340.98,-10.084
80_46,"['79_74', '79_5']",3,1.627932241736497e-06,-3368.75,-9.97009
81_44,"['80_46', '80_50']",3,1.296469012822525e-06,-3365.04,-10.0222
81_34,"['80_31', '80_58']",3,9.313199883160214e-07,-3328.0,-10.2508
81_75,"['80_37', '80_11']",3,8.975214737752836e-07,-3332.59,-10.1343
80_13,"['79_11', '79_22']",3,8.240589465051617e-07,-3365.6,-10.0061
81_19,"['78_75', '78_3']",3,7.104651192530507e-07,-3335.49,-10.0953
81_49,"['80_11', '80_21']",4,1.684036768124073e-05,-3427.12,-9.81445
81_51,"['80_31', '80_31']",4,8.343444919453684e-06,-3316.37,-10.5372
81_9,"['80_58', '80_46']",4,5.963065367723396e-06,-3357.59,-10.0689
81_37,"['80_72', '80_11']",4,5.4492312698613115e-06,-3397.68,-9.90393
