cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy
53_17,"['52_69', '52_69']",1,inf,-3389.39,-11.5572
53_59,"['52_77', '52_64']",1,inf,-3564.09,-10.6937
53_30,"['52_69', '51_19']",1,8.893473280457523e-06,-3409.69,-11.4531
52_40,"['51_78', '51_66']",1,5.4644370255680505e-06,-3490.29,-10.9877
53_3,"['52_57', '51_39']",1,5.364166343514675e-06,-3437.84,-11.4111
53_83,"['52_69', '52_31']",1,5.118449824490975e-06,-3445.19,-11.3525
53_10,"['52_40', '52_50']",1,4.027473955638382e-06,-3508.69,-10.8415
53_55,"['51_8', '52_57']",1,3.342226711209493e-06,-3398.17,-11.5562
53_52,"['52_40', '52_15']",1,2.8541937129215915e-06,-3547.89,-10.775
53_88,"['52_69', '52_23']",1,2.7203514230621183e-06,-3435.79,-11.4481
53_70,"['52_25', '52_40']",1,1.939030134231166e-06,-3532.72,-10.8233
53_12,"['52_40', '51_19']",1,1.4386969921090735e-06,-3541.18,-10.7851
53_36,"['52_1', '52_77']",1,1.4151289127036922e-06,-3551.59,-10.7464
52_14,"['51_39', '51_6']",1,1.322356612622917e-06,-3450.16,-11.2541
53_80,"['52_14', '52_69']",1,8.035537450032955e-07,-3448.97,-11.2777
53_13,"['52_80', '52_1']",1,4.000539314137655e-07,-3451.35,-11.1073
52_64,"['51_39', '51_57']",2,7.47898098500758e-05,-3648.83,-10.7371
53_27,"['52_25', '52_69']",2,1.3690334483469863e-05,-3416.65,-11.5235
53_20,"['52_40', '52_64']",2,1.1688898502350223e-05,-3625.85,-10.7401
53_77,"['52_19', '52_78']",2,9.983715238824092e-06,-3511.04,-10.9478
52_57,"['51_69', '51_36']",2,9.724595151641091e-06,-3398.79,-11.5859
51_8,"['48_82', '50_41']",2,9.306974704397129e-06,-3395.49,-11.7385
53_23,"['52_64', '51_8']",2,7.927007396142555e-06,-3518.63,-10.8959
52_23,"['51_19', '51_8']",2,6.613716987633218e-06,-3428.97,-11.4715
53_82,"['51_19', '52_78']",2,5.485574586070233e-06,-3542.1,-10.8472
53_44,"['52_40', '52_64']",2,5.3361626046249e-06,-3551.94,-10.7989
53_29,"['52_19', '52_69']",2,5.213122146790039e-06,-3441.13,-11.4175
51_19,"['50_15', '50_48']",2,4.7581556332682536e-06,-3482.07,-11.1612
53_45,"['52_80', '51_66']",2,4.56867879093112e-06,-3535.53,-10.8485
53_46,"['52_14', '52_78']",2,4.051309841982751e-06,-3453.85,-11.3045
53_76,"['51_78', '51_19']",2,3.645581217559958e-06,-3474.55,-11.2056
53_34,"['52_31', '51_8']",2,2.9255996650541397e-06,-3468.98,-11.2504
53_74,"['52_80', '52_15']",2,2.5322728913656407e-06,-3486.97,-11.1369
53_87,"['52_23', '52_40']",2,2.17304822216815e-06,-3533.47,-10.8728
53_57,"['49_30', '52_80']",2,8.610917311606779e-07,-3448.85,-11.4025
53_6,"['51_19', '52_58']",2,8.360897330840436e-07,-3449.63,-11.3928
53_15,"['51_8', '50_62']",2,5.365030746005351e-07,-3449.79,-11.3681
53_50,"['52_15', '52_14']",3,2.0497999580955202e-05,-3645.88,-10.7605
53_41,"['49_30', '50_62']",3,1.1066582484301658e-05,-3407.81,-11.6582
50_62,"['49_32', '49_32']",3,7.427874268053067e-06,-3423.31,-11.5246
53_85,"['51_8', '52_69']",3,4.102912151115898e-06,-3443.02,-11.4845
53_35,"['51_78', '51_78']",3,4.070043962957833e-06,-3539.43,-10.8703
52_25,"['51_19', '51_19']",3,2.5813429746950333e-06,-3488.28,-11.1391
53_16,"['52_64', '51_8']",3,2.2229844137216562e-06,-3457.59,-11.3054
53_18,"['51_19', '52_23']",3,1.8079556805452705e-06,-3485.2,-11.215
53_47,"['51_19', '52_25']",3,1.3365567786758558e-06,-3487.72,-11.1395
53_38,"['52_78', '52_78']",3,1.2197163933423241e-06,-3518.92,-10.9425
53_51,"['50_62', '51_8']",3,1.2028483922856493e-06,-3451.1,-11.3992
53_5,"['52_23', '52_80']",3,1.007468069492991e-06,-3475.09,-11.2275
53_71,"['52_15', '52_11']",3,4.689649715047836e-07,-3539.57,-10.8504
53_21,"['51_19', '50_62']",4,9.054949795366773e-06,-3493.67,-11.1917
53_31,"['52_31', '52_8']",4,5.829597371790692e-06,-3546.64,-10.8559
53_14,"['52_53', '50_62']",4,5.7515557344473095e-06,-3424.05,-11.609
53_63,"['51_8', '52_19']",4,4.777691469329125e-06,-3435.15,-11.5262
52_78,"['51_75', '51_4']",4,3.905599609535785e-06,-3522.04,-10.9573
53_48,"['52_57', '52_23']",4,3.7560232337836508e-06,-3455.41,-11.4016
53_84,"['52_69', '51_8']",4,3.711451497345352e-06,-3448.12,-11.5006
53_68,"['52_15', '52_11']",4,3.250215400990388e-06,-3519.84,-11.0163
53_81,"['52_78', '52_80']",4,2.934799772637438e-06,-3459.66,-11.3269
53_33,"['51_78', '52_14']",4,2.539105167452897e-06,-3451.38,-11.4319
53_40,"['52_25', '52_77']",4,2.030371927102577e-06,-3475.54,-11.2291
53_86,"['52_14', '51_39']",4,1.33305673774697e-06,-3458.82,-11.3349
53_79,"['52_1', '51_66']",4,1.3147887203189238e-06,-3540.69,-10.9066
53_8,"['52_40', '52_80']",4,1.159010566333374e-06,-3539.89,-10.9185
53_42,"['51_8', '51_19']",4,7.740855966038188e-07,-3457.61,-11.3818
