cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy
47_60,"['45_71', '46_47']",1,inf,-3411.9,-11.8978
45_25,"['43_27', '44_11']",1,inf,-3707.49,-10.9597
47_21,"['46_61', '45_21']",1,2.8219997074859535e-05,-3436.82,-11.7917
45_56,"['44_56', '43_44']",1,1.3172694180981508e-05,-3446.35,-11.7641
47_4,"['45_25', '45_25']",1,1.2441230747786416e-05,-3704.58,-10.9623
47_70,"['46_79', '46_39']",1,8.405163877420804e-06,-3467.62,-11.463
45_21,"['44_11', '43_27']",1,7.74456954354123e-06,-3596.25,-10.9685
44_29,"['43_23', '42_23']",1,6.117485189483789e-06,-3417.08,-11.8138
47_2,"['45_71', '45_71']",1,5.833496898031728e-06,-3524.04,-11.1942
47_62,"['46_83', '46_49']",1,5.455561469061264e-06,-3449.9,-11.5647
47_29,"['46_36', '46_26']",1,4.7042271688604475e-06,-3532.77,-11.0922
47_78,"['46_73', '46_26']",1,4.527542538341738e-06,-3527.41,-11.1926
47_88,"['46_72', '46_41']",1,3.252895685920963e-06,-3562.88,-11.0725
47_73,"['46_26', '46_67']",1,2.859091815425886e-06,-3567.38,-10.9871
47_82,"['46_83', '45_21']",1,2.7297125058916837e-06,-3565.48,-11.072
47_58,"['46_83', '46_36']",1,2.5728669937408883e-06,-3474.04,-11.4481
47_83,"['46_79', '46_47']",1,1.7764273988676774e-06,-3488.08,-11.4454
47_45,"['45_21', '46_66']",1,1.3612232724319596e-06,-3593.64,-10.9864
47_44,"['46_36', '45_56']",1,8.508084968517777e-07,-3488.75,-11.4111
47_40,"['45_71', '45_71']",1,2.7271752730099114e-07,-3488.94,-11.2541
47_10,"['45_25', '46_41']",2,2.1029611082102717e-05,-3695.1,-10.9805
46_83,"['44_29', '45_71']",2,8.189610530301552e-06,-3451.77,-11.6026
47_64,"['46_72', '46_22']",2,5.579006581752845e-06,-3553.69,-11.134
45_71,"['44_52', '44_48']",2,5.3945559842269044e-06,-3531.15,-11.1962
47_76,"['46_79', '45_25']",2,5.2918476230249e-06,-3495.59,-11.46
47_35,"['46_72', '45_36']",2,5.274079158777044e-06,-3499.4,-11.3866
47_26,"['46_26', '45_36']",2,5.231539768920239e-06,-3503.87,-11.3388
47_81,"['46_80', '46_36']",2,4.465005286930268e-06,-3480.56,-11.4665
47_5,"['46_26', '46_26']",2,3.5064518651559866e-06,-3559.58,-11.0943
47_12,"['46_41', '46_72']",2,3.411509470961668e-06,-3570.83,-11.0738
47_8,"['45_21', '45_21']",2,3.22629061250475e-06,-3593.3,-11.0058
47_79,"['46_22', '46_41']",2,1.8284986509798855e-06,-3564.61,-11.0824
47_46,"['46_46', '44_29']",2,1.2499418017291783e-06,-3417.94,-11.8485
47_50,"['45_25', '46_50']",2,1.068061864302762e-06,-3497.93,-11.3873
46_79,"['44_55', '45_56']",2,9.044821457419293e-07,-3496.99,-11.4315
46_41,"['45_21', '45_71']",2,3.785989334215311e-07,-3583.17,-11.0225
47_51,"['46_17', '44_29']",3,1.8993956806824064e-05,-3418.26,-11.8797
47_77,"['46_66', '46_46']",3,1.5385296586445998e-05,-3519.16,-11.3677
47_33,"['46_79', '46_22']",3,1.3333010363996603e-05,-3458.05,-11.78
47_80,"['46_46', '45_71']",3,9.60427332295215e-06,-3465.03,-11.6029
47_22,"['46_26', '46_41']",3,6.7160764042109005e-06,-3584.41,-11.0332
47_25,"['46_66', '46_17']",3,5.844358146831e-06,-3540.21,-11.3339
47_84,"['46_22', '46_41']",3,5.097162777228561e-06,-3580.45,-11.0861
47_54,"['46_72', '46_41']",3,4.2814547001677295e-06,-3557.88,-11.1523
47_38,"['46_41', '44_29']",3,4.235749398318971e-06,-3555.33,-11.2369
46_26,"['44_24', '45_71']",3,3.3144011767352403e-06,-3561.37,-11.0967
47_75,"['45_21', '44_29']",3,2.701412167428126e-06,-3506.22,-11.4495
47_32,"['46_80', '46_66']",3,2.5170615710977138e-06,-3481.19,-11.5208
47_39,"['46_50', '46_36']",3,1.2463465139572197e-06,-3489.43,-11.5163
47_87,"['46_26', '46_36']",3,9.529192285196149e-07,-3497.58,-11.4592
47_16,"['46_72', '45_21']",3,6.208891037898734e-07,-3583.3,-11.0357
47_56,"['46_72', '44_29']",4,8.172076194724755e-06,-3549.78,-11.3717
47_7,"['45_21', '46_44']",4,7.4732790263374385e-06,-3535.83,-11.3784
47_48,"['46_22', '45_25']",4,7.020237943898371e-06,-3577.88,-11.1027
47_42,"['46_50', '46_61']",4,6.478786293641773e-06,-3473.4,-11.6328
47_55,"['46_50', '46_49']",4,2.8599259512728472e-06,-3483.68,-11.5309
47_52,"['44_29', '46_66']",4,2.645206740001015e-06,-3524.97,-11.4321
47_89,"['46_66', '46_44']",4,2.4519560372280014e-06,-3526.67,-11.4307
46_46,"['44_55', '45_89']",4,2.3557136274858866e-06,-3483.06,-11.5374
47_43,"['46_83', '45_25']",4,1.9968808045901606e-06,-3490.62,-11.5272
47_36,"['46_39', '46_79']",4,1.648016352655513e-06,-3504.61,-11.5174
47_31,"['46_79', '46_80']",4,1.357954981602283e-06,-3507.3,-11.5153
47_71,"['45_25', '46_66']",4,1.1501017265729101e-06,-3583.78,-11.042
47_85,"['45_71', '46_41']",4,8.879795707623237e-07,-3564.69,-11.1037
47_63,"['45_25', '45_56']",4,6.318233604312507e-07,-3507.73,-11.4503
