cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy
54_15,"['53_10', '53_17']",1,inf,-3378.94,-11.5869
54_57,"['53_10', '53_59']",1,inf,-3537.13,-10.653
53_17,"['52_69', '52_69']",1,1.9296916694457653e-05,-3389.39,-11.5572
52_40,"['51_78', '51_66']",1,1.645108376364167e-05,-3490.29,-10.9877
54_75,"['53_3', '53_55']",1,1.1123343012426815e-05,-3431.85,-11.3273
53_55,"['51_8', '52_57']",1,1.0054045276456526e-05,-3398.17,-11.5562
53_10,"['52_40', '52_50']",1,8.454521883474667e-06,-3508.69,-10.8415
54_43,"['53_80', '53_30']",1,7.997695690481236e-06,-3405.87,-11.3733
54_54,"['52_64', '53_88']",1,6.573746111585113e-06,-3401.73,-11.3908
54_69,"['53_20', '52_40']",1,6.483507089008554e-06,-3533.17,-10.7226
54_77,"['53_10', '53_10']",1,5.498114504704282e-06,-3504.46,-10.8872
54_26,"['52_14', '53_80']",1,4.0646675977492645e-06,-3441.59,-11.2358
54_68,"['53_13', '53_17']",1,3.7585839149929947e-06,-3433.92,-11.2495
54_53,"['53_36', '53_13']",1,1.1947329947693027e-06,-3452.14,-11.0692
54_23,"['53_30', '53_13']",1,1.1426647938146765e-06,-3447.49,-11.1787
54_45,"['52_64', '52_57']",2,1.1355656850032008e-05,-3420.26,-11.436
54_82,"['53_70', '53_30']",2,6.953334824815243e-06,-3481.98,-11.1065
54_24,"['53_77', '53_36']",2,5.6099241554611755e-06,-3519.08,-10.8577
54_63,"['53_70', '53_3']",2,4.818677369786054e-06,-3469.96,-11.1134
54_0,"['53_59', '53_52']",2,4.609432786517499e-06,-3550.99,-10.6663
54_16,"['53_59', '53_52']",2,4.250445704664911e-06,-3508.52,-10.9532
53_30,"['52_69', '51_19']",2,4.052299859423673e-06,-3409.69,-11.4531
54_79,"['53_3', '52_40']",2,3.7677178185323153e-06,-3439.68,-11.264
54_18,"['53_30', '53_3']",2,3.6017737398445377e-06,-3399.34,-11.5579
54_3,"['53_83', '53_88']",2,2.619083969649168e-06,-3422.12,-11.409
54_59,"['53_59', '52_14']",2,2.0632186515311278e-06,-3540.89,-10.6669
54_9,"['53_55', '53_83']",2,1.8851420256671151e-06,-3435.59,-11.358
54_89,"['53_70', '53_83']",2,1.8534388736172731e-06,-3483.41,-11.0935
54_49,"['53_52', '53_3']",2,1.4917179628049816e-06,-3503.12,-11.0225
54_74,"['53_30', '53_13']",2,1.3521431769096436e-06,-3462.05,-11.1904
54_66,"['52_14', '53_30']",2,1.2704732396987939e-06,-3445.71,-11.2629
54_76,"['53_3', '53_59']",2,9.883236329487102e-07,-3448.04,-11.2451
54_39,"['53_77', '53_17']",3,9.796798742514506e-06,-3422.85,-11.4791
54_19,"['53_10', '53_59']",3,8.440554126504058e-06,-3652.45,-10.6826
53_52,"['52_40', '52_15']",3,6.690185439474741e-06,-3547.89,-10.775
54_85,"['53_36', '53_17']",3,6.5617445804249926e-06,-3486.65,-11.1615
53_59,"['52_77', '52_64']",3,4.977753774240489e-06,-3564.09,-10.6937
54_33,"['53_17', '53_77']",3,4.833312728741023e-06,-3526.97,-10.954
54_11,"['52_64', '53_36']",3,3.995728823384042e-06,-3561.17,-10.7417
53_3,"['52_57', '51_39']",3,3.9231927897125105e-06,-3437.84,-11.4111
54_80,"['53_88', '53_30']",3,3.6343093073901794e-06,-3443.71,-11.3312
53_88,"['52_69', '52_23']",3,2.2717308204691967e-06,-3435.79,-11.4481
54_6,"['53_83', '53_52']",3,2.2655307482197533e-06,-3457.68,-11.2571
54_31,"['53_77', '52_57']",3,2.2039920600877365e-06,-3517.12,-11.0326
54_86,"['53_30', '53_82']",3,2.106454343765321e-06,-3463.21,-11.2235
54_58,"['53_83', '53_82']",3,1.5391888928015324e-06,-3458.46,-11.2522
54_65,"['52_40', '53_83']",3,1.1741989583842361e-06,-3409.88,-11.6535
54_48,"['53_30', '53_10']",3,8.522812940126416e-07,-3527.51,-10.8579
54_56,"['53_3', '53_27']",3,7.536435648717757e-07,-3448.54,-11.2633
54_14,"['53_52', '53_82']",4,0.9997173557419781,-3661.41,-10.689
54_47,"['53_44', '53_52']",4,2.4551786219686305e-05,-3652.25,-10.71
54_13,"['53_20', '51_8']",4,1.0461203296462403e-05,-3410.81,-11.6755
54_52,"['53_12', '53_52']",4,9.229699496385102e-06,-3553.36,-10.7953
54_62,"['53_13', '53_12']",4,8.491689910798027e-06,-3516.93,-11.2164
54_7,"['53_59', '53_17']",4,7.084440526509729e-06,-3541.35,-10.9377
54_29,"['53_59', '53_55']",4,3.45246643474049e-06,-3459.21,-11.2686
54_37,"['53_52', '53_30']",4,2.935369162590369e-06,-3530.63,-10.9479
53_83,"['52_69', '52_31']",4,2.033283114283636e-06,-3445.19,-11.3525
54_81,"['52_64', '53_30']",4,1.243471533741639e-06,-3464.51,-11.2445
54_8,"['53_80', '52_14']",4,1.237171460326882e-06,-3454.24,-11.2691
54_28,"['52_57', '52_14']",4,9.350202291911357e-07,-3451.38,-11.3061
54_70,"['53_59', '52_23']",4,9.15918615293753e-07,-3547.98,-10.8259
54_40,"['53_17', '53_80']",4,7.881777644007446e-07,-3452.09,-11.2874
54_88,"['53_83', '52_23']",4,3.8618879014082653e-07,-3464.3,-11.255
54_10,"['51_8', '53_3']",5,0.9999984217974934,-3446.45,-15.0632
54_4,"['53_12', '53_10']",5,1.392757128450443e-05,-3617.03,-10.808
54_5,"['53_59', '53_83']",5,1.15034655289793e-05,-3476.5,-11.2683
54_12,"['53_59', '52_64']",5,9.010687205089107e-06,-3660.64,-10.7794
54_55,"['53_44', '53_88']",5,3.8075520798229024e-06,-3539.31,-10.9958
54_22,"['52_64', '52_14']",5,3.0358083040293665e-06,-3548.78,-10.8309
54_83,"['53_3', '53_83']",5,2.854231637379836e-06,-3461.9,-11.2716
