cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy
48_18,"['44_29', '47_21']",1,inf,-3408.79,-11.8785
49_47,"['48_57', '48_82']",1,inf,-3637.45,-10.8426
49_32,"['48_49', '48_88']",1,2.8143203629116083e-05,-3419.7,-11.5325
49_69,"['48_70', '48_70']",1,1.718737543860591e-05,-3597.28,-10.9564
49_85,"['47_4', '48_46']",1,1.1139044083462225e-05,-3588.08,-11.0096
49_62,"['48_82', '48_82']",1,1.0259633244422212e-05,-3537.31,-11.0182
48_70,"['47_45', '45_21']",1,9.26837783631882e-06,-3592.68,-10.9573
48_64,"['47_60', '45_56']",1,7.701374440264207e-06,-3413.2,-11.6595
48_82,"['47_73', '47_60']",1,6.649650124584712e-06,-3488.64,-11.113
49_30,"['47_70', '48_64']",1,6.560639921673106e-06,-3416.44,-11.6168
49_56,"['48_15', '48_18']",1,6.076065779323973e-06,-3461.31,-11.4301
49_73,"['48_79', '48_26']",1,4.359180980817851e-06,-3506.27,-11.0599
49_16,"['48_19', '48_19']",1,2.867151238512935e-06,-3452.38,-11.5217
48_19,"['47_29', '45_56']",1,2.8299144145989978e-06,-3454.65,-11.4972
49_61,"['48_19', '48_37']",1,2.0022087622820623e-06,-3529.21,-11.0582
48_15,"['45_56', '47_62']",1,1.5172982330165636e-06,-3467.74,-11.3999
49_88,"['48_64', '48_82']",1,7.554297433159336e-07,-3470.2,-11.2873
49_75,"['48_39', '48_19']",2,2.812623523670009e-05,-3444.47,-11.648
49_87,"['45_21', '45_25']",2,1.0611723903156818e-05,-3698.92,-10.8936
48_81,"['47_62', '45_71']",2,1.0344107010677488e-05,-3522.43,-11.0961
49_42,"['45_21', '48_15']",2,9.632209591430891e-06,-3502.07,-11.3452
49_39,"['48_24', '48_82']",2,6.471697911035639e-06,-3617.92,-10.9933
49_4,"['48_57', '48_71']",2,5.4620786683898265e-06,-3447.71,-11.6288
49_50,"['48_81', '48_39']",2,4.192967576419997e-06,-3508.04,-11.1546
47_62,"['46_83', '46_49']",2,3.436101433160228e-06,-3449.9,-11.5647
49_26,"['48_82', '48_88']",2,2.8163801585851656e-06,-3476.32,-11.3834
49_34,"['48_82', '47_62']",2,2.5132855056909705e-06,-3451.13,-11.5465
49_81,"['48_37', '48_70']",2,2.19775889703666e-06,-3548.06,-11.0243
49_21,"['48_19', '48_15']",2,1.8607956515837097e-06,-3464.44,-11.4665
48_88,"['47_70', '47_70']",2,1.0618585314284674e-06,-3465.62,-11.4544
48_24,"['47_4', '47_4']",3,9.183572715045655e-05,-3708.63,-10.9485
49_44,"['47_4', '48_24']",3,2.7730800820129814e-05,-3698.16,-11.0071
49_57,"['48_64', '48_70']",3,8.306225060065417e-06,-3515.36,-11.2447
49_54,"['45_56', '48_0']",3,5.083778550467705e-06,-3510.56,-11.3863
49_27,"['48_26', '48_46']",3,4.790820400549186e-06,-3525.65,-11.1174
49_65,"['48_64', '45_21']",3,4.609436337824659e-06,-3482.65,-11.4085
49_5,"['47_4', '48_88']",3,4.234304448889168e-06,-3457.34,-11.6391
49_66,"['48_37', '48_88']",3,3.711725282062044e-06,-3472.69,-11.4574
49_37,"['48_88', '48_81']",3,3.14930926052986e-06,-3463.38,-11.5848
49_71,"['48_88', '48_88']",3,2.507619534324648e-06,-3470.58,-11.4635
49_52,"['48_81', '48_49']",3,2.4690826950146933e-06,-3541.28,-11.1015
49_68,"['48_18', '48_18']",3,1.9362352151174823e-06,-3453.98,-11.6759
49_48,"['48_79', '48_57']",3,1.2679769828055187e-06,-3548.85,-11.0285
