cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy
74_9,"['73_29', '73_0']",1,inf,-3302.22,-10.6437
73_80,"['72_80', '72_55']",1,inf,-3443.16,-9.84611
74_30,"['73_33', '73_51']",1,1.2190534104245272e-05,-3341.18,-10.4062
73_56,"['72_49', '71_27']",1,9.194557819158937e-06,-3325.88,-10.5132
74_19,"['73_80', '73_39']",1,8.144004942256536e-06,-3435.43,-9.95005
73_0,"['72_75', '72_60']",1,4.750176962173107e-06,-3345.86,-10.2508
74_34,"['73_66', '72_60']",1,2.811547561970837e-06,-3312.01,-10.5574
74_29,"['72_49', '73_0']",1,2.742648617563267e-06,-3387.06,-10.0809
74_11,"['73_40', '73_9']",1,2.443697422348493e-06,-3440.8,-9.90577
74_35,"['73_40', '73_80']",1,2.2358914785354462e-06,-3395.82,-9.99138
74_50,"['73_80', '73_36']",1,2.1576733344895585e-06,-3442.84,-9.88755
74_22,"['73_80', '73_21']",1,1.8282718090076106e-06,-3437.77,-9.92701
74_70,"['73_21', '73_35']",1,1.3507749873404112e-06,-3373.61,-10.1245
74_32,"['73_39', '73_39']",1,1.0509907502369273e-06,-3425.36,-9.9728
74_45,"['73_29', '73_66']",1,9.218159878026059e-07,-3367.37,-10.1726
74_20,"['73_29', '72_77']",2,1.126175197517933e-05,-3348.72,-10.3229
74_28,"['73_80', '73_33']",2,1.0475034748355584e-05,-3316.31,-10.596
71_39,"['70_3', '70_68']",2,9.836045846591238e-06,-3311.41,-10.715
74_39,"['73_33', '73_56']",2,9.640317000913367e-06,-3324.56,-10.5931
72_49,"['71_39', '71_35']",2,4.375051579374076e-06,-3314.17,-10.6596
73_35,"['72_85', '72_16']",2,4.0696894131869146e-06,-3422.96,-10.042
74_83,"['73_39', '73_67']",2,2.882678662002855e-06,-3345.88,-10.3587
73_39,"['72_76', '72_49']",2,2.8358129894244736e-06,-3425.39,-10.0226
74_76,"['72_77', '73_26']",2,2.7189153272954863e-06,-3389.36,-10.109
73_51,"['72_77', '72_6']",2,2.6857489018614408e-06,-3414.26,-10.0471
74_21,"['73_66', '73_67']",2,2.5775843673063606e-06,-3357.21,-10.2875
74_0,"['73_53', '73_80']",2,2.370675400368122e-06,-3436.6,-10.0014
73_29,"['72_77', '72_45']",2,2.2006580635360494e-06,-3371.96,-10.1945
74_4,"['73_80', '73_21']",2,2.055760999161215e-06,-3440.87,-9.91326
74_15,"['73_0', '73_66']",2,1.6293689946118729e-06,-3406.63,-10.0535
74_89,"['73_54', '73_80']",2,1.5079382504631333e-06,-3376.12,-10.1643
74_8,"['71_39', '73_32']",2,8.20151523748005e-07,-3366.8,-10.2699
74_26,"['73_80', '73_9']",2,4.7286554145987986e-07,-3444.61,-9.86509
74_33,"['73_67', '73_40']",3,1.5395007242076626e-05,-3333.72,-10.7181
74_79,"['73_29', '71_39']",3,8.414939767895336e-06,-3357.09,-10.3453
74_67,"['73_54', '73_0']",3,5.7016245013382664e-06,-3415.44,-10.0534
74_27,"['73_80', '73_35']",3,5.3001257996383295e-06,-3447.52,-9.91477
74_62,"['73_51', '73_21']",3,4.086855665081316e-06,-3411.06,-10.1011
74_51,"['72_85', '73_39']",3,4.084955644473485e-06,-3407.88,-10.1354
74_69,"['73_40', '72_49']",3,3.238005632944091e-06,-3411.94,-10.0574
74_42,"['73_51', '73_39']",3,3.123907099735557e-06,-3428.17,-10.0489
73_9,"['72_49', '72_14']",3,2.992610182869418e-06,-3390.34,-10.1385
74_65,"['73_80', '73_39']",3,2.931884359961864e-06,-3444.73,-9.92592
74_10,"['72_77', '72_77']",3,2.737614628670961e-06,-3376.91,-10.1806
74_36,"['72_60', '73_0']",3,2.5414848772060706e-06,-3397.19,-10.136
74_41,"['73_21', '73_51']",3,2.4124540506260003e-06,-3424.37,-10.0507
74_66,"['73_35', '73_32']",3,1.728034327576774e-06,-3361.34,-10.3285
74_37,"['73_9', '73_40']",3,1.1553382762462165e-06,-3443.67,-9.92816
74_52,"['73_32', '73_66']",3,8.11718399427965e-07,-3376.9,-10.2668
74_73,"['73_29', '73_40']",3,7.11686985939512e-07,-3438.42,-10.0308
74_6,"['73_51', '73_67']",3,5.833561669513473e-07,-3370.28,-10.3139
74_38,"['73_70', '73_40']",3,3.2652059279582824e-07,-3442.98,-9.95852
74_12,"['72_85', '73_0']",4,8.31574139629559e-06,-3405.27,-10.1718
74_3,"['73_40', '72_77']",4,7.304261074592664e-06,-3428.5,-10.0911
74_53,"['73_51', '72_16']",4,5.128759349612832e-06,-3450.0,-9.93857
74_57,"['73_56', '73_54']",4,4.91410636438901e-06,-3420.29,-10.1045
74_58,"['73_67', '73_56']",4,2.9518445764525686e-06,-3359.65,-10.3589
74_43,"['73_29', '73_70']",4,2.318822706553404e-06,-3380.68,-10.1923
74_86,"['73_51', '71_39']",4,1.019081305582788e-06,-3407.0,-10.1588
74_18,"['73_80', '73_70']",4,9.459053476397006e-07,-3444.3,-9.95831
74_48,"['72_49', '73_0']",4,1.3759788664589912e-07,-3357.09,-10.5507
74_80,"['73_51', '73_54']",5,0.999803248318716,-3521.77,-9.95573
74_40,"['73_19', '73_51']",5,1.5575682891632432e-05,-3452.61,-9.96377
74_63,"['73_19', '73_56']",5,3.820394822260937e-06,-3379.62,-10.3909
74_7,"['73_40', '73_56']",5,2.6905489539233328e-06,-3420.33,-10.1812
74_71,"['73_66', '73_32']",5,2.661683476576593e-06,-3383.77,-10.2322
74_47,"['73_51', '73_39']",5,2.3309228377927603e-06,-3387.65,-10.1958
74_44,"['73_51', '71_39']",5,1.210377070324616e-06,-3360.12,-10.3968
74_1,"['72_85', '73_21']",5,3.7342626580851543e-07,-3406.89,-10.1924
74_54,"['73_40', '73_82']",6,2.6448495399891e-05,-3465.51,-10.0143
74_59,"['72_77', '73_19']",6,2.96021073290017e-06,-3392.32,-10.3014
